,player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer,last_online_converted,joined_converted
587,587,15448422,hikaru,GM,452442,US,"Sunrise, Florida",1609868166,1389043258,premium,True,1/5/2021,1/6/2014
1867,1867,1666963,danielrensch,IM,254915,US,@danielrensch Twitter/Facebook/YouTube,1609888222,1229802308,staff,True,1/5/2021,12/20/2008
5222,5222,2841449,mikeklein,FM,60717,US,Charlotte,1609861017,1274214391,staff,False,1/5/2021,5/18/2010
802,802,3889224,magnuscarlsen,GM,41756,NO,Norway,1607716439,1282856720,premium,False,12/11/2020,8/26/2010
444,444,13423970,ginger_gm,GM,38119,GB,Godalming,1609876760,1378461829,premium,False,1/5/2021,9/6/2013
6325,6325,28583276,alexandrabotez,WFM,37782,US,New York,1609820952,1465620232,premium,True,1/5/2021,6/11/2016
2952,2952,665161,silman,IM,31541,JP,Tokyo,1606762033,1197535122,premium,False,11/30/2020,12/13/2007
7122,7122,9261,danheisman,NM,24084,US,"Wynnewood, PA",1608840772,1184589688,premium,False,12/24/2020,7/16/2007
476,476,6610376,gmhess,GM,21004,US,New York,1609897210,1328309744,staff,True,1/6/2021,2/3/2012
562,562,1748429,gserper,GM,18214,US,"Seattle, WA",1609889450,1233786457,premium,False,1/5/2021,2/4/2009
