player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,24418040,ookp,,1,AU,,1610466303,1443957843,premium,False
1,92202432,auroranmelody,,1,AU,,1610462278,1601401636,basic,False
2,111007350,yannickq,,0,AU,,1610262476,1610200772,basic,False
3,109168516,qaiser163,,0,AU,,1610103736,1609613108,basic,False
4,110938296,kurt476,,0,AU,,1610170509,1610170505,basic,False
5,88960380,rpeknight,,2,AU,,1610349287,1597309665,basic,False
6,20929742,natehk,,3,AU,,1610163460,1423020211,basic,False
7,61852954,z0rb,,15,AU,,1610478485,1559537203,premium,False
8,70605002,mohetitan,,2,AU,,1610465676,1578731943,premium,False
9,86326190,nkan2124,,2,AU,,1610197859,1594381875,basic,False
10,104260132,dg51984,,0,AU,,1610425610,1607952254,basic,False
11,110954252,tasan3,,0,AU,,1610436363,1610179081,basic,False
12,46029130,pulpinator,,5,AU,,1610416676,1525874361,basic,False
13,105203540,ken_96,,0,AU,,1610465890,1608266012,basic,False
14,38293684,nickwilliams1987,,6,AU,,1610480355,1504287991,basic,False
15,27041628,rockypaul1,,46,AU,,1610457386,1456983192,basic,False
16,110687406,vivekpadmanabhan,,0,AU,,1610096384,1610096372,basic,False
17,70142720,dkay4,,0,AU,,1610452145,1577858387,basic,False
18,93284076,timdadamo,,0,AU,,1610442158,1602883773,basic,False
19,95676436,saiporeddy15,,6,AU,,1610466861,1604833374,premium,False
20,110417406,zach777777,,0,AU,,1610447442,1610006231,basic,False
21,75620664,littleboof,,1,AU,,1610272072,1585998032,basic,False
22,61126536,motojez,,1,AU,,1610331705,1558156259,basic,False
23,110683136,xxdarthtaterxx,,0,AU,,1610094296,1610094296,basic,False
24,100100334,msorell,,0,AU,,1610349987,1606559716,premium,False
25,77943644,porkboy97,,0,AU,,1610270314,1587989384,basic,False
26,70074436,lilblacknazigirl,,2,AU,,1610366924,1577724891,basic,False
27,56268961,kou23,,0,AU,,1610430594,1547963218,basic,False
28,83356552,shockingtrick,,0,AU,,1610483384,1592553651,basic,False
29,107416674,lewyjamal29,,0,AU,,1610239960,1609035257,basic,False
30,33158197,dylaverse,,2,AU,,1610431963,1486950793,basic,False
31,44862536,classicl,,2,AU,Melbourne,1610472014,1522581318,basic,False
