player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,108199966,dobrik_david,,2,BE,,1610481741,1609284029,basic,False
1,93036266,osi20500,,2,BE,,1610489466,1602586750,basic,False
2,109561336,brucelee90100,,0,BE,,1610485315,1609724363,basic,False
3,99658758,andropov1928,,0,BE,,1610111051,1606405742,basic,False
4,3122609,cemilbelek,,18,BE,,1610425967,1214577415,basic,False
5,94703108,cledos018,,0,BE,,1610477152,1604253863,basic,False
6,90828182,tomonaut,,0,BE,,1610238267,1599596220,basic,False
7,77866070,jstans,,0,BE,,1610134648,1587914087,basic,False
8,45001550,rid7,,10,BE,,1610468331,1522939481,basic,False
9,110729618,quentindecocq,,0,BE,,1610112983,1610112957,basic,False
10,11902980,wauter,,11,BE,Rillaar,1610433106,1368700668,basic,False
11,100451624,xhenfri,,0,BE,,1610481033,1606681098,basic,False
12,110854972,mattdrx,,1,BE,,1610484154,1610142553,basic,False
13,111061620,zozofufu,,0,BE,,1610462509,1610214918,basic,False
14,100156018,lysanne400,,2,BE,belgium,1610109557,1606580453,basic,False
15,20014272,coco1499,,0,BE,,1610468664,1417625391,basic,False
16,15879900,dekeyz,,4,BE,Salt Lake City,1610467836,1391393902,premium,False
17,73403902,jeanprimus,,5,BE,,1610133785,1584031015,basic,False
18,110994688,denisvleugels,,1,BE,,1610197377,1610196636,basic,False
19,84781532,nohneplan,,0,BE,,1610143665,1593310051,basic,False
20,111027374,360noscope3,,0,BE,,1610206651,1610206449,basic,False
21,6568513,rosseel,,4,BE,Aalst,1610486015,1327696635,premium,False
22,100864578,martbeauf,,1,BE,,1610397895,1606827225,premium,False
23,104630824,bouddhaontheroad,,0,BE,,1610442632,1608066849,basic,False
24,84725430,dashingdot,,1,BE,,1610443191,1593284148,basic,False
25,90540546,stefvdh1996,,0,BE,,1610492718,1599227217,basic,False
26,98197456,matte1217,,3,BE,,1610478855,1605909666,basic,False
27,103756158,ivooooos,,5,BE,,1610385182,1607776783,basic,False
28,29213966,sassystark,,2,BE,,1610386693,1469482974,basic,False
29,82682382,zaigonox,,5,BE,Rinji#3834,1610491174,1592164228,basic,False
30,12400086,irinasha,,8,BE,Brussels,1610412978,1371727053,basic,False
31,31870718,t-steak_3000,,1,BE,,1610389035,1482682410,basic,False
32,79710520,timdoeschess,,4,BE,,1610482592,1589668592,basic,False
33,106646894,superstaaf,,0,BE,,1610265061,1608768093,basic,False
34,103755446,j89db,,0,BE,,1610358833,1607776515,basic,False
35,24831916,manouelchess,,4,BE,,1610466187,1446246443,basic,False
36,74483748,abrakadabra21,,1,BE,,1610212268,1585154288,basic,False
37,102986640,mckato,,0,BE,,1610456182,1607512101,basic,False
38,11188596,amateurd,,10,BE,,1610233821,1363616222,basic,False
39,81869310,joeypleune,,2,BE,,1610475997,1591613358,basic,False
40,48206018,socopogogo,,3,BE,,1610373130,1532638975,basic,False
41,37468640,abourdiaudhy,,1,BE,Merksem,1610473080,1501577102,basic,False
42,98410644,valentinamoskalenko,,1,BE,,1610491411,1605991684,premium,False
43,41162756,frberger,,1,BE,,1610484924,1512826571,premium,False
44,22096046,eline123,,0,BE,,1610466667,1429810479,basic,False
45,50778230,meapsanity23,,2,BE,,1610483822,1539617313,basic,False
46,109913986,marcelloo3,,1,BE,,1610115781,1609847455,basic,False
47,108873622,noeni_vl,,0,BE,,1610447424,1609521123,basic,False
48,101751170,thierrylebgg,,3,BE,,1610487244,1607113416,basic,False
49,110748404,jrc_anas,,0,BE,,1610315269,1610118448,basic,False
50,72372312,tullee,,0,BE,,1610483708,1582057711,basic,False
51,95697978,eulxavhainaut,,3,BE,,1610485162,1604845546,premium,False
52,29783200,hamzasulaiman,,14,BE,Gent,1610451886,1473015879,premium,False
53,110992990,rulenice,,0,BE,,1610476627,1610196041,basic,False
54,80040016,dambrugas,,1,BE,Dashy#7378,1610465402,1589985319,basic,False
55,103041866,roby_dc,,1,BE,,1610464532,1607530127,premium,False
56,99728042,djibciss99,,1,BE,,1610484429,1606421924,basic,False
57,104577552,warre00,,0,BE,,1610107165,1608054369,basic,False
58,99557702,psim64,,0,BE,,1610479961,1606369158,basic,False
59,78911746,sedouard34,,4,BE,,1610295235,1588940561,basic,False
60,94417954,ivetagravite-massone,,0,BE,,1610473247,1604050962,basic,False
61,99435840,itsaizen,,0,BE,,1610401855,1606331669,basic,False
62,38003204,sinatra1978,,0,BE,,1610482831,1503339599,basic,False
63,15600514,hybridepiano,,1,BE,Melle,1610486096,1389860931,premium,False
64,110957932,kasparovvandenaldi,,1,BE,,1610184532,1610181121,basic,False
65,84413348,malovia,,2,BE,,1610464733,1593125659,basic,False
66,31247974,bramcleeren,,0,BE,,1610446275,1480427089,basic,False
67,97190962,pstarsku,,3,BE,,1610489661,1605533779,premium,False
68,101929818,timehole,,0,BE,,1610470346,1607177485,basic,False
69,109206256,foivos999,,2,BE,,1610491939,1609621273,premium,False
