player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,110824402,wellingtonsilveira,,0,BR,,1610136047,1610135986,basic,False
1,70386426,acrenan,,3,BR,,1610396179,1578325651,basic,False
2,108183568,glhaag,,0,BR,,1610378926,1609279947,basic,False
3,86265926,gorfoloko,,4,BR,,1610130700,1594317225,basic,False
4,36158986,juliopinheiro,,5,BR,,1610430529,1496945604,basic,False
5,101969906,wiliansp87,,0,BR,,1610420411,1607187719,basic,False
6,61942732,georgemarins,,1,BR,,1610373904,1559744832,basic,False
7,107982588,ygorelias,,1,BR,,1610430807,1609213552,basic,False
8,66191048,rss_free,,13,BR,,1610414469,1570024960,basic,False
9,77894014,sanches2609,,6,BR,,1610413839,1587932879,basic,False
10,105700418,srneuer,,0,BR,,1610150361,1608441733,basic,False
11,111014276,necromancergyn,,0,BR,,1610402882,1610202837,basic,False
12,76723846,gtdelas,,1,BR,,1610271803,1586901458,basic,False
13,93000618,anserkrey,,3,BR,"Cubatão, SP",1610160578,1602538130,basic,False
14,109680794,hnrqmtts,,0,BR,,1610128234,1609773994,basic,False
15,109542192,brunaodojet,,1,BR,Itapira-SP,1610377411,1609718286,basic,False
16,62122536,moreira743,,1,BR,Mogi das Cruzes - SP,1610142963,1560173749,basic,False
17,108994538,tratortrator,,0,BR,,1610408253,1609551254,basic,False
18,96891090,joanacmi,,0,BR,,1610211187,1605398717,basic,False
19,98803588,fernandocardoso79,,1,BR,,1610413295,1606141929,basic,False
20,108600962,davibonzao,,0,BR,,1610378282,1609429541,basic,False
21,109139742,chamblas369,,1,BR,,1610104976,1609606742,basic,False
22,479131,zamana,,12,BR,São Paulo,1610426958,1195588514,premium,False
23,64015424,acacito,,10,BR,São Paulo,1610317238,1565071820,premium,False
24,81291204,masterhardbr,,1,BR,,1610413670,1591136363,basic,False
25,98680630,twinedcookie,,1,BR,,1610435972,1606086777,basic,False
26,101993638,meski14,,0,BR,,1610143284,1607193229,basic,False
27,63950210,nossila00,,0,BR,Paiçandu - Pr,1610173670,1564892491,basic,False
28,47230540,lavajatobr,,2,BR,,1610412601,1529435929,basic,False
29,110800986,jos3c4rlos,,0,BR,,1610131105,1610131028,basic,False
30,66326676,jorgeffl,,1,BR,,1610424402,1570305918,basic,False
31,9355828,ganjero_13_,,14,BR,,1610403184,1350923256,basic,False
32,42824302,jcfer69,,0,BR,,1610201622,1517287269,basic,False
33,108842692,barbarakrainski,,1,BR,,1610404850,1609512622,basic,False
34,108679814,vk0812,,0,BR,,1610388609,1609451146,basic,False
35,55061360,srcoxinazinha,,27,BR,,1610388907,1545690557,basic,False
36,77943848,claudioisidio,,3,BR,,1610418521,1587989587,basic,False
37,84723416,bittencourt9,,0,BR,,1610416583,1593283383,basic,False
38,18932402,fiorese,,1,BR,Curitiba,1610435176,1410920668,basic,False
39,109806330,nazghul8,,1,BR,,1610239516,1609802510,basic,False
40,95745420,mrosasco,,4,BR,,1610370519,1604864895,premium,False
41,14286336,lifebiel,,2,BR,,1610426718,1384061725,premium,False
42,103155510,tatusfb,,0,BR,,1610410025,1607560778,basic,False
43,56157296,xninjaxd,,2,BR,,1610410590,1547764511,basic,False
44,110600508,givemetheking,,0,BR,,1610155335,1610059341,basic,False
45,42648402,makinelo,,1,BR,,1610286140,1516831095,basic,False
