player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,93691662,jano20182,,2,CZ,,1610474508,1603404171,basic,False
1,107291072,mindaatert,,0,CZ,Ústí nad Labem,1610481700,1609004584,basic,False
2,94645352,dorje108,,0,CZ,,1610484574,1604217708,basic,False
3,92587772,twindaggercze,,3,CZ,,1610440104,1601986247,basic,False
4,78253516,a78b2,,0,CZ,,1610492481,1588281336,basic,False
5,92023822,hustejrybarzmostu,,6,CZ,,1610482513,1601150442,basic,False
6,75565538,zuzanita,,3,CZ,,1610492602,1585945379,basic,False
7,74032826,ultramaple,,0,CZ,,1610224196,1584791084,basic,False
8,96304256,anetka5g,,4,CZ,,1610382387,1605134123,basic,False
9,30536510,megapapaya,,5,CZ,,1610391796,1477168930,basic,False
10,99577392,abritron,,5,CZ,,1610284664,1606378235,basic,False
11,87681434,wlufik,,2,CZ,,1610471368,1595850818,basic,False
12,18165376,suplemento,,9,CZ,Holýšov,1610482854,1405953943,basic,False
13,87991058,yapko,,6,CZ,,1610456738,1596207195,basic,False
14,109892846,wildscope,,1,CZ,,1610207724,1609838237,basic,False
15,65944418,michalva,,0,CZ,,1610441884,1569482700,basic,False
16,108065734,bluman69,,0,CZ,,1610442584,1609250686,basic,False
17,106541574,adamj8,,0,CZ,,1610472997,1608737795,basic,False
18,96044178,kaiserdanoslav,,5,CZ,,1610463515,1605021041,basic,False
19,105512518,tomasjoch17,,0,CZ,,1610353112,1608382985,basic,False
20,100178292,koubapa,,0,CZ,,1610105161,1606586561,basic,False
21,21219764,angeleet,,0,CZ,,1610453354,1424635810,basic,False
22,109178078,pasa1313,,4,CZ,,1610449534,1609615208,basic,False
23,107054284,dzurik1136,,0,CZ,,1610404879,1608924544,basic,False
24,56844296,zajtom,,0,CZ,,1610129013,1549107123,basic,False
25,40784540,darlend,,0,CZ,,1610279826,1511809163,basic,False
26,110025498,barborameijer,,1,CZ,,1610421570,1609877120,basic,False
27,99901956,redstarrer,,2,CZ,,1610483500,1606486639,basic,False
28,107881600,iamluckyluke,,0,CZ,,1610464920,1609185033,basic,False
29,77115030,kraluvna_cz,,0,CZ,,1610393860,1587232008,premium,False
30,110269436,matyfirst,,1,CZ,,1610485167,1609956177,basic,False
31,99468646,chivanna,,1,CZ,,1610379620,1606339238,basic,False
32,92665380,kingofgamesky,,2,CZ,,1610464366,1602093335,premium,False
33,24447896,riff1991,,2,CZ,,1610447537,1444132514,basic,False
34,105748008,petrkuchta,,5,CZ,,1610475925,1608465883,basic,False
35,89474474,nelaach,,4,CZ,,1610193245,1597946703,basic,False
36,40339606,justsomeplayer,,2,CZ,,1610459553,1510603102,basic,False
37,66754866,matran_ulion,,8,CZ,,1610457106,1571250256,basic,False
38,102445816,rinast,,1,CZ,,1610228641,1607339858,basic,False
39,92429382,kkoliw,,0,CZ,,1610438186,1601736060,premium,False
40,34283534,serhio_d,,0,CZ,Prague,1610378389,1490558617,premium,False
41,55187092,evaopidum,,6,CZ,,1610367654,1545934191,premium,False
42,89595642,pettri313,,5,CZ,,1610491636,1598098644,premium,False
43,87074208,czechmate2006,,8,CZ,Únětice,1610469959,1595166403,premium,False
44,10826490,realjan,,1,CZ,praha,1610415264,1360940282,basic,False
45,56544212,patrikdoskocil,,2,CZ,,1610475051,1548494352,basic,False
46,105886466,surrender2k17,,1,CZ,,1610492106,1608502718,basic,False
47,108113464,alesd753,,0,CZ,,1610487603,1609263824,basic,False
48,109455778,jakubtaborsky,,0,CZ,,1610466730,1609699304,basic,False
49,96241600,mutant52,,0,CZ,,1610486716,1605113179,basic,False
50,87781526,janec123,,3,CZ,Ostrava,1610423736,1595960745,basic,False
51,93640522,zbysa123,,1,CZ,,1610449149,1603354341,basic,False
52,34260224,h3nza2001,,3,CZ,,1610472222,1490479684,basic,False
53,92782878,chomski123,,0,CZ,,1610468844,1602259702,premium,False
54,97299840,darkjober,,1,CZ,,1610478626,1605565378,basic,False
55,30009994,waya8,,3,CZ,,1610485287,1474308881,basic,False
56,103051408,ogin8,,1,CZ,,1610486753,1607532556,basic,False
57,33015209,velkyrada,,0,CZ,,1610473357,1486515070,basic,False
58,101906340,babicka94,,0,CZ,,1610470915,1607170305,basic,False
59,110582438,ejbikk,,1,CZ,,1610238054,1610054919,basic,False
60,92843158,pavlos86,,2,CZ,,1610234287,1602340480,basic,False
61,107882210,pinkycrow,,0,CZ,,1610192019,1609185176,basic,False
62,65214736,blahuteli,,4,CZ,,1610464231,1567840883,basic,False
63,52159856,ztvd,,2,CZ,,1610131794,1542825740,basic,False
64,34236634,miroslavlanger,,37,CZ,,1610492635,1490399789,premium,False
65,93438304,lukasvlasak22,,8,CZ,,1610378394,1603101590,basic,False
66,94726410,wormiik,,1,CZ,,1610358892,1604264912,basic,False
67,51851544,davidpukys,,1,CZ,,1610204440,1542219788,basic,False
68,109981210,kleca,,1,CZ,,1610238078,1609867337,basic,False
69,107901988,no_stopink,,1,CZ,,1610463644,1609189589,premium,False
70,85415606,adabar94,,2,CZ,,1610471227,1593716685,premium,False
71,66819168,sachista1234,,0,CZ,,1610262373,1571388008,closed,False
72,5679578,pavelkocman,,1,CZ,,1610478416,1314338388,basic,False
73,110550520,darkmotherrut,,1,CZ,,1610481797,1610048046,basic,False
74,94599814,marslita,,1,CZ,,1610296572,1604178316,premium,False
75,101113594,cyppes,,0,CZ,,1610474604,1606910336,basic,False
76,102492214,tukanglassman,,2,CZ,,1610478401,1607354668,basic,False
77,107860490,aacsungee,,1,CZ,,1610323477,1609180220,basic,False
78,91806434,1mejla1,,1,CZ,,1610459217,1600879246,basic,False
79,100346454,bxr21,,0,CZ,,1610390126,1606649387,basic,False
80,53388972,ltryptofan,,4,CZ,,1610483072,1545087694,basic,False
81,95693472,jakub2507,,0,CZ,,1610374317,1604843323,basic,False
82,109065568,kouty81,,1,CZ,,1610490525,1609583964,basic,False
83,99331416,michal_prihoda,,2,CZ,,1610452865,1606304885,basic,False
84,106019314,reder04,,0,CZ,,1610233120,1608556702,basic,False
85,107932136,mmas6,,0,CZ,,1610102745,1609196684,basic,False
86,6616174,cermo,,4,CZ,,1610487225,1328388106,basic,False
87,67621978,westnoth,,0,CZ,,1610477677,1573054287,basic,False
88,94205934,dan4669,,0,CZ,,1610475778,1603888777,basic,False
89,110708172,josef605,,0,CZ,,1610105322,1610105249,basic,False
90,93028420,kruntaldo,,0,CZ,,1610489394,1602577255,basic,False
91,82073852,5lyft,,1,CZ,,1610131942,1591749681,basic,False
92,65676408,krasotka80,,1,CZ,,1610460652,1568887779,basic,False
93,105633526,papaya96,,0,CZ,,1610464928,1608416622,basic,False
94,2741290,orbman,,3,CZ,Říčany,1610477651,1271932744,basic,False
95,81141482,rustic7,,0,CZ,,1610474475,1591013928,basic,False
96,107792404,hapall,,1,CZ,,1610484908,1609161635,basic,False
97,96746324,lukynike,,0,CZ,,1610208389,1605340150,basic,False
98,64788374,glitchersan,,10,CZ,,1610388700,1566931863,basic,False
99,44663516,zbynek1234,,3,CZ,,1610468713,1522065965,premium,False
100,96770604,juha61,,1,CZ,,1610436973,1605355338,basic,False
101,35094210,czf1rst,,0,CZ,,1610128018,1493289680,basic,False
102,69235420,bbbbbbbb115,,3,CZ,,1610491757,1576159401,basic,False
103,110743754,carkatus,,1,CZ,,1610490927,1610117145,basic,False
104,106969362,hurvajzz,,0,CZ,,1610355265,1608902128,basic,False
105,106501338,pyjuscurus,,0,CZ,,1610460396,1608722520,basic,False
106,110752576,jaroslav_vlk,,1,CZ,,1610305639,1610119651,basic,False
107,109119800,tojemalo,,1,CZ,,1610483760,1609601913,basic,False
108,101179996,nojmii,,2,CZ,,1610382231,1606930454,basic,False
109,92110030,martin_tejnor,,0,CZ,Písek,1610122162,1601292426,basic,False
110,105628830,milpit,,0,CZ,,1610489219,1608415373,premium,False
111,25752365,ales851,,4,CZ,,1610477375,1451048394,basic,False
112,103502474,hayykos,,4,CZ,,1610360822,1607687592,basic,False
113,40090196,frank0070,,0,CZ,,1610486832,1509912449,basic,False
114,107919352,eldiyarrr,,1,CZ,,1610238813,1609193498,basic,False
115,90943436,denduel,,0,CZ,,1610137399,1599748805,basic,False
116,107491464,pavellu5,,1,CZ,,1610402996,1609069181,premium,False
117,94547918,buckaroocz,,0,CZ,,1610113088,1604147347,basic,False
118,43074394,malda44,,13,CZ,,1610127585,1517951444,premium,False
119,109653210,andreho77,,0,CZ,,1610486372,1609765342,basic,False
120,102206390,itsjustoreo,,2,CZ,,1610362932,1607263025,basic,False
121,18955464,oyunbitince,,6,CZ,,1610458376,1411073517,basic,False
122,110322326,vitr00,,1,CZ,,1610459843,1609968384,basic,False
123,18847134,va1da,,52,CZ,Hradec Králové,1610406123,1410372890,premium,False
124,103771260,rabbit238,,1,CZ,,1610469530,1607782084,basic,False
125,93939986,kolomokolovokolo,,0,CZ,,1610485435,1603655912,basic,False
126,92105498,sebapr,,2,CZ,,1610483483,1601285980,basic,False
127,89133822,gareev-x,,0,CZ,,1610479893,1597517408,basic,False
128,39125838,martinpoli,,1,CZ,,1610452930,1506976871,basic,False
129,73983216,pavelkuka9,,1,CZ,,1610142956,1584735602,basic,False
130,59560764,friiizeey,,0,CZ,,1610488887,1554735545,basic,False
131,73655364,ehlundi,,2,CZ,Pečky,1610140463,1584388132,basic,False
132,104718000,boleslavplhk,,0,CZ,,1610421021,1608099579,basic,False
133,55602350,jaroslavskoepa,,0,CZ,,1610487601,1546785991,basic,False
134,104098928,szotkowskid,,1,CZ,,1610465613,1607890475,basic,False
135,70542584,cristianoinsola,,12,CZ,,1610468215,1578611054,premium,False
136,98864920,kristyna75,,2,CZ,,1610478920,1606159236,basic,False
