player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,108924952,gm_wadia,,0,DE,,1610292842,1609533063,basic,False
1,106502264,loornzen,,0,DE,,1610196977,1608722951,basic,False
2,99453728,chesschamp1337,,4,DE,,1610142952,1606335813,basic,False
3,32418458,adge48,,0,DE,,1610476672,1484508134,basic,False
4,98338094,t0bi2,,4,DE,,1610432423,1605972093,basic,False
5,107154984,danilodrews,,0,DE,,1610484980,1608952776,premium,False
6,68392462,babyyoda13,,2,DE,,1610480248,1574552214,basic,False
7,98531822,frankfurtbrudi,,0,DE,,1610182715,1606041767,basic,False
8,75422978,taylorbaumgartner,,0,DE,,1610462122,1585841507,basic,False
9,64958254,lordschniedel,,0,DE,,1610395801,1567275521,premium,False
10,108097762,ivegothemorhoids,,2,DE,,1610457186,1609259920,basic,False
11,50611826,rrraaaff,,0,DE,,1610490681,1539197564,premium,False
12,73797146,siebenkopftiger,,2,DE,,1610479380,1584552714,basic,False
13,82542906,lenzg59,,4,DE,,1610480778,1592078936,basic,False
14,92642158,wichti,,1,DE,,1610490734,1602066513,basic,False
15,21691684,klesk22,,1,DE,,1610457977,1427398117,basic,False
16,77688564,godf4th3r05,,1,DE,,1610478203,1587750575,premium,False
17,80382364,erich20,,3,DE,,1610485780,1590335594,premium,False
18,77607392,daumen5,,3,DE,,1610488553,1587672240,basic,False
19,110479252,iamsosalty,,0,DE,,1610284550,1610030417,basic,False
20,97968382,youknownothing0,,0,DE,,1610238204,1605822556,basic,False
21,57183198,thomasfoc,,9,DE,,1610491144,1549801451,premium,False
22,97287110,cookiekekks,,2,DE,,1610458126,1605561300,premium,False
23,102793216,miamiomia,,0,DE,,1610118262,1607447738,basic,False
24,68119204,michorot,,1,DE,,1610480954,1574022290,basic,False
25,97917602,fimmler,,2,DE,,1610486222,1605808814,basic,False
26,98525362,divalio23,,0,DE,,1610493393,1606038849,basic,False
27,55480426,grongoo,,6,DE,,1610377430,1546541200,basic,False
28,94264292,jester_91,,0,DE,,1610448148,1603925514,basic,False
29,104743520,itssupamario,,0,DE,,1610485121,1608112161,basic,False
30,105446492,sleepyeric,,0,DE,,1610493277,1608350615,basic,False
31,87694650,mqrs5,,0,DE,,1610339958,1595863992,basic,False
32,72084750,ramicko,,6,DE,,1610492537,1581516452,basic,False
33,101443064,sparklingmask,,2,DE,,1610274449,1607016963,basic,False
34,82369488,gucciboiiiii,,0,DE,,1610471492,1591962367,basic,False
35,111078054,noname534xy,,0,DE,,1610280612,1610218618,basic,False
36,86041932,ian00001011,,1,DE,,1610371760,1594130452,basic,False
37,110612520,derfotodude,,2,DE,,1610459352,1610062735,basic,False
38,28109858,avl22,,7,DE,,1610490751,1462793957,basic,False
39,110772018,kim4007,,0,DE,,1610124539,1610124539,basic,False
40,108533528,rotnase27,,2,DE,,1610206060,1609401035,basic,False
41,80500866,fmbx,,1,DE,,1610150789,1590439075,basic,False
42,104589560,schaaaaachtie,,1,DE,,1610213496,1608057302,basic,False
43,105337840,troedelkatze,,0,DE,,1610183325,1608316488,basic,False
44,60125418,loeonhardt,,7,DE,,1610291186,1555962934,basic,False
45,66646688,dasatom,,2,DE,,1610435437,1571006843,basic,False
46,106974932,dersirus,,0,DE,,1610326027,1608904001,basic,False
47,95664810,paul1303,,2,DE,,1610472161,1604825391,basic,False
48,2476039,lennart81,,0,DE,Berlin,1610480255,1263900686,premium,False
49,43041864,suggixd,,1,DE,,1610489126,1517865471,basic,False
50,109690546,ems432,,1,DE,,1610131303,1609776603,basic,False
51,58628528,sahel19,,3,DE,,1610480849,1552814272,basic,False
52,108926148,checkmadequeen,,0,DE,,1610467872,1609533323,basic,False
53,103871130,santranc69,,0,DE,,1610490411,1607809177,premium,False
54,49135156,disab89,,6,DE,,1610481434,1535291156,basic,False
55,71944872,enpasso,,9,DE,,1610470679,1581249894,basic,False
56,81005260,heppotexx,,8,DE,,1610479177,1590882980,basic,False
57,108343480,marionle,,1,DE,,1610493869,1609342484,basic,False
58,108203652,djrome69,,0,DE,,1610206525,1609285054,basic,False
59,94135336,honse14,,1,DE,,1610473852,1603825309,basic,False
60,37296532,lokigds,,2,DE,,1610137768,1500989244,basic,False
61,99390962,saturianblsr,,1,DE,,1610115305,1606321137,basic,False
62,39704574,cahuita007,,0,DE,,1610143783,1508785476,basic,False
63,104470062,jade212,,1,DE,,1610108386,1608018797,basic,False
64,44439786,dr_balu,,4,DE,,1610460280,1521485725,basic,False
65,36531588,thepunisher666,,1,DE,,1610491326,1498247299,basic,False
66,40508530,luigileone1,,4,DE,,1610491575,1511042966,basic,False
67,38016990,doktaknocka,,3,DE,,1610476576,1503390482,basic,False
68,6177236,unlimitedrange,,8,DE,Bermuda Triangle,1610484610,1322082155,premium,False
69,58507158,filthiestofthefranks,,3,DE,,1610477629,1552566928,premium,False
70,101388014,marcusbollmann,,0,DE,,1610455948,1607002528,basic,False
71,65945006,balnoj,,11,DE,überall überall,1610441605,1569484313,basic,False
72,108958542,manolitoss,,2,DE,,1610441702,1609540767,basic,False
73,55134234,wolf1d,,2,DE,,1610469050,1545835552,basic,False
74,106727062,kev2609,,2,DE,,1610474247,1608809191,premium,False
75,96061832,chessxjohnson360,,2,DE,,1610486630,1605027729,premium,False
76,75013048,ledmaxfanpage,,3,DE,,1610468542,1585526610,basic,False
77,100738368,berrylyn,,1,DE,,1610492126,1606775775,basic,False
78,60907854,ottovonfriedbach,,0,DE,,1610463599,1557681309,basic,False
79,105764624,currycatdish,,1,DE,,1610478798,1608471803,premium,False
80,100236990,harpsicord,,0,DE,,1610491730,1606601911,basic,False
81,106741768,x2strong4ux,,1,DE,,1610392860,1608815340,basic,False
82,94427950,billhsn,,1,DE,,1610113130,1604059530,basic,False
