player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,105253452,mejlvang92,,2,DK,,1610433889,1608290958,basic,False
1,106501842,nymann70,,0,DK,,1610189295,1608722758,premium,False
2,62190998,mkors,,4,DK,,1610437583,1560330305,basic,False
3,110967894,nicolaipadmesh,,0,DK,,1610439555,1610186167,basic,False
4,37450410,gabiboeskov,,2,DK,,1610411998,1501511673,premium,False
5,53425112,dawsoncph,,3,DK,,1610438776,1545157275,premium,False
6,89682004,checkerddude,,2,DK,,1610434186,1598202250,premium,False
7,2923799,tsst,,0,DK,Copenhagen,1610374548,1276871898,premium,False
8,111059824,mariusakselwriedt,,0,DK,,1610238937,1610214510,basic,False
9,93153330,samassy,,0,DK,,1610409822,1602718697,basic,False
10,101377662,julle7742,,1,DK,,1610391353,1606999068,basic,False
11,9214220,magnuspaludan,,0,DK,odense,1610291780,1349942740,basic,False
12,98094378,heytigerhere,,0,DK,,1610314149,1605880381,premium,False
13,97210168,kriscojr,,0,DK,,1610392019,1605541019,basic,False
14,92526410,linde97,,0,DK,,1610302675,1601894692,basic,False
15,73140810,cappercapper,,0,DK,,1610359165,1583525360,basic,False
16,110047112,adambioue,,1,DK,,1610368142,1609881900,basic,False
17,102257380,lillerasmus,,1,DK,,1610111489,1607276500,basic,False
18,85385210,mortensenxd,,0,DK,,1610396297,1593700429,basic,False
19,99730350,kasparojack,,1,DK,,1610164989,1606422428,basic,False
20,51835420,mikkelandersen420,,7,DK,,1610347962,1542193989,basic,False
21,16700370,pppepe878,,0,DK,,1610405865,1396307432,basic,False
22,68495138,ithaigramse,,12,DK,,1610392061,1574773964,basic,False
23,110699596,akaimba,,0,DK,,1610305599,1610101765,basic,False
24,13013858,karim-fazli,,18,DK,,1610415577,1375619210,basic,False
25,57586402,t-cross1958,,0,DK,,1610422943,1550666524,premium,False
26,30526950,challchess,,7,DK,,1610314986,1477128887,basic,False
27,26632158,radunsrb,,3,DK,Berane,1610416019,1455111349,basic,False
28,22132286,jesperdn,,0,DK,Aarhus,1610406227,1430039648,basic,False
29,40440212,rasmustue,,1,DK,,1610436093,1510868941,basic,False
