player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,97975552,francescteixi,,1,ES,,1610178076,1605824836,basic,False
1,94881408,patrom,,0,ES,,1610401459,1604358577,basic,False
2,70465014,cristianreyna,,4,ES,,1610392222,1578475944,premium,False
3,22684220,tamaduste,,6,ES,,1610351740,1433451788,basic,False
4,56906806,chandelier1089,,2,ES,,1610191179,1549228326,basic,False
5,41778478,diegoalvarezb,,0,ES,,1610400205,1514498414,basic,False
6,35596854,davimatis,,3,ES,,1610373223,1495031894,basic,False
7,109124210,marche5,,0,ES,,1610401904,1609603012,premium,False
8,108654608,ivanpv_4,,1,ES,,1610402419,1609444443,premium,False
9,84268180,bolicubo,,0,ES,,1610156241,1593048894,basic,False
10,97394942,dock123,,0,ES,,1610397865,1605614045,basic,False
11,107518996,sanzarov2,,2,ES,,1610402397,1609077965,basic,False
12,101869718,miguel-moreau,,1,ES,Albacete,1610427151,1607155247,premium,False
13,94924760,omayma_346,,8,ES,,1610142704,1604391033,basic,False
14,99738488,ikeralfonso,,0,ES,,1610295949,1606424247,basic,False
15,110316698,valencianos2,,0,ES,,1610314320,1609966943,basic,False
16,107401994,adrimv96,,0,ES,,1610382200,1609030518,basic,False
17,66140790,ricardfont,,0,ES,,1610188982,1569915192,premium,False
18,105383914,agustinpose,,0,ES,,1610402377,1608328051,basic,False
19,108873464,mariobravocuadro,,1,ES,,1610119093,1609521088,basic,False
20,110776410,pablo204m,,0,ES,,1610395277,1610125589,basic,False
21,99010042,maciuu_mar,,5,ES,,1610351570,1606203968,basic,False
22,71880556,4tonagato,,6,ES,,1610206479,1581119825,basic,False
23,106740046,maeonline,,1,ES,,1610405922,1608814686,basic,False
24,98791470,albertoubaldo,,1,ES,,1610312466,1606137814,basic,False
25,109956160,mzp6,,0,ES,,1610408735,1609860918,basic,False
26,33365577,elfontheshelf1,,18,ES,,1610419874,1487618961,premium,False
27,26014444,pedrol6,,9,ES,,1610394531,1452244853,basic,False
28,75088146,raul7119,,49,ES,,1610384491,1585586113,premium,False
29,88458578,valen_u,,0,ES,,1610133683,1596717406,basic,False
30,50578894,fer_00sg,,4,ES,,1610384167,1539114301,basic,False
31,33091225,pablodes,,43,ES,,1610395667,1486751566,premium,False
32,108300274,mapachinho,,3,ES,,1610407083,1609327296,basic,False
33,38693678,jmsacedo,,15,ES,Torrejón De Ardoz,1610390791,1505579465,basic,False
34,73782268,manuel27081959,,2,ES,,1610389823,1584542311,basic,False
35,105129912,elbarcos,,0,ES,,1610381952,1608239103,basic,False
