player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,110799902,aid0neus,,0,FR,,1610475828,1610130795,basic,False
1,101175948,lucasvivas,,1,FR,,1610455175,1606929377,basic,False
2,109708766,pipolaclarinette,,0,FR,,1610190769,1609780973,basic,False
3,111081898,a1m6e,,0,FR,,1610396620,1610219485,basic,False
4,109685614,merluscent,,0,FR,,1610390308,1609775340,basic,False
5,62566826,bartman13,,2,FR,,1610153685,1561211311,basic,False
6,108685338,crazykiller35,,0,FR,,1610108327,1609452706,basic,False
7,95877330,benjibedi,,5,FR,,1610482886,1604938197,basic,False
8,53974600,willy160,,0,FR,,1610410096,1545388220,basic,False
9,28655756,helmyyy,,3,FR,,1610477109,1466072664,basic,False
10,110584336,cesarsinclair,,0,FR,,1610116320,1610055366,basic,False
11,111006660,notoga,,0,FR,,1610391511,1610200556,basic,False
12,20904820,liamlumiere,,16,FR,,1610492444,1422880073,basic,False
13,97605940,cyril2toulon,,0,FR,,1610120075,1605693351,basic,False
14,110969020,franckkulhanek68,,0,FR,,1610285593,1610186660,closed:fair_play_violations,False
15,65365560,alain141,,11,FR,,1610475562,1568183538,premium,False
16,96066004,lucasblanc,,0,FR,,1610200096,1605029195,basic,False
17,86946566,mdv63,,4,FR,,1610488991,1595018676,premium,False
18,67662264,etiennec89,,2,FR,,1610462447,1573131405,basic,False
19,72242854,pr0t0tytpe,,0,FR,Amiens,1610487393,1581802127,basic,False
20,78659578,mareme_94,,22,FR,,1610453975,1588692639,premium,False
21,29935476,celavie80,,2,FR,,1610397506,1473880951,basic,False
22,51469770,kgkmarley,,5,FR,,1610455236,1541347907,basic,False
23,33118967,ledesanusseur,,4,FR,,1610448542,1486835779,premium,False
24,110684622,megastoomy,,0,FR,,1610095555,1610095023,basic,False
25,58314514,sharkezz,,2,FR,,1610401894,1552167736,premium,False
26,96825628,ronouni,,4,FR,,1610436111,1605377091,basic,False
27,66596134,minniejulie,,11,FR,,1610493987,1570896399,basic,False
28,107021150,hystan,,2,FR,,1610488016,1608916827,premium,False
29,59428224,lulumoko,,3,FR,,1610485173,1554455478,basic,False
30,94962248,julia_brune,,8,FR,,1610474051,1604415249,premium,False
31,107267440,ulyssemacguire,,0,FR,,1610487020,1608998929,premium,False
32,103103518,lekrish2,,2,FR,,1610493121,1607545543,basic,False
33,15829808,pochtroniev,,4,FR,poitiers,1610469107,1391111698,premium,False
34,109236982,sacul05,,2,FR,,1610473856,1609627906,basic,False
35,84581600,lordblblbl,,0,FR,,1610483949,1593208363,basic,False
36,38152326,dramzy,,0,FR,,1610454375,1503834061,basic,False
37,100614084,seven7714,,0,FR,,1610469599,1606743645,basic,False
38,82501240,luckynip,,2,FR,,1610488133,1592056097,premium,False
39,110240096,guuuuusssss,,1,FR,Toulouse,1610449656,1609949296,basic,False
40,100466820,vitamine_d,,3,FR,,1610491818,1606684850,basic,False
41,95271124,leroidesalentours,,2,FR,,1610234858,1604601149,basic,False
42,47742410,andrei_oulianov,,1,FR,,1610396995,1531154686,basic,False
43,94648300,mohbeaub,,0,FR,,1610460754,1604220705,basic,False
44,98761070,k0olwaad,,1,FR,,1610475745,1606125248,premium,False
45,24588208,galice,,17,FR,,1610311331,1444916665,basic,False
46,33910022,loukafa,,1,FR,,1610233021,1489339656,basic,False
47,111080134,ggg5700,,1,FR,,1610238477,1610219085,basic,False
48,107244410,sonpper,,1,FR,,1610494656,1608992881,basic,False
49,109679502,ocece2235,,0,FR,,1610451953,1609773630,basic,False
