player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,79933342,godlyguru,,1,GB,,1610470814,1589883553,basic,False
1,37688352,shank_ali,,46,GB,Cleveland,1610488364,1502304618,basic,False
2,102850752,shaggyshop,,4,GB,,1610481956,1607460842,basic,False
3,110684872,lakounanne,,0,GB,,1610095153,1610095153,basic,False
4,99772220,frolf1,,4,GB,,1610454854,1606432863,basic,False
5,62338830,philmoore1,,3,GB,,1610469065,1560679638,basic,False
6,52810546,shadowotter,,0,GB,,1610473395,1544012621,basic,False
7,92388726,maxc1902,,3,GB,,1610477674,1601667287,basic,False
8,64230704,qrcids,,5,GB,Calne,1610474081,1565632332,premium,False
9,89261250,roberlavella,,1,GB,,1610478331,1597681698,basic,False
10,96051166,leprechaunor,,2,GB,,1610488867,1605023781,basic,False
11,91101868,nickbohane,,0,GB,,1610445053,1599942908,basic,False
12,108426150,cerberus1215,,0,GB,,1610476351,1609363083,basic,False
13,82683390,jikjakpaddywhack,,2,GB,,1610121127,1592164636,basic,False
14,39627562,methodius12,,1,GB,,1610420951,1508548019,basic,False
15,72375738,illumitarpey,,1,GB,,1610486715,1582063308,basic,False
16,35218522,austindonoghue,,2,GB,,1610428677,1493720557,premium,False
17,107028284,raidaizu,,0,GB,,1610286165,1608918536,basic,False
18,12444980,gilesdunn,,19,GB,Kingston upon Hull,1610391869,1372009922,basic,False
19,108041386,slugc,,0,GB,,1610489982,1609242360,basic,False
20,98771252,disc02,,0,GB,,1610447423,1606129760,basic,False
21,110680818,jogwalkerfromfetch,,4,GB,,1610477504,1610093026,basic,False
22,75341796,italianoforte,,6,GB,,1610483602,1585770879,basic,False
23,108962106,charles6982,,1,GB,,1610093405,1609541689,basic,False
24,104187816,sleeks19,,0,GB,,1610487495,1607919909,premium,False
25,102893228,marta2681,,1,GB,,1610483669,1607472460,basic,False
26,92133408,oldspice14,,1,GB,,1610464836,1601315072,basic,False
27,110998758,jameschess54,,0,GB,,1610491924,1610197981,basic,False
28,98621880,jacur98,,2,GB,,1610475251,1606070690,basic,False
29,17410050,gunderful,,0,GB,,1610459353,1400858485,basic,False
30,32523298,gwbagwkk,,7,GB,,1610481138,1484866687,basic,False
