player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,26581134,wildchildgangel,,11,HU,Budapest,1610480091,1454877057,basic,False
1,97857532,arpad93,,0,HU,,1610456092,1605789595,basic,False
2,85843804,lenaphan,,1,HU,,1610114746,1593983258,basic,False
3,95245724,erdenebatganbat,,1,HU,,1610479517,1604589934,basic,False
4,47093376,mummus,,7,HU,Szombathely,1610435962,1528993506,basic,False
5,45344610,ballaj,,0,HU,,1610114697,1523871853,basic,False
6,20770516,tothbendeguz,,10,HU,"Budapest, Hungary",1610109395,1422098154,premium,False
7,38798934,kaszparov420,,3,HU,,1610126405,1505915511,basic,False
8,110841392,majorosbogi,,0,HU,,1610139587,1610139587,basic,False
9,70149460,rasztaszabi,,3,HU,,1610488999,1577877236,basic,False
10,1836098,hoczat,,3,HU,Budapest,1610478060,1237846768,basic,False
11,94438978,georgebest52,,0,HU,,1610471780,1604066949,basic,False
12,80665358,mics1078,,7,HU,,1610481132,1590591034,basic,False
13,36426998,tregele,,0,HU,,1610472394,1497883132,basic,False
14,109340372,jimmywatt222,,1,HU,,1610485217,1609665510,basic,False
15,65125668,abelardtincoin,,10,HU,,1610464510,1567682683,basic,False
16,36774260,morpheus_07,,6,HU,,1610369350,1499120318,premium,False
17,48706148,novakos,,2,HU,,1610233232,1534090600,basic,False
18,105796030,gala42,,0,HU,,1610198659,1608481209,basic,False
19,34195192,bubiburger,,14,HU,,1610486206,1490279396,basic,False
20,107809134,dominiksziraki,,0,HU,,1610248101,1609166823,basic,False
21,106318406,sevenson71,,0,HU,,1610470447,1608655572,basic,False
22,95473040,fenil1306,,7,HU,,1610447535,1604710389,basic,False
23,84896544,gorgo42,,2,HU,,1610477504,1593376536,basic,False
24,101098934,kircsi101,,0,HU,,1610272078,1606904513,basic,False
25,53312992,kharoly,,5,HU,,1610480673,1544945893,basic,False
26,1560171,vidore,,18,HU,budapest,1610300720,1224886538,basic,False
27,109980456,m1skey,,1,HU,,1610439133,1609867143,basic,False
28,107250426,tuzoltokalapacs,,1,HU,,1610446338,1608994543,basic,False
29,96230044,badasa-shihan,,0,HU,,1610482169,1605108863,basic,False
30,63832570,schanc,,1,HU,,1610474976,1564577430,basic,False
31,109669710,ilal24,,1,HU,,1610484826,1609770717,basic,False
32,28648784,carina_e,,2,HU,Csárdaszállás,1610477535,1466022670,basic,False
33,103996078,szilvike11,,1,HU,,1610486987,1607861172,basic,False
34,23760136,szaszzo66,,241,HU,Kolozsvár,1610477829,1440145711,premium,False
35,33922388,sackase,,2,HU,,1610473924,1489379390,basic,False
36,110826062,arisuchess,,0,HU,,1610140990,1610136336,basic,False
37,82422194,k1rt4p,,1,HU,,1610206553,1591993635,basic,False
38,55449826,minanaderhelmy,,4,HU,,1610489457,1546474202,basic,False
39,31642840,bajnak68,,2,HU,,1610480186,1481828774,basic,False
40,46823698,lordcamses,,4,HU,,1610445363,1528191088,basic,False
41,27255418,mate0704,,1,HU,Balassagyarmat,1610488086,1458075837,basic,False
42,27899196,oehm123,,22,HU,,1610480632,1461540013,basic,False
43,108352074,lesakklak,,1,HU,,1610472849,1609344908,basic,False
44,50506078,jaymatthew,,45,HU,,1610457627,1538927585,basic,False
45,94583174,pederrthepal,,2,HU,,1610468341,1604168832,basic,False
46,39728470,avarka,,0,HU,,1610485390,1508860509,premium,False
47,107083774,zoemizo,,0,HU,,1610459815,1608931195,basic,False
48,108347320,kisgege12,,2,HU,,1610404316,1609343596,basic,False
49,96188758,ger838,,0,HU,,1610436345,1605088491,basic,False
50,92589118,robika79,,1,HU,,1610114664,1601988161,basic,False
51,50189804,hunfighter,,1,HU,,1610488811,1538119018,premium,False
52,82241568,sehon,,6,HU,,1610286339,1591876746,basic,False
53,98382990,alekseykaramazov,,4,HU,,1610445778,1605984457,basic,False
54,44332892,motoroli,,9,HU,,1610485909,1521213960,basic,False
55,60033842,gybence89,,5,HU,,1610453257,1555754396,basic,False
56,101633792,drakldi,,1,HU,,1610487303,1607081855,basic,False
57,110801976,benedekurbn,,0,HU,,1610131712,1610131243,basic,False
58,83107974,kein3_lust,,3,HU,,1610472537,1592420105,basic,False
59,107114350,megnemvolt,,2,HU,,1610494135,1608938554,basic,False
60,24006582,nagymartin,,19,HU,Miskolc,1610120167,1441635254,basic,False
61,96214500,baankati49,,0,HU,,1610479930,1605102370,basic,False
62,94371886,slambingo,,3,HU,,1610101403,1604007722,basic,False
63,12816428,misu78,,18,HU,Budapest,1610478916,1374488406,basic,False
64,23636610,tal-mihail,,10,HU,Budapest,1610370180,1439382018,basic,False
65,94342244,aidkaramazov,,0,HU,,1610486815,1603991260,premium,False
66,79325830,usqlku412,,1,HU,,1610480248,1589319320,basic,False
67,108035206,cobr4cska,,4,HU,,1610485484,1609239864,basic,False
68,106797498,mackopapa,,1,HU,,1610207702,1608832692,basic,False
69,2028193,nezade,,4,HU,Budapest,1610192540,1247455502,basic,False
70,89831734,thd7777777,,2,HU,,1610373129,1598384828,basic,False
71,96172598,ggngccencr,,7,HU,,1610451111,1605077173,basic,False
72,109239200,armapa,,0,HU,,1610214621,1609628413,premium,False
73,102964416,wertur,,1,HU,,1610451032,1607503055,basic,False
74,104412468,papppeti4,,0,HU,,1610374501,1607992884,basic,False
75,96447008,fanniye,,0,HU,,1610362480,1605205240,basic,False
76,93904222,robi123455,,0,HU,,1610477908,1603626132,premium,False
77,105414608,chulter1,,0,HU,,1610308168,1608337552,basic,False
78,95825168,ddonat73,,1,HU,,1610126197,1604909997,basic,False
79,62320212,muffingynk,,0,HU,,1610482550,1560628090,basic,False
80,53008828,hsukikristof,,26,HU,,1610484758,1544371186,basic,False
81,616481,varrodan,,15,HU,Budapest,1610458676,1197061165,premium,False
82,8720652,gulyasgergo,,3,HU,,1610467986,1346276309,premium,False
83,102805748,logissima,,0,HU,,1610475591,1607450583,basic,False
84,29681706,atesz19840,,5,HU,Vác,1610478733,1472414750,basic,False
85,110802388,szcst,,0,HU,,1610477069,1610131327,basic,False
86,89042778,0doki0,,0,HU,,1610474659,1597410829,premium,False
87,77582138,bazo71,,2,HU,,1610455645,1587655354,basic,False
88,78308722,banalajos,,1,HU,,1610474955,1588343543,basic,False
89,96204612,regokistigrise,,1,HU,,1610204991,1605097496,basic,False
90,63219370,istvanszakacs,,1,HU,,1610475096,1562945718,basic,False
91,108426742,xxkaroly69xx,,1,HU,,1610494036,1609363230,basic,False
92,62518040,mzs777,,0,HU,,1610491206,1561088704,premium,False
93,50693398,mnarax,,1,HU,,1610442618,1539389783,basic,False
94,56891634,bondjam8,,3,HU,,1610426050,1549204063,premium,False
95,84649618,marci976,,9,HU,Budapest,1610463415,1593245116,basic,False
96,99032616,oblivionade,,0,HU,,1610484396,1606212960,basic,False
97,73709106,georgez3,,1,HU,,1610483427,1584459153,basic,False
98,103229078,petra9229,,2,HU,,1610490943,1607593569,basic,False
99,69298340,ishee772,,0,HU,,1610449312,1576260798,basic,False
100,81189400,sbenedek,,3,HU,,1610480740,1591047643,basic,False
101,95075276,imreskublics,,0,HU,Debrecen,1610398811,1604485471,basic,False
102,17245356,lime57,,0,HU,,1610491945,1399718115,premium,False
103,61475126,khrl,,2,HU,,1610368869,1558904455,basic,False
104,60953306,figaro9953,,0,HU,,1610467078,1557783184,basic,False
105,33116739,nddk10,,0,HU,,1610479744,1486830907,basic,False
106,69083506,gysakk,,0,HU,,1610467013,1575892543,basic,False
107,73999240,dzsaramity,,5,HU,,1610483381,1584748066,basic,False
108,2401212,pilislarry,,81,HU,,1610491101,1200365669,basic,False
109,67212686,hviktor40,,0,HU,,1610496897,1572218142,basic,False
110,95767434,apocalyptohu,,0,HU,,1610486735,1604873571,basic,False
111,109218934,bulchew,,0,HU,,1610496204,1609624015,premium,False
112,99034112,realhero1974,,7,HU,,1610489964,1606213428,basic,False
113,94299660,dinorooked,,0,HU,,1610466206,1603960250,basic,False
114,110980268,magicka1,,0,HU,,1610191273,1610191271,basic,False
115,66961384,ugrowviti,,3,HU,,1610466346,1571686665,basic,False
116,10694606,remarchs,,8,HU,,1610463326,1359978390,basic,False
117,43325074,concursator,,9,HU,,1610479978,1518589357,premium,False
118,60076928,peter2755,,6,HU,,1610485032,1555854647,basic,False
119,65317236,sziklaszilard,,1,HU,,1610131324,1568062701,basic,False
120,109785736,tugberkaygr,,0,HU,,1610308364,1609797506,basic,False
121,107547052,rpip,,0,HU,,1610484334,1609085157,basic,False
122,110987528,kiki9019,,0,HU,,1610194078,1610194074,basic,False
123,108950202,huntomas,,1,HU,,1610151429,1609538836,basic,False
124,110604592,mightyatika,,0,HU,,1610237041,1610060432,basic,False
125,16809000,csati1966,,4,HU,,1610373810,1396946089,basic,False
126,67152304,boky314,,8,HU,Érd,1610482712,1572092957,premium,False
127,22359412,hodosimate,,0,HU,,1610472404,1431451786,basic,False
128,100414344,geryblade,,0,HU,,1610107675,1606671566,basic,False
129,92766034,kovacs40,,0,HU,,1610376946,1602241715,basic,False
130,45357910,keksz1,,1,HU,,1610480356,1523902629,basic,False
131,33358149,darkshady666,,1,HU,,1610450043,1487599857,basic,False
132,81427198,lakatosbrendon,,1,HU,,1610442696,1591259459,basic,False
133,101988846,tobiek136,,0,HU,,1610484793,1607192153,basic,False
134,34698316,tibor_balogh,,8,HU,,1610478413,1491931559,basic,False
135,86522832,sonkaharcos3,,3,HU,,1610452349,1594574873,basic,False
136,71871026,sh3rixx,,6,HU,,1610479777,1581104824,basic,False
137,110452578,souphuchess,,0,HU,,1610440735,1610021737,premium,False
138,86751008,hungyuri,,1,HU,,1610476843,1594814882,premium,False
139,95275924,gasparsanyi,,0,HU,,1610473844,1604602774,basic,False
140,33470249,vilmos48,,2,HU,,1610111292,1487955286,basic,False
141,13528710,pikkuvaswani,,13,HU,"Budapest, Hungary",1610471518,1379187020,basic,False
142,102823774,f01001011f,,1,HU,,1610470520,1607454714,basic,False
143,15372358,byanee77,,5,HU,Budapest,1610490368,1388675643,basic,False
144,78810778,mrikszde,,2,HU,,1610405344,1588843559,basic,False
145,106184490,egyetlenke,,0,HU,,1610106742,1608602462,premium,False
146,103085936,lampkasmaku,,0,HU,,1610181934,1607541318,basic,False
147,87841514,scouser1988,,0,HU,,1610381976,1596035016,basic,False
148,50338890,thekgb2018,,7,HU,,1610466404,1538504308,basic,False
149,30020312,geff10,,3,HU,Budapest,1610487707,1474374261,basic,False
150,105837648,viii13,,1,HU,,1610275119,1608491470,basic,False
151,24496496,nagycsalad,,2,HU,Zeg,1610449290,1444405892,basic,False
152,55659672,darell1728,,1,HU,Budapest,1610471907,1546894005,basic,False
153,44092788,ccchatayliccc,,1,HU,,1610112658,1520594578,basic,False
154,66598698,lillarddamian,,11,HU,,1610477538,1570900575,basic,False
155,90162510,zamborit,,0,HU,,1610474231,1598778542,premium,False
156,83433926,dani6six,,1,HU,,1610484165,1592594943,basic,False
157,30681566,horek47,,1,HU,,1610492038,1477934826,basic,False
158,20167382,blackheim45,,1,HU,"Miskolc, Hungary",1610486053,1418559319,basic,False
159,94734250,rohrur,,3,HU,,1610465142,1604268832,premium,False
160,66580586,peugeot370,,0,HU,,1610304964,1570861671,basic,False
161,30967982,frauszep,,2,HU,,1610479788,1479397523,premium,False
162,100850060,vili72,,0,HU,,1610484740,1606822184,basic,False
163,101078348,juzsolt,,1,HU,,1610476809,1606895095,premium,False
164,73653472,bladehurts,,0,HU,,1610476959,1584386520,premium,False
165,55084902,eizler,,2,HU,,1610217295,1545747179,basic,False
166,109663238,tamaskrisztian,,0,HU,,1610484517,1609768692,basic,False
167,56508120,pannonpuma,,3,HU,Pilisvörösvár,1610197380,1548428200,premium,False
168,17566948,tdtjani,,18,HU,Hódmezővásárhely,1610225442,1401914000,basic,False
169,48527116,belabacsi,,11,HU,,1610451825,1533573080,basic,False
170,71961064,gulyasr,,1,HU,,1610435761,1581274681,basic,False
171,101881634,tivadar2,,1,HU,,1610471558,1607160957,basic,False
172,106541098,dutchleningradgambit,,0,HU,,1610314869,1608737664,premium,False
173,110520974,beeenyooo,,0,HU,,1610137783,1610041245,basic,False
174,108400182,laci0808,,1,HU,,1610478124,1609357009,basic,False
175,42184250,krumpliarc,,2,HU,,1610492485,1515594856,basic,False
176,105516896,ronszcs,,0,HU,,1610484235,1608384631,basic,False
177,110722782,szabobarna02,,0,HU,,1610348879,1610110731,basic,False
178,49784124,czakoattila,,3,HU,,1610491864,1537043126,basic,False
179,21514174,psalmuss,,7,HU,,1610456340,1426348458,basic,False
180,5985183,mincso,,33,HU,BP,1610392713,1319126352,basic,False
181,47642658,gyulasipeki,,0,HU,,1610442535,1530820588,premium,False
182,88613236,2chess101,,1,HU,,1610458855,1596890115,premium,False
183,91617590,gigafarok,,1,HU,,1610485706,1600627071,basic,False
184,85820008,bonis33,,1,HU,,1610479369,1593970362,basic,False
185,106929622,mjnpresents,,2,HU,,1610423876,1608884039,basic,False
186,40600896,privat71,,1,HU,,1610292719,1511292386,basic,False
187,47861300,karsol_chess,,0,HU,,1610484276,1531554666,basic,False
188,1396638,kurtizan,,0,HU,Budapest,1610401861,1212075870,basic,False
189,100653616,logaritmus111,,0,HU,,1610467311,1606755226,basic,False
190,97035904,wownoname,,0,HU,,1610477948,1605465261,basic,False
191,108019954,noahvant,,0,HU,,1610468380,1609232534,basic,False
192,106790706,afejebeistort,,0,HU,,1610469282,1608830820,basic,False
193,108106226,letezonem,,0,HU,,1610367100,1609262017,basic,False
194,94832756,vodorviz,,2,HU,,1610490017,1604337775,basic,False
195,103221988,blahblublah,,0,HU,,1610358837,1607590445,basic,False
196,27865766,axusss,,1,HU,Nagykanizsa,1610482699,1461353246,basic,False
197,105745292,skal02,,1,HU,,1610446270,1608464872,basic,False
198,104132698,zoltankinczli,,0,HU,,1610488101,1607899135,basic,False
199,110590608,iiibs,,0,HU,,1610397927,1610056877,basic,False
200,13423682,bodozoli,,3,HU,,1610477145,1378459574,basic,False
201,108465228,bennywatts42069,,0,HU,,1610366301,1609373044,basic,False
202,108964332,angyaljani,,0,HU,,1610096989,1609542239,basic,False
203,104208682,drew_83,,0,HU,,1610110954,1607931385,basic,False
204,104988448,deny79,,0,HU,,1610139753,1608195973,basic,False
