player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,20728010,friedsmokedliver,,64,IN,,1610175948,1421849673,basic,False
1,5753684,sureshaa,,6,IN,"SHAHADA, NANDURBAR, MAHARASHTRA , BHARAT",1610470325,1315490364,basic,False
2,60969688,pthiru_503,,0,IN,,1610468560,1557829511,basic,False
3,56634864,vanshi_a,,0,IN,,1610433483,1548683907,basic,False
4,27417582,urjamehrotra2003,,4,IN,Bangalore,1610420569,1458885297,premium,False
5,35542250,nishan25303,,1,IN,,1610453795,1494845375,basic,False
6,80270918,amicaowen,,6,IN,,1610491340,1590222371,basic,False
7,65493136,kunalsikand,,7,IN,,1610438061,1568467446,basic,False
8,70566058,mani13539,,1,IN,,1610480583,1578664271,basic,False
9,88369140,anujachess95,,1,IN,,1610384954,1596634279,basic,False
10,101298612,adeeeeey,,0,IN,,1610270149,1606964396,basic,False
11,70695720,2010ravi,,8,IN,,1610470965,1578909103,basic,False
12,96177546,kdjaiswal,,13,IN,,1610444403,1605080956,basic,False
13,98277984,d_stags18,,12,IN,,1610370598,1605947146,basic,False
14,111044308,sandeep1107,,0,IN,,1610210857,1610210849,basic,False
15,107174478,pdprtr,,0,IN,,1610468376,1608961968,basic,False
16,6946303,abhikply,,0,IN,kollam,1610471712,1331536199,basic,False
17,108363142,kabeerchaudhary,,1,IN,,1610201487,1609347882,basic,False
18,32758480,r5j5,,2,IN,,1610454443,1485676811,basic,False
19,87605306,utkar78,,0,IN,,1610238825,1595764061,basic,False
20,29314150,blackkfish,,1,IN,Mumbai,1610449778,1470134171,basic,False
21,79585718,kartikeyashah,,38,IN,,1610483153,1589560772,basic,False
22,78453862,mhtsharma,,5,IN,delhi,1610378215,1588484516,basic,False
23,8325450,canandgowda,,3,IN,BANGALORE,1610471802,1343298475,basic,False
24,36626070,vmr008,,2,IN,,1610276049,1498582676,basic,False
25,74229692,swetajajoo0000,,1,IN,,1610168444,1584944614,basic,False
26,52167844,raman2s,,6,IN,,1610453534,1542837243,basic,False
27,46951708,swapnil511994,,23,IN,,1610491825,1528564534,basic,False
28,75756778,manish_7k1,,14,IN,Delhi,1610182565,1586099841,basic,False
29,100395192,y0urs_senpaii,,1,IN,,1610458790,1606666252,basic,False
30,24155644,pindali,,13,IN,Thrissur,1610385509,1442503733,basic,False
31,99381556,dhruvathebatman,,5,IN,,1610469126,1606318936,basic,False
32,105059312,user123453,,2,IN,,1610466867,1608221115,basic,False
33,75485326,ane_j,,7,IN,,1610477459,1585884620,basic,False
34,110493810,krishna7322,,1,IN,,1610133848,1610034434,basic,False
35,1906382,kamalesh_avni,,0,IN,ahmedabad,1610463796,1241607998,basic,False
36,25919740,saddur,,1,IN,,1610480365,1451810862,basic,False
37,13130684,oldmonk02,,11,IN,Dharmadam,1610468642,1376414455,basic,False
38,95240548,ysrrawat001,,0,IN,,1610383658,1604587349,basic,False
39,110420194,white_devil_368,,1,IN,India,1610438863,1610007710,basic,False
40,106702236,preet1862,,0,IN,,1610478785,1608795479,basic,False
41,12264320,babuselva,,6,IN,Tamil Nadu,1610478830,1370939563,basic,False
42,59215996,deadpool398,,1,IN,,1610163251,1554000602,basic,False
43,107828476,jassi094,,1,IN,,1610209149,1609172260,basic,False
44,76387796,debajyoti_roy,,1,IN,India,1610475876,1586625830,basic,False
45,18815030,sparsh1176,,15,IN,kota,1610470228,1410156028,basic,False
46,30964682,eswarichandiran,,66,IN,,1610421564,1479386962,basic,False
47,91317774,ramz1208,,0,IN,,1610184259,1600230776,basic,False
48,3910440,sudhanshu55,,4,IN,kochi,1610111420,1283267993,basic,False
49,78271902,sagartyagi,,3,IN,,1610481162,1588302028,basic,False
50,39380772,vikrant1234567,,3,IN,,1610457812,1507806278,basic,False
51,94405328,lagoon_d_dragon,,2,IN,,1610482823,1604036733,basic,False
52,111047392,ayushak47001,,1,IN,,1610231651,1610211622,basic,False
53,77864520,ritwiksahay,,7,IN,,1610433706,1587912981,premium,False
54,108595924,magneslevyhikaru,,0,IN,,1610428916,1609428005,basic,False
55,91319610,sailingreport,,5,IN,,1610422681,1600234251,basic,False
56,31447412,noivern2007,,16,IN,Tamil Nadu,1610095911,1481103574,basic,False
57,29188554,jay_jd,,5,IN,Gujarat,1610469220,1469326573,basic,False
58,76443312,gk1986,,5,IN,,1610478139,1586673984,basic,False
59,76547072,badshah122,,5,IN,,1610458961,1586757640,basic,False
60,56474498,alpha_zer000,,383,IN,,1610203271,1548355226,premium,False
61,20505750,girishsanadhya123,,3,IN,udaipur,1610475175,1420538283,basic,False
62,82489580,elaezhil,,4,IN,,1610413067,1592047154,basic,False
63,76163350,hari282,,7,IN,,1610473224,1586446893,basic,False
64,102487352,nooob690,,0,IN,,1610458711,1607353288,basic,False
65,83979690,swingingqueen07,,10,IN,india,1610485325,1592909943,basic,False
66,110803928,utk107,,0,IN,,1610133573,1610131676,basic,False
67,109970694,pradeepkumar077,,0,IN,,1610337475,1609864716,basic,False
68,82645926,gambler2098,,3,IN,,1610471248,1592145140,basic,False
69,89785972,killer0203,,1,IN,,1610444871,1598333672,basic,False
70,77177004,bahauddinaziz,,11,IN,,1610134917,1587290038,basic,False
71,92989826,prathamvaidya,,5,IN,,1610447282,1602527411,basic,False
72,89815190,chessdudekashi,,3,IN,,1610464005,1598370110,basic,False
73,110176898,sampathkavi,,0,IN,,1610294918,1609928557,basic,False
74,98992960,sahil_sux_at_chess,,0,IN,,1610457213,1606196126,basic,False
75,45010328,sarahzuha,,51,IN,,1610444005,1522956021,basic,False
76,111063022,davideisen87,,0,IN,,1610232344,1610215227,basic,False
77,94212496,saurabhp9,,8,IN,,1610426502,1603893329,basic,False
78,77061910,p4pratikjain,,6,IN,,1610457331,1587193233,basic,False
79,90593508,aneeshmh,,1,IN,,1610474867,1599293114,basic,False
80,95374926,akram_2000,,4,IN,Durgapur,1610466853,1604665057,basic,False
81,21902342,maheshpanchal47,,1,IN,,1610469972,1428625872,basic,False
82,66687494,tanushavula,,9,IN,,1610476053,1571101332,basic,False
83,101077500,ruchika44,,1,IN,,1610447379,1606894673,basic,False
84,82006352,cleversheep,,4,IN,,1610101432,1591712694,basic,False
85,87130428,kadch,,2,IN,,1610479583,1595224162,basic,False
86,110234730,amit28199,,0,IN,,1610280692,1609947940,basic,False
87,71979826,mr_j74,,9,IN,Vizianagaram,1610475898,1581316021,basic,False
88,104173236,sha239,,0,IN,,1610202555,1607913607,basic,False
89,7042763,alekhrj,,1,IN,varanasi,1610475956,1332352364,premium,False
90,78542772,akash4141,,3,IN,,1610457379,1588575548,basic,False
91,106291872,rohith_02,,0,IN,,1610476943,1608647737,basic,False
92,35366046,jjabberwocky,,9,IN,,1610293332,1494237776,basic,False
93,91333978,guju49,,0,IN,,1610484521,1600254506,basic,False
94,93430714,chaitra7,,2,IN,,1610471210,1603092245,basic,False
95,76162978,bhaveshmadkar,,1,IN,,1610464715,1586446633,basic,False
96,108369388,mksid,,4,IN,,1610492388,1609349494,basic,False
97,74739042,raghavguptam,,3,IN,,1610473329,1585344339,basic,False
98,91361532,icantplayfr,,10,IN,,1610476434,1600281895,basic,False
99,46022658,sanjanashrivastav,,35,IN,,1610474717,1525855398,basic,False
100,100176854,kushgupta0107,,0,IN,,1610482190,1606586185,basic,False
101,29880464,samratpawar,,3,IN,Mumbai,1610468979,1473571377,basic,False
102,95128002,gmadrito,,7,IN,,1610477096,1604514477,basic,False
103,90896734,r_ishabh,,3,IN,Indore,1610470730,1599683164,basic,False
104,31324206,prime1203,,1,IN,India,1610110981,1480672289,basic,False
105,91389922,vibha_narasimha,,7,IN,,1610476563,1600325730,basic,False
106,24567908,ankanzz,,2,IN,,1610475419,1444798218,basic,False
107,4130897,jai2461609,,3,IN,mumbai,1610485845,1287321783,basic,False
108,8705370,kckaushal,,5,IN,DEHRADUN,1610442334,1346166560,basic,False
109,38850362,rohti,,1,IN,,1610482944,1506077702,basic,False
110,85144510,redmonkey403,,13,IN,,1610453845,1593543478,basic,False
111,32231762,rohithkp,,0,IN,,1610199076,1483873926,basic,False
112,29292066,captainvyoom,,2,IN,,1610206226,1469988868,basic,False
113,79589920,vijay61,,1,IN,,1610373408,1589563673,basic,False
114,98779106,mihirpatel7,,0,IN,,1610446048,1606133150,basic,False
115,105532142,varshini96,,1,IN,,1610395059,1608389848,basic,False
116,109916240,sar0811,,1,IN,,1610124401,1609848333,basic,False
117,100328214,decode1011,,15,IN,,1610444806,1606640608,basic,False
118,111003010,jiyadjaleel,,0,IN,,1610371673,1610199381,basic,False
119,56972682,aksh_deepblue,,2,IN,,1610453686,1549379141,basic,False
120,55249712,sujathau,,4,IN,,1610494805,1546055069,basic,False
121,14765532,vighneshch,,11,IN,Machilipatnam,1610475982,1385790912,basic,False
122,105630196,neetroned,,3,IN,,1610496939,1608415729,basic,False
123,82001714,sivaprasadvanga,,0,IN,,1610452511,1591709607,basic,False
124,13078014,mathewpcharly,,0,IN,alappey,1610363099,1376052232,basic,False
125,108602958,dhaani2002,,0,IN,,1610473120,1609430124,basic,False
126,46297426,nitin2104,,1,IN,,1610469655,1526658600,basic,False
127,81275726,arvohra,,10,IN,,1610486016,1591126018,basic,False
128,96285948,avijit7,,0,IN,,1610484378,1605127453,basic,False
129,75087618,swwaminathan12,,4,IN,,1610474948,1585585853,basic,False
130,64578716,nilesh1971,,1,IN,,1610445475,1566479833,basic,False
131,81420078,jaydeepmukherjee,,2,IN,Kolkata,1610378749,1591251585,basic,False
132,90793388,sahil0272,,6,IN,,1610469198,1599559927,basic,False
133,86593058,pawnslayer20,,1,IN,,1610379245,1594650715,basic,False
134,92883674,udibaba0,,2,IN,,1610486219,1602394827,basic,False
135,105057894,estoysid,,0,IN,,1610466755,1608220723,basic,False
136,78099668,acerovan,,1,IN,,1610460108,1588134969,basic,False
