player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,104072766,d272,,13,IT,,1610410547,1607884138,basic,False
1,103265100,kendy16,,0,IT,,1610181817,1607606992,basic,False
2,43673688,amirkarimi89,,5,IT,Roma,1610469409,1519498398,premium,False
3,110297394,gianpaolo1959,,3,IT,,1610484729,1609962393,basic,False
4,100117176,argon_92,,3,IT,Trieste,1610492825,1606567183,basic,False
5,17809836,augustomichela,,6,IT,milano,1610449790,1403599161,basic,False
6,105626134,ngeneros,,0,IT,,1610433041,1608414691,basic,False
7,28615720,gyokuro,,4,IT,,1610240748,1465820905,basic,False
8,100372566,martedeschi,,2,IT,,1610453546,1606659203,basic,False
9,100474998,malleolo,,0,IT,,1610363226,1606686967,basic,False
10,17087378,anna1967,,29,IT,San Lorenzello,1610497997,1398674700,basic,False
11,25986800,zeta98,,15,IT,,1610357585,1452114799,basic,False
12,110972740,mike_il_rosso,,0,IT,,1610486316,1610188231,basic,False
13,41577668,giacomomarocco,,2,IT,,1610469822,1513963868,premium,False
14,99989802,lh44mari,,1,IT,,1610488933,1606512182,basic,False
15,56132886,armikkle,,7,IT,,1610494942,1547730777,basic,False
16,88932282,purpleluma,,0,IT,,1610486348,1597267803,basic,False
17,105630140,chiadan,,0,IT,,1610491778,1608415711,basic,False
18,110316660,dasokamura,,0,IT,,1610480145,1609966932,basic,False
19,92832730,gelsy01,,5,IT,,1610476404,1602327155,basic,False
20,99708196,gigi2125,,2,IT,,1610487378,1606417406,basic,False
21,30392592,rohran,,1,IT,,1610385466,1476462878,basic,False
22,60004274,squared77,,4,IT,,1610462165,1555686747,basic,False
23,110956524,igorace12,,0,IT,,1610351180,1610180325,basic,False
24,59501024,antoniofrontino,,0,IT,,1610396885,1554592202,basic,False
25,96298556,knr97,,0,IT,,1610312031,1605131949,basic,False
26,97403632,vittoriogiacopini,,1,IT,,1610458811,1605617892,basic,False
27,41964130,giulioto,,6,IT,,1610474024,1515001477,basic,False
28,77320808,valasia,,0,IT,,1610454618,1587409926,basic,False
29,105270100,dibi65,,0,IT,,1610484933,1608297351,basic,False
30,102236068,simone07999,,2,IT,,1610311128,1607271190,basic,False
31,106056614,bittur,,0,IT,,1610477195,1608567924,basic,False
32,69604794,bernardeschi0,,7,IT,,1610234850,1576839019,basic,False
33,97618190,mass54,,0,IT,,1610494642,1605699234,basic,False
34,95525874,lelelelelll,,2,IT,,1610237825,1604749391,basic,False
35,100418380,lu_zinna,,1,IT,,1610496248,1606672668,basic,False
36,108930752,sicada729,,3,IT,,1610443210,1609534373,basic,False
37,18222806,snoo97,,1,IT,Napoli,1610496024,1406319392,basic,False
38,58650336,mmelzi,,6,IT,,1610440174,1552855052,basic,False
39,105878692,yummycut,,0,IT,,1610136916,1608500791,basic,False
40,98669130,andrea1997chitacota,,1,IT,,1610490539,1606083173,basic,False
41,101257928,ginevracn,,2,IT,,1610372909,1606949841,basic,False
42,91724454,mattigir8,,0,IT,,1610462537,1600777181,basic,False
43,100980106,scazzomatto7,,0,IT,,1610374711,1606857841,basic,False
44,41386952,brandoscacchi,,18,IT,,1610469770,1513435462,basic,False
45,110971464,nicolapaonessa,,0,IT,,1610188787,1610187733,basic,False
46,109665682,vadofacile,,0,IT,,1610482487,1609769472,basic,False
47,100089398,ivpiccar,,0,IT,,1610476706,1606554016,basic,False
48,101877112,robbiiii,,1,IT,,1610262605,1607158954,basic,False
49,89339832,emiliodeparis,,1,IT,,1610462512,1597776839,basic,False
50,73817916,vincenzobusacca94,,0,IT,,1610487043,1584567631,basic,False
51,45357278,dcampoc,,17,IT,,1610284327,1523901354,basic,False
52,89006922,aelita666,,0,IT,,1610494097,1597359982,basic,False
53,104154222,crispy_mcbacon,,0,IT,,1610112514,1607906291,basic,False
54,98578512,kioma-san,,0,IT,,1610444675,1606058899,basic,False
55,18756164,lomy791,,3,IT,,1610480672,1409767186,basic,False
56,74697652,albatros510,,0,IT,,1610490304,1585321880,basic,False
57,107061738,vladider,,0,IT,,1610290001,1608926233,basic,False
58,100143250,bonny931,,2,IT,,1610490093,1606576551,basic,False
59,51768870,litheon,,4,IT,,1610482755,1542049301,basic,False
60,109099740,missc8,,1,IT,,1610395596,1609596417,basic,False
61,48589866,ivocamicioli,,0,IT,,1610437427,1533753637,basic,False
62,40091034,lorenzocanoro,,30,IT,,1610462421,1509914573,basic,False
63,94852838,dfeetit,,4,IT,,1610496658,1604345256,basic,False
64,106839160,lucavale21,,2,IT,,1610308561,1608844521,basic,False
65,63812288,onlywithyou,,15,IT,,1610493221,1564517540,basic,False
66,38452760,moriscremonini,,0,IT,,1610466636,1504792473,basic,False
67,12315428,maxmin61,,1,IT,,1610475702,1371210968,premium,False
68,80295452,heymaik,,2,IT,,1610491586,1590247031,basic,False
69,108192980,aury981,,0,IT,,1610494391,1609282199,basic,False
