player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,101346990,wisewolves,,1,JP,,1610192539,1606987074,basic,False
1,110700924,yakisakana,,0,JP,,1610455087,1610102297,basic,False
2,103207424,kenthetaro,,2,JP,,1610204343,1607583742,basic,False
3,71630884,7mrmoon,,5,JP,,1610196604,1580665025,basic,False
4,43560056,ramregmi1,,18,JP,,1610499852,1519215565,basic,False
5,107819444,hnkmmm,,1,JP,,1610278325,1609169804,basic,False
6,44827776,cauauu,,0,JP,,1610438735,1522488571,premium,False
7,77168772,fwhy1280,,0,JP,,1610370237,1587282004,basic,False
8,100284488,shinnakayama,,9,JP,,1610435260,1606618091,premium,False
9,70295068,tarotaro92yapi,,0,JP,,1610172925,1578151456,basic,False
10,94098852,tobyasha,,2,JP,,1610494612,1603801297,basic,False
11,38096006,shorthopepeace,,2,JP,,1610439024,1503644591,basic,False
12,103282198,capitainsh,,2,JP,,1610434804,1607612128,basic,False
13,72686584,deprimir,,2,JP,idk,1610360787,1582660160,basic,False
14,57418434,hsmoto,,1,JP,,1610175991,1550287766,basic,False
15,92828018,jackdawack,,2,JP,,1610272763,1602320102,basic,False
16,108717078,tsubasamoriwaki,,0,JP,,1610432787,1609462185,basic,False
17,109285908,haruko7,,0,JP,,1610451924,1609641938,basic,False
18,101889552,juicysprings,,1,JP,,1610483926,1607164354,basic,False
19,74308308,ryuseikonno,,4,JP,,1610461605,1585003107,basic,False
20,92888186,lkhagva0123,,5,JP,,1610490636,1602402598,basic,False
21,81762584,ftmean,,18,JP,Osaka,1610494238,1591532525,basic,False
22,98495494,cutiepinay,,1,JP,,1610175982,1606022770,basic,False
23,94057042,hiroshi09,,0,JP,,1610492942,1603756852,basic,False
24,98777964,yoyopython,,1,JP,,1610463181,1606132664,basic,False
25,110932764,virgile486,,1,JP,,1610199079,1610167795,basic,False
26,98273976,koosa7,,1,JP,,1610497925,1605944820,basic,False
27,34027380,willis168,,2,JP,,1610476777,1489723117,basic,False
28,106725984,edel1326,,1,JP,,1610454600,1608808688,basic,False
29,19051712,jetsurgeon,,357,JP,In the sky,1610498898,1411696730,premium,False
30,103880052,mraltair,,2,JP,,1610478052,1607811577,basic,False
31,12452474,toritoripiyoyo,,3,JP,,1610459596,1372057675,premium,False
32,91674566,kouki1379,,5,JP,,1610469089,1600708158,basic,False
33,76226542,toniguchi,,1,JP,,1610199557,1586497982,basic,False
34,70465862,leanhtoan,,1,JP,Cambridge,1610426875,1578477695,basic,False
35,91151704,masamichiart,,2,JP,,1610499490,1600013546,basic,False
36,110964280,kasfgjv,,0,JP,,1610187767,1610184418,basic,False
37,93492334,purinpurin,,1,JP,,1610487280,1603166591,basic,False
38,53419784,pizzanuggetsdoge,,3,JP,,1610433031,1545150709,basic,False
39,102753904,anuskabouter,,4,JP,,1610470333,1607437739,basic,False
40,111008340,sbeve62,,0,JP,,1610201060,1610201058,basic,False
41,22427764,ayapmayap,,0,JP,,1610459178,1431870028,basic,False
42,77740402,rei-wan,,1,JP,,1610179641,1587803086,basic,False
43,105932674,railatchi,,0,JP,,1610184245,1608518193,basic,False
44,106696548,joseceballos,,1,JP,,1610349131,1608791911,basic,False
45,102177976,miaheirondelle,,3,JP,,1610375080,1607253764,premium,False
46,52615690,yasuakimori,,0,JP,,1610445308,1543656834,basic,False
47,109407818,sandalpyonn,,1,JP,,1610195642,1609688202,basic,False
48,52570994,mushroompancake,,1,JP,,1610448574,1543586274,basic,False
49,93886024,tanaham,,0,JP,,1610438639,1603605278,basic,False
50,78300990,eiseiseis,,7,JP,,1610177258,1588337126,basic,False
51,70109994,thomson0688,,0,JP,,1610164647,1577793613,basic,False
52,45940020,futsugyo,,4,JP,,1610486262,1525599907,basic,False
53,103524886,kawaiispectrum,,2,JP,,1610422352,1607695377,premium,False
54,6581719,edanon,,38,JP,,1610436681,1327902212,premium,False
55,50476356,ivanlysenko,,1,JP,,1610495001,1538845874,premium,False
56,91492506,airi_namikaze,,1,JP,,1610292807,1600451121,basic,False
57,101427680,quekemqqqq,,0,JP,,1610495363,1607013320,basic,False
58,44815836,jezdv,,16,JP,,1610468242,1522447616,basic,False
59,36544546,uknown1379,,6,JP,"Shibuya-ku, Yoyogi",1610454653,1498299741,basic,False
60,15348504,takamune,,9,JP,,1610455903,1388551114,basic,False
61,43755704,acab242,,3,JP,,1610485693,1519724877,basic,False
62,36765136,booooonbbb,,1,JP,,1610157720,1499093405,premium,False
63,74932366,naoyuki847,,14,JP,,1610499442,1585484858,basic,False
64,60609221,jukakurita,,3,JP,,1610348105,1557045777,basic,False
65,69388356,tidumm,,2,JP,,1610469999,1576433846,basic,False
66,95713436,yuko4,,0,JP,,1610499568,1604852506,premium,False
67,108848112,wilhelmirvin,,1,JP,,1610457967,1609514300,basic,False
68,69492312,dragonhidemomo1,,2,JP,,1610488446,1576624327,basic,False
69,28356414,phenomenalone113,,1,JP,,1610472953,1464229146,basic,False
70,109340768,rhino0515,,1,JP,,1610097216,1609665705,basic,False
71,94753926,nakayamaakifumi,,1,JP,,1610453457,1604281718,premium,False
72,24335388,tachi_panda,,3,JP,,1610355211,1443495565,basic,False
73,96711474,maninb1ack,,0,JP,,1610432503,1605318058,basic,False
74,99781346,bytherule,,1,JP,,1610244446,1606435710,basic,False
75,50943366,raitora,,11,JP,Mexico Japan,1610461442,1539999630,basic,False
