player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,20373860,checkumate88,,1,NO,,1610347444,1419780563,basic,False
1,82791316,uvalhal,,2,NO,,1610235364,1592238479,premium,False
2,14584906,bernten0284,,2,NO,,1610390500,1385150345,basic,False
3,108792306,henaar,,0,NO,,1610277444,1609490637,basic,False
4,100455582,toralida,,1,NO,,1610204295,1606682055,basic,False
5,97016036,momyrland,,0,NO,,1610399766,1605459313,basic,False
6,107048586,rag80,,3,NO,,1610421278,1608923243,basic,False
7,101939418,pukern,,1,NO,,1610394827,1607180098,basic,False
8,3957135,eirik77,,5,NO,,1610376875,1284129190,basic,False
9,14989944,einarht,,9,NO,7125 Vanvikan,1610359507,1386846176,basic,False
10,14707774,kronkel58,,3,NO,,1610400298,1385568131,premium,False
11,110315404,kiwibob3,,2,NO,,1610316689,1609966607,basic,False
12,14556342,cetus65,,16,NO,Auli,1610419716,1385064007,premium,False
13,19206352,rekekasparov,,17,NO,Bogen,1610405424,1412694934,basic,False
14,32710952,jaybello,,3,NO,,1610406286,1485523906,basic,False
15,11365974,artsoo,,1,NO,Oslo,1610425506,1364859543,basic,False
16,45374548,rogereiterjord,,0,NO,,1610370279,1523951124,basic,False
17,109358452,didrikbockmann,,2,NO,,1610126015,1609673150,basic,False
18,19799992,sostu,,4,NO,,1610424093,1416420631,basic,False
19,106155324,stinky_sticky,,0,NO,,1610233297,1608592269,basic,False
20,98778296,hokon2,,1,NO,,1610376203,1606132803,basic,False
21,2378566,solberg,,1,NO,,1610124805,1260894844,basic,False
22,103865092,nicklas08,,0,NO,,1610351536,1607807644,basic,False
23,106149430,ionas5,,3,NO,,1610365514,1608590580,premium,False
24,108067800,flojl,,0,NO,,1610148330,1609251367,premium,False
25,109739164,azadeh1,,0,NO,,1610398611,1609787741,basic,False
26,76592584,arn1977,,1,NO,,1610386326,1586794878,basic,False
27,92238162,bragesande,,2,NO,,1610192804,1601459101,basic,False
28,31363294,borlaug1,,16,NO,,1610405701,1480794825,basic,False
29,53505150,elias_03,,20,NO,,1610378214,1545308753,basic,False
30,31063082,torkytork,,16,NO,,1610400184,1479756046,premium,False
31,110761074,revi123,,0,NO,,1610121902,1610121853,basic,False
32,19643428,mrrust,,1,NO,,1610410369,1415537815,premium,False
33,106126812,mort1rulle,,4,NO,,1610392261,1608584795,basic,False
34,31066832,00-7,,4,NO,,1610405274,1479766458,premium,False
35,109257366,skoale,,0,NO,,1610406415,1609632854,basic,False
36,25617464,anjumgondal,,2,NO,Oslo,1610398151,1450346701,basic,False
37,30242718,sanderovergard,,2,NO,,1610317352,1475666413,basic,False
38,31233778,frodefer75,,4,NO,,1610403836,1480369190,basic,False
39,23453518,tess1505,,0,NO,,1610387420,1438212739,basic,False
40,15682944,funkyroy,,1,NO,,1610400462,1390320346,basic,False
41,80642924,imdoffen,,0,NO,Trondheim,1610196770,1590569884,basic,False
42,90524272,ludvwang,,0,NO,,1610147827,1599207881,basic,False
43,99337514,lamek767,,1,NO,,1610402938,1606306818,basic,False
44,13474868,freiburg,,1,NO,,1610404958,1378820652,basic,False
45,4294521,skb1966,,24,NO,Oslo,1610391388,1290545946,premium,False
46,17154640,thomasvonp,,6,NO,,1610375260,1399110639,premium,False
47,65928092,nilswik,,1,NO,,1610370061,1569439285,basic,False
48,94893024,torjusrh,,2,NO,,1610400932,1604366112,basic,False
49,28256974,tmb1,,1,NO,,1610248815,1463656389,basic,False
50,110217982,hockeyboy26,,0,NO,,1610212307,1609943333,basic,False
51,14428508,nikaabel,,4,NO,,1610409022,1384629944,basic,False
52,22839512,mrlang,,5,NO,,1610396862,1434407889,basic,False
53,71282046,bennibamse,,2,NO,,1610111126,1579991041,basic,False
54,31251644,tikilar,,2,NO,,1610371449,1480437180,basic,False
55,55343916,olkrvi,,2,NO,,1610210580,1546253019,basic,False
56,18490308,esmat57,,6,NO,Mjøndalen,1610392928,1408019407,basic,False
57,70870064,ayyylma,,17,NO,,1610424543,1579222994,basic,False
58,31918578,helberg98,,23,NO,,1610403765,1482837917,basic,False
59,72191282,dundermonkey,,2,NO,Hakadal,1610343113,1581705095,premium,False
60,105322276,gjoshone,,1,NO,,1610401478,1608312651,basic,False
61,31041662,sebbe50,,3,NO,,1610402500,1479671041,basic,False
62,52885314,henrikhagen98,,4,NO,,1610384335,1544130784,premium,False
63,14453728,gunnaldo,,0,NO,drammen,1610234504,1384720691,basic,False
64,44690506,frolson,,6,NO,,1610403950,1522135819,basic,False
65,30954656,kristianmork,,8,NO,,1610403308,1479337027,basic,False
66,108816786,gull92,,0,NO,,1610155472,1609503250,basic,False
67,14638762,olenost,,7,NO,Trondheim,1610404742,1385319724,premium,False
68,4906747,mountainape,,21,NO,Molde,1610411687,1301184133,basic,False
69,31461222,laaandlords,,4,NO,,1610396033,1481144955,basic,False
70,32916000,karlengm,,0,NO,,1610210960,1486201360,basic,False
71,56131604,kapteinkulkis,,7,NO,,1610417265,1547728223,basic,False
72,16220180,eroteil,,10,NO,Halden,1610327425,1393406646,basic,False
73,14634954,alexander-dahl,,64,NO,Tønsberg,1610425490,1385309985,basic,False
74,14419448,krifr,,2,NO,,1610346758,1384605622,basic,False
75,14707592,johannbest,,5,NO,,1610194561,1385567681,basic,False
76,34752738,rogerbjo,,19,NO,,1610391550,1492114598,premium,False
77,14292826,andrhett,,14,NO,,1610402091,1384092977,premium,False
78,49461522,gris1geir,,7,NO,bringedal,1610394921,1536176959,basic,False
79,97067070,rafalgoku,,4,NO,,1610402566,1605473848,basic,False
80,47812364,madsueland,,1,NO,,1610405756,1531388925,basic,False
81,87338394,bonden1234,,1,NO,,1610377486,1595448381,basic,False
82,102990016,wadongnakji,,1,NO,,1610272734,1607513404,basic,False
83,71803724,mahmoud0440,,0,NO,,1610408397,1580996854,basic,False
84,108954492,fro1sis,,0,NO,,1610281037,1609539814,basic,False
85,32039282,mortenmarthinsen,,14,NO,,1610395724,1483223521,basic,False
86,80659276,p1bu44,,0,NO,,1610202862,1590586167,basic,False
87,15506988,torbfr,,4,NO,,1610402105,1389369835,basic,False
88,31625148,shambergbvi,,10,NO,,1610399927,1481761403,basic,False
89,36601970,bhs2000,,0,NO,,1610393422,1498497961,basic,False
90,107692946,hleiram,,3,NO,,1610238548,1609119576,basic,False
91,4190617,sjakk-kaj,,7,NO,,1610394319,1288531949,basic,False
92,98614930,nikovljevbelic,,1,NO,,1610396585,1606068858,basic,False
93,72865254,helgehell,,4,NO,Tyssedal,1610374027,1582999264,basic,False
94,65128676,christianb1990,,1,NO,,1610395931,1567688524,premium,False
95,110822030,atlesivertsen,,1,NO,,1610136194,1610135489,basic,False
96,102204654,katklepp,,4,NO,,1610407961,1607262508,basic,False
97,102272010,flippa7,,0,NO,,1610380094,1607279931,basic,False
98,30850634,jan-einar,,3,NO,,1610134276,1478857777,basic,False
99,109795380,antonioandramfer,,1,NO,,1610149924,1609799734,basic,False
100,52093804,mars2810,,6,NO,,1610367499,1542703947,basic,False
101,25673724,hedviig,,4,NO,Oslo,1610309442,1450640789,basic,False
102,41861912,sjakkhooli,,19,NO,,1610390457,1514724102,premium,False
103,21078878,70quasimodo,,28,NO,,1610408457,1423870668,basic,False
104,14661478,widar,,4,NO,Oslo,1610304257,1385400731,basic,False
105,14657916,asp194,,7,NO,,1610425132,1385390488,basic,False
106,89678618,naurisgg,,0,NO,,1610109428,1598199182,basic,False
107,14829684,carnera,,9,NO,,1610368622,1386084862,basic,False
108,94202344,eliaschess123,,6,NO,,1610416480,1603885817,basic,False
109,90386146,george9666,,2,NO,,1610410326,1599043579,basic,False
110,26499516,nickatnyte,,15,NO,Stjørdal,1610393388,1454530124,premium,False
111,41041746,werpaa,,1,NO,,1610356567,1512506996,basic,False
112,103012288,supersolsem,,2,NO,,1610371650,1607521180,basic,False
113,32734276,kjellevator,,18,NO,,1610384972,1485597952,premium,False
114,54959062,bendiklind,,5,NO,,1610364542,1545596319,basic,False
115,73277442,bessfar,,0,NO,,1610402432,1583793120,basic,False
116,14618464,ferdinandjaral,,2,NO,,1610379922,1385248423,premium,False
117,110857430,hoset,,1,NO,,1610234137,1610143096,basic,False
118,19736450,dabjoer,,12,NO,Klepp,1610368980,1416076489,premium,False
119,31396946,karolineons,,1,NO,,1610375092,1480917518,basic,False
120,76807432,tarjewang,,3,NO,,1610409275,1586976122,premium,False
121,19872146,benredik,,11,NO,,1610414714,1416811238,premium,False
122,62982230,puffell,,0,NO,,1610310786,1562297205,basic,False
123,31586470,sondov,,5,NO,,1610366154,1481625000,basic,False
124,9026652,haraldholter,,5,NO,,1610127806,1348517063,basic,False
125,22217562,pappastokken,,1,NO,Gressvik,1610138909,1430560709,basic,False
126,41873124,vessitassen,,1,NO,,1610311715,1514749349,basic,False
127,78811640,geirthorsen,,3,NO,,1610426575,1588844549,basic,False
128,51892308,marshaloddus,,1,NO,,1610368383,1542302904,basic,False
129,110855830,elias-oo,,0,NO,,1610320790,1610142744,basic,False
130,72538146,ipswich-town,,0,NO,,1610402161,1582372831,basic,False
131,14508480,mongosaurus,,5,NO,,1610387844,1384900494,basic,False
