player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,102735628,borispretzel,,0,PL,,1610562145,1607432156,basic,False
1,74830964,balaziom,,2,PL,,1610136474,1585413887,basic,False
2,59929896,burek1988,,0,PL,,1610533640,1555518758,basic,False
3,53478778,bartekgg,,1,PL,,1610535036,1545251063,basic,False
4,108570298,borus01q,,0,PL,,1610560929,1609419267,basic,False
5,105153404,pavla223,,0,PL,,1610142742,1608245670,basic,False
6,82375158,mateusz527,,3,PL,,1610477211,1591966550,basic,False
7,55129102,haydi17,,0,PL,,1610534721,1545826891,basic,False
8,110448190,trathos,,0,PL,,1610281360,1610020119,basic,False
9,57118712,klempel,,1,PL,,1610555092,1549659496,basic,False
10,108853850,spawelec,,1,PL,,1610491026,1609515937,basic,False
11,94980132,unandergilde,,1,PL,,1610548336,1604424091,basic,False
12,103796028,syndeuterosa,,3,PL,,1610560047,1607789746,basic,False
13,110232392,olaf1948,,0,PL,,1610560287,1609947316,basic,False
14,90469254,krzyzankst,,16,PL,,1610562378,1599140659,premium,False
15,27538024,jokur13,,1,PL,,1610537565,1459500189,basic,False
16,104988924,igonnasmashyou,,1,PL,,1610544602,1608196181,basic,False
17,82346068,semir_14,,3,PL,,1610556115,1591942674,premium,False
18,110845388,xkrystian,,0,PL,,1610402822,1610140428,basic,False
19,31020252,polace83,,0,PL,,1610556142,1479587300,basic,False
20,98914720,felixef,,0,PL,,1610552427,1606170014,basic,False
21,110181772,mistygen,,0,PL,,1610212496,1609930610,basic,False
22,99095250,rampampam123,,0,PL,,1610482033,1606231714,basic,False
23,81377922,misatovg,,7,PL,,1610492899,1591213100,basic,False
24,103864518,gummysnake,,1,PL,,1610560896,1607807473,basic,False
25,106756000,majczi675,,2,PL,,1610553978,1608820258,basic,False
26,76080418,pawel010,,2,PL,,1610557862,1586369734,basic,False
27,73405220,phatrickcho,,0,PL,,1610548858,1584032492,premium,False
28,89131822,paccat,,1,PL,,1610562098,1597515358,basic,False
29,109087734,w33dzi0r,,0,PL,,1610150978,1609592528,basic,False
30,102741318,zosia_kokosia,,1,PL,,1610551767,1607433957,basic,False
31,99766892,wasicki,,1,PL,,1610238963,1606431326,basic,False
32,99878374,mlodyszymek,,4,PL,,1610562172,1606477412,basic,False
33,89491272,jeryk57,,0,PL,,1610389637,1597966095,basic,False
34,97831536,karlsob,,0,PL,,1610478358,1605777657,basic,False
35,80710300,idiota3,,6,PL,,1610533553,1590623136,basic,False
36,38520012,elwis111,,0,PL,,1610560163,1505033358,basic,False
37,108118576,obnibus,,0,PL,Warszawa,1610232165,1609265076,basic,False
38,82760680,cosiestalo123,,1,PL,,1610554655,1592218781,basic,False
39,71640856,finneraki,,1,PL,,1610533940,1580679476,premium,False
40,84484224,stasean,,3,PL,Wroclaw,1610446715,1593163653,basic,False
41,107328670,johny_54,,1,PL,,1610485201,1609012880,basic,False
42,96892566,worldin64squares,,0,PL,,1610365369,1605399343,basic,False
43,97971880,emil2115,,1,PL,,1610385158,1605823642,basic,False
44,102464710,xfinal_commandx,,0,PL,,1610460820,1607346504,basic,False
45,104103818,darodaro5,,2,PL,,1610552984,1607891681,basic,False
46,110321028,susinoo,,0,PL,,1610238798,1609968053,basic,False
47,98326342,kopsai,,1,PL,,1610155313,1605968303,basic,False
48,105984242,bartheme,,0,PL,,1610491415,1608543316,basic,False
49,97885402,rafal1123,,1,PL,,1610530922,1605799395,basic,False
50,32048178,zabiczarnuchow,,0,PL,,1610457628,1483267789,basic,False
51,104802176,qsowsky,,2,PL,,1610551954,1608132622,basic,False
52,101236890,periodate,,4,PL,,1610553939,1606944221,basic,False
53,106480844,leondoris,,0,PL,,1610536357,1608712170,basic,False
54,33192467,marvel_blackbird,,3,PL,Wrocław,1610523881,1487073682,premium,False
55,111071814,szymonzukowski,,0,PL,,1610322324,1610217239,basic,False
56,103635938,meowmeowski,,1,PL,,1610353224,1607724429,basic,False
57,106135794,thekensidlo,,0,PL,,1610562796,1608586963,premium,False
58,75320852,amaro21,,0,PL,,1610536104,1585759634,basic,False
59,111001838,kubson_95,,1,PL,,1610310499,1610199005,basic,False
60,70559914,memfiiss,,2,PL,,1610548104,1578653801,basic,False
61,64303212,xxxhansthebyczuxxx,,2,PL,,1610444064,1565800946,basic,False
62,111017660,dymek05,,0,PL,,1610235279,1610203817,basic,False
63,52684056,as_kostek,,8,PL,,1610483164,1543777618,basic,False
64,94957292,zbyszek96,,2,PL,,1610469206,1604412648,basic,False
65,101259490,piedromorreno,,0,PL,,1610547516,1606950329,basic,False
66,84828640,insect1916,,0,PL,,1610553280,1593339199,basic,False
67,66187354,matikumpel,,0,PL,,1610536922,1570018527,basic,False
68,108806012,jarwalrer,,0,PL,,1610536530,1609498430,basic,False
69,65292524,robertdawidziuk,,0,PL,,1610093499,1568010357,basic,False
70,33190145,orlowand,,4,PL,,1610547936,1487064904,basic,False
71,111070450,ciameq,,0,PL,,1610238708,1610216930,basic,False
72,55129102,haydi17,,0,PL,,1610534721,1545826891,basic,False
73,103304844,przemek-r,,1,PL,,1610537813,1607618497,basic,False
74,109349610,wiktoria0227,,3,PL,,1610218478,1609669654,basic,False
75,65883842,haden133,,3,PL,,1610496664,1569347083,basic,False
76,81401278,papiezotto,,2,PL,,1610553399,1591230750,basic,False
77,108014488,tentozee,,1,PL,,1610466404,1609229347,basic,False
78,47050550,tmahiat,,0,PL,,1610551158,1528861469,basic,False
79,34064693,rysiekkalisz,,0,PL,,1610518491,1489850048,basic,False
80,69196190,robaczegpl,,5,PL,,1610554051,1576085610,basic,False
81,14932904,bw2682,,0,PL,Skulsk,1610552601,1386548840,basic,False
82,95699552,maciolinka13,,2,PL,,1610546523,1604846291,basic,False
83,37255370,kitsone,,1,PL,,1610404731,1500840564,basic,False
84,89397420,marko531672,,4,PL,,1610561464,1597853117,premium,False
85,103584980,n0wlix,,0,PL,,1610543473,1607711681,basic,False
86,86355986,thesebos11,,10,PL,,1610482194,1594406596,basic,False
87,108369112,wiedzmis,,3,PL,,1610487792,1609349427,basic,False
88,109748772,damianso12,,1,PL,,1610388729,1609789702,basic,False
89,111071800,detronpl,,1,PL,,1610467618,1610217234,basic,False
90,40615370,onchelo,,12,PL,,1610560322,1511332911,basic,False
91,73846076,rokhub123,,25,PL,,1610112659,1584605938,basic,False
92,109746676,ola13218,,4,PL,,1610541402,1609789261,basic,False
93,100097172,maciekc90,,2,PL,,1610562460,1606558190,basic,False
94,13465846,tomek234,,0,PL,Radom,1610469136,1378748551,basic,False
95,83537610,kubolero,,3,PL,,1610518732,1592657789,basic,False
96,109435090,msmajdor,,0,PL,,1610161875,1609694729,basic,False
97,99042937,rimanello,,0,PL,,1610473466,1606216468,basic,False
98,104473224,mitozanin,,0,PL,,1610527027,1608020300,basic,False
99,96689158,bidzej17,,2,PL,,1610453104,1605307392,premium,False
100,104924248,mario7077,,0,PL,,1610532609,1608165753,basic,False
101,27383602,fraczek_20,,3,PL,,1610474124,1458721389,basic,False
102,100397240,alexakis7,,2,PL,,1610513964,1606666834,basic,False
103,100190892,xlipeq,,0,PL,,1610548057,1606589863,basic,False
104,105176732,magdalenalilla,,2,PL,,1610463622,1608254193,basic,False
105,53155548,ihancza,,4,PL,,1610142153,1544641287,basic,False
106,107750966,marrr222,,1,PL,,1610532798,1609144491,basic,False
107,92198148,falafelpeel,,4,PL,,1610558723,1601397548,basic,False
108,110494904,vikiaz,,0,PL,,1610206226,1610034732,basic,False
109,106054552,pitecky,,0,PL,,1610411015,1608567332,basic,False
110,91621132,piotrsas1,,5,PL,Krotoszyn,1610561634,1600631116,premium,False
111,110838780,maksimwolff,,2,PL,Gdańsk,1610541746,1610139036,basic,False
112,104584380,tooms13,,1,PL,,1610400248,1608056017,basic,False
113,102458094,lord_trzmielo,,0,PL,,1610300700,1607344362,basic,False
114,70921260,khaster22,,0,PL,,1610523026,1579313839,basic,False
115,92800796,forgetfulboar,,0,PL,,1610487302,1602275142,premium,False
116,36725262,kovson,,7,PL,,1610523730,1498938217,basic,False
117,44115230,howtomovepieces,,9,PL,,1610538882,1520636980,basic,False
118,38416924,zerstrahlung,,4,PL,,1610534698,1504677050,basic,False
119,47894568,milus3326,,3,PL,,1610464916,1531663150,basic,False
120,110535982,patrycja03,,0,PL,,1610387447,1610044907,basic,False
121,110289860,maciekpl1,,1,PL,,1610526863,1609960740,basic,False
122,110795384,gordon9089,,0,PL,,1610129856,1610129840,basic,False
123,109371640,truequexi,,0,PL,,1610457079,1609677811,basic,False
124,34387504,pawko1234,,14,PL,,1610556409,1490892847,basic,False
125,106638382,mihumura,,1,PL,,1610142010,1608765129,premium,False
126,60837142,szymczyk-k,,9,PL,,1610561373,1557516181,basic,False
127,70340548,matejwo,,1,PL,,1610553785,1578237197,basic,False
128,31447430,peepeek18,,1,PL,,1610542171,1481103629,basic,False
129,107767684,ilassuchar,,1,PL,,1610561798,1609152382,basic,False
130,26132654,lightplayer853,,1,PL,,1610212151,1452789422,basic,False
131,103665716,herbikuterek,,0,PL,,1610544720,1607734177,basic,False
132,106390216,ziombel23,,1,PL,,1610552756,1608673964,basic,False
133,110865940,baager18,,2,PL,,1610161797,1610145051,basic,False
134,98070078,puffinthebird,,0,PL,,1610539471,1605870768,premium,False
135,100198728,dawkyo,,0,PL,,1610559208,1606591935,basic,False
136,104140460,skowant,,5,PL,,1610305841,1607901461,basic,False
137,102841186,andrzejes,,0,PL,,1610562063,1607458550,basic,False
138,87022764,bloniak19,,0,PL,,1610534554,1595102835,basic,False
139,104608674,edzio8pomocnik,,0,PL,,1610545797,1608061729,basic,False
140,94578230,pawciooo1920,,0,PL,,1610203120,1604166171,basic,False
141,109405912,verili,,1,PL,,1610555341,1609687701,basic,False
142,103005354,madesio02,,0,PL,,1610542287,1607518846,basic,False
143,33129965,zielinskiwmarco,,1,PL,,1610481750,1486864769,basic,False
144,68194688,xadi1,,0,PL,,1610539001,1574181977,basic,False
145,71969076,francescofrano,,0,PL,,1610339821,1581287403,basic,False
146,102043458,czajkovsky,,0,PL,,1610553589,1607204244,basic,False
147,80501446,kynsybynsy,,1,PL,,1610467409,1590439481,basic,False
148,109650684,lebronking6,,2,PL,,1610561108,1609764465,basic,False
149,41959044,zachar96,,1,PL,,1610478906,1514991582,basic,False
150,50853470,tjanus71,,20,PL,K,1610554308,1539794693,premium,False
151,105595918,kamsi98,,1,PL,,1610301008,1608407115,basic,False
152,99400114,krzysztofpalec,,5,PL,,1610537996,1606323404,basic,False
153,107518402,ciszka1916,,0,PL,,1610434707,1609077778,basic,False
154,108132200,piter9995314,,2,PL,,1610558249,1609268391,basic,False
155,103924836,hawajsky,,1,PL,,1610535940,1607826811,basic,False
