player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,58191428,garikges,,0,RU,,1610371227,1551929607,basic,False
1,93268694,alexandra201012,,1,RU,,1610190621,1602868689,basic,False
2,97931188,ivan12326,,0,RU,,1610208075,1605812457,basic,False
3,110772978,uldarenciy,,0,RU,,1610286533,1610124778,basic,False
4,66797248,tchevy47,,0,RU,,1610355380,1571335749,basic,False
5,75271788,sukanax,,1,RU,,1610374449,1585724174,basic,False
6,19029384,sergio_lione,,60,RU,Пермь,1610286285,1411557994,basic,False
7,43809192,amirsibgatullin,,0,RU,,1610359394,1519852223,basic,False
8,68008562,antonma2008,,1,RU,,1610295694,1573811250,basic,False
9,36422054,sashokscout,,0,RU,,1610172072,1497866129,basic,False
10,109189392,annku7,,0,RU,,1610188344,1609617685,basic,False
11,40128804,evgeniy_shulepov,,0,RU,,1610344280,1510029806,basic,False
12,68238356,nikolayzapletin,,0,RU,Самара,1610397087,1574267306,basic,False
13,71316570,rampercasino,,1,RU,,1610209828,1580063075,basic,False
14,102422460,makc34,,0,RU,,1610371001,1607329827,basic,False
15,64412548,vlados5555,,1,RU,,1610134044,1566055337,premium,False
16,77835568,manygoldfish,,4,RU,,1610359278,1587887982,basic,False
17,77412914,maslenkinpavel,,1,RU,город Иваново,1610205327,1587495251,basic,False
18,63534846,vladimirfilatov,,0,RU,,1610424513,1563784067,basic,False
19,83422018,vfrc008,,4,RU,,1610410506,1592589669,basic,False
20,90934026,kosygin1488,,2,RU,,1610400587,1599739354,basic,False
21,67359606,rigormortis161723,,3,RU,,1610390533,1572532241,basic,False
22,60460335,uvochess,,7,RU,,1610357307,1556733822,basic,False
23,78398562,palesta46,,0,RU,,1610422973,1588431177,basic,False
24,110988512,alexanderanikin,,0,RU,,1610374596,1610194437,basic,False
25,99100738,nat-007,,1,RU,,1610389082,1606233116,basic,False
26,103978678,tikhon001,,0,RU,,1610350284,1607853538,basic,False
27,34452812,danillio,,0,RU,,1610405940,1491099334,basic,False
28,35109162,artamkina,,1,RU,,1610386415,1493327843,basic,False
29,44567232,d1ma4ka,,7,RU,,1610189898,1521813403,basic,False
30,106323870,saymon74,,0,RU,г. Анапа,1610381487,1608657028,basic,False
31,103305922,sluggish0,,3,RU,,1610402022,1607618763,basic,False
32,104348846,glebvar34,,0,RU,,1610406982,1607975508,basic,False
33,105246434,neymeuigratv,,0,RU,,1610404144,1608288140,basic,False
34,110258568,attach14,,0,RU,,1610123868,1609953746,basic,False
35,111034178,777shax,,1,RU,,1610357241,1610208332,basic,False
36,87713670,t1mpson,,2,RU,,1610295836,1595881067,basic,False
37,95799250,dogdanov,,13,RU,ulan-ude,1610370585,1604891000,premium,False
38,103754272,hellofatickler,,0,RU,,1610418055,1607776035,basic,False
39,107527568,ringar2020,,0,RU,,1610341157,1609080351,basic,False
40,55888278,denis605,,15,RU,,1610364988,1547324530,basic,False
41,73521866,dvevil,,1,RU,,1610399631,1584211046,basic,False
42,103545536,shipigo,,0,RU,,1610218097,1607701512,basic,False
43,90947914,acros2,,4,RU,,1610374850,1599752827,basic,False
44,108170168,nukis1,,1,RU,,1610234994,1609276903,basic,False
45,96802706,alexandrbakurey,,2,RU,,1610378911,1605369393,basic,False
46,75761784,alex19740,,1,RU,,1610138434,1586102820,basic,False
47,78053368,anatolyutkin1,,3,RU,,1610397924,1588091686,basic,False
48,101663314,kekinpr,,2,RU,,1610386254,1607091732,basic,False
49,108644860,faa181989,,0,RU,,1610204021,1609441779,basic,False
50,79172071,margaritaa2010,,9,RU,,1610302860,1589184368,premium,False
51,88375338,leepewha,,3,RU,,1610365254,1596639997,basic,False
52,58939860,jopa420,,0,RU,,1610324843,1553445496,basic,False
53,56248174,lashei007,,1,RU,,1610384010,1547923224,basic,False
54,81471296,jealousseahawk,,0,RU,Moscow,1610409835,1591294519,premium,False
55,74147318,svyatoslav1978,,0,RU,,1610238764,1584884449,basic,False
56,65992782,bairkhab,,2,RU,Irkutsk,1610413409,1569585742,basic,False
57,81768278,klepa1974,,0,RU,,1610387592,1591536898,premium,False
58,109626344,aiwendil29,,0,RU,,1610388768,1609754222,basic,False
59,78124684,semen_ovchinnikov,,5,RU,Воронеж,1610412765,1588163779,basic,False
60,75733640,gorto1978,,2,RU,,1610271824,1586084341,premium,False
61,109439936,annapyh,,1,RU,,1610405593,1609695814,basic,False
62,96199858,shaxatarpeda,,0,RU,,1610370553,1605094997,basic,False
63,98130708,paulinehu,,1,RU,,1610400272,1605891541,basic,False
64,85836238,whitefoxwins,,0,RU,,1610133764,1593979011,premium,False
65,18117424,alexander_ns,,5,RU,Oryol,1610388715,1405663926,basic,False
66,32816796,sergeiv011988,,16,RU,г Смоленск,1610422065,1485876337,premium,False
67,70527502,gurrikao,,2,RU,,1610260806,1578589623,basic,False
68,110876994,hurriedunion,,0,RU,,1610147834,1610147833,basic,False
69,80633338,mityais,,2,RU,,1610114551,1590558762,basic,False
70,100635576,unique2k4,,1,RU,,1610232760,1606750174,basic,False
71,106243932,pricklyblastoff,,0,RU,UFA,1610387097,1608630336,basic,False
72,46884938,anderton1923,,19,RU,Moscow,1610357491,1528369758,premium,False
73,87087518,alinkia,,4,RU,Санкт-Петербург,1610390731,1595178475,basic,False
74,88817672,lolisutener,,0,RU,,1610359329,1597136201,basic,False
75,25663052,bolotskikh99,,0,RU,,1610323209,1450581963,basic,False
76,85117366,maxnormus,,5,RU,,1610421815,1593528120,basic,False
77,58761412,reptilius_767,,2,RU,,1610214408,1553092519,basic,False
78,44810432,kirill1112,,2,RU,,1610355456,1522436148,basic,False
79,60162142,tmpobeda,,13,RU,,1610400409,1556046911,basic,False
80,110012166,poppasanas,,1,RU,,1610407755,1609874227,basic,False
81,80458022,nikolai1943,,0,RU,,1610377830,1590406663,basic,False
82,44030288,artyombliznyuk,,2,RU,,1610385222,1520433627,basic,False
83,110677498,17ylll,,0,RU,,1610423439,1610091135,basic,False
84,103738448,vtronik,,0,RU,,1610146164,1607769005,basic,False
85,69872384,kelebrian,,0,RU,Москва,1610384153,1577355199,basic,False
86,20187706,checkmatez88,,17,RU,,1610404251,1418677836,basic,False
87,110707426,gala2021,,0,RU,,1610338282,1610104967,basic,False
88,62857976,valeronfromtambleron,,1,RU,,1610273290,1561964585,basic,False
89,62426196,sofiyasha,,26,RU,,1610355504,1560881997,premium,False
90,105041346,hateforks,,0,RU,,1610116434,1608215718,basic,False
91,14922110,george_gamov,,40,RU,,1610361077,1386500766,basic,False
92,70723740,laniakea89,,0,RU,,1610380997,1578954168,basic,False
93,104061496,gerraballe,,1,RU,,1610364865,1607881272,premium,False
94,48734482,tortik10,,0,RU,,1610206309,1534174586,basic,False
95,45576532,dadigamov,,6,RU,,1610395080,1524518889,basic,False
96,104551782,kutais,,0,RU,,1610385375,1608047786,basic,False
97,107871958,v-shady,,1,RU,,1610130110,1609182868,basic,False
98,31223428,tsaryuri,,1,RU,,1610420706,1480343432,basic,False
99,90223606,igorman31,,0,RU,,1610390648,1598846703,basic,False
100,102216898,pollinarius,,1,RU,,1610425392,1607265948,basic,False
101,4150410,laserzorin,,37,RU,,1610391444,1287730810,basic,False
102,110078814,pawychok1,,0,RU,,1610151704,1609889479,basic,False
103,50528434,samdanov,FM,4,RU,Ulan-Ude,1610423787,1538994345,premium,False
104,42440626,ilyas_shakirov,,13,RU,,1610299449,1516285948,basic,False
105,100211912,nikandrrr,,0,RU,,1610237925,1606595389,basic,False
106,23571720,marcus-100,,2,RU,,1610394747,1438968728,basic,False
107,49802350,dimkov2,,2,RU,,1610404922,1537101280,premium,False
108,109330342,vlad362,,0,RU,,1610193679,1609660409,basic,False
109,106873096,beardedczar,,0,RU,,1610420782,1608855013,basic,False
110,73038968,alexiosss,,5,RU,,1610418551,1583342434,basic,False
111,68221808,dizaster_1337,,1,RU,,1610346962,1574237500,basic,False
112,110314128,gurcmikhail,,0,RU,,1610390893,1609966294,premium,False
113,72319012,injeneer,,1,RU,,1610391767,1581958833,basic,False
114,64263494,byakuya13954,,1,RU,,1610393628,1565716382,premium,False
115,69893728,yaroslavshenyaev,,3,RU,"Самарская область, г. Тольятти",1610359619,1577387693,basic,False
116,24681920,nurtleu,,1,RU,,1610350212,1445435156,basic,False
117,109734738,krutik84,,0,RU,,1610137574,1609786812,basic,False
