player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,101981190,cancelik1,,0,TR,,1610473771,1607190368,basic,False
1,105802090,tombalakco,,4,TR,,1610469902,1608482824,basic,False
2,56365918,zuhayrr,,3,TR,ERZURUM,1610481166,1548159259,basic,False
3,100899414,bettinozsoy,,0,TR,,1610484746,1606838066,basic,False
4,91429050,samedkara2,,5,TR,,1610461315,1600368800,basic,False
5,99103596,serkanozbe,,0,TR,,1610242390,1606233830,basic,False
6,109743262,freudahmet,,3,TR,,1610452257,1609788593,basic,False
7,109474958,ozkana,,0,TR,,1610289482,1609703357,basic,False
8,24328680,uclabruins60,,1,TR,,1610440738,1443463067,basic,False
9,98380780,imirakurui,,0,TR,,1610444348,1605983886,basic,False
10,43521294,canveli,,2,TR,,1610446496,1519111303,basic,False
11,90799326,ozguhan,,1,TR,,1610452868,1599567664,basic,False
12,104564480,emir4051,,2,TR,,1610136212,1608051101,basic,False
13,91320548,emrullah2727,,0,TR,,1610469327,1600235996,basic,False
14,109709576,cem0166,,0,TR,,1610238808,1609781161,basic,False
15,111020660,yavuzbak1223,,0,TR,,1610204628,1610204596,basic,False
16,110476636,hamitvarmis,,1,TR,,1610367596,1610029681,basic,False
17,80387700,ozlem_karadayi,,4,TR,,1610475265,1590339161,basic,False
18,95992366,sonofdionysos,,0,TR,,1610231665,1604993066,basic,False
19,104307296,phla17,,0,TR,,1610479047,1607965632,basic,False
20,105663016,ivabradin,,1,TR,,1610480329,1608425736,basic,False
21,110690902,se10life,,0,TR,,1610303011,1610097995,basic,False
22,110705682,ofuz,,0,TR,,1610111737,1610104228,premium,False
23,43771190,ardaunlu2,,1,TR,İstanbul,1610238678,1519757726,basic,False
24,99303763,ysn0,,0,TR,,1610309824,1606294988,basic,False
25,44001706,pesimistey,,0,TR,,1610209062,1520355390,basic,False
26,109626454,zeynepyeni12,,3,TR,,1610479727,1609754280,premium,False
27,16310006,kabasakall,,3,TR,,1610466455,1393932348,basic,False
28,36600612,ahmetmd26,,1,TR,,1610290988,1498494348,basic,False
29,109382274,aleynaacar,,1,TR,,1610231658,1609681164,basic,False
30,109394762,tackycobweb,,3,TR,تركيا,1610486905,1609684761,basic,False
31,37063040,umut3373,,5,TR,,1610472741,1500163945,basic,False
32,100636054,butterfly2731,,0,TR,,1610448149,1606750319,basic,False
33,102811126,lilemirhan,,0,TR,,1610201116,1607451773,basic,False
34,109706394,tahirdemirkaya,,1,TR,,1610451998,1609780437,basic,False
35,109940570,yasar1232,,0,TR,,1610137208,1609856462,basic,False
36,73991746,bolls20,,3,TR,,1610197836,1584741670,basic,False
37,110953954,osman_ak,,0,TR,,1610237491,1610178959,basic,False
38,108389058,okanbulut,,3,TR,,1610473081,1609354288,basic,False
39,97229100,koraybaba1,,0,TR,,1610464160,1605547074,basic,False
40,92652640,alperensel,,1,TR,,1610466326,1602079802,basic,False
41,28773058,tarkanbinici,,3,TR,türkiye,1610469760,1466779425,basic,False
42,80060206,kubilaybulbul41,,1,TR,,1610484793,1590000794,basic,False
43,51023200,ct08,,4,TR,,1610451325,1540220775,basic,False
44,53711890,ufu62,,1,TR,,1610313322,1545347616,premium,False
45,108863224,omerfarukmamarcik,,0,TR,,1610443860,1609518466,basic,False
46,103563012,cacacao971,,0,TR,,1610389298,1607706098,basic,False
47,4743403,okizilkaya,,4,TR,izmir,1610484647,1298223454,basic,False
48,99452428,dogacakbay,,1,TR,,1610391621,1606335516,basic,False
49,55091146,sistemverilog,,5,TR,,1610482852,1545755813,basic,False
50,12853956,ayberknarin,,1,TR,,1610141794,1374671751,basic,False
51,110705460,elif060,,0,TR,,1610104188,1610104145,basic,False
52,107030486,hersli,,0,TR,,1610476582,1608919030,basic,False
53,109772290,kadirkaracali,,0,TR,,1610379844,1609794583,basic,False
54,110996742,nrsdemo,,0,TR,,1610197322,1610197319,basic,False
55,110430430,beren119,,1,TR,,1610199550,1610012750,basic,False
56,106262028,jsfk76,,9,TR,,1610432040,1608637819,basic,False
57,70015002,nilpro,,7,TR,,1610443896,1577618556,premium,False
58,99773076,batuyilmz,,0,TR,,1610212568,1606433085,basic,False
59,110712612,berfinaksu,,0,TR,,1610107246,1610106974,basic,False
60,97305768,sezersahan,,2,TR,Turkey,1610397028,1605567587,basic,False
61,106573696,wcpe1,,0,TR,,1610478183,1608747381,basic,False
62,110782092,firatgun,,0,TR,,1610126947,1610126935,basic,False
63,104524388,neco13,,1,TR,,1610472688,1608039842,basic,False
64,103816940,hony35,,0,TR,,1610215626,1607795393,basic,False
65,111051552,ozankorkmazaslan,,0,TR,,1610212641,1610212641,basic,False
66,46447786,atakum55,,7,TR,,1610472600,1527098643,basic,False
67,103296744,x3tu,,3,TR,,1610477358,1607616268,basic,False
68,40758542,murat166,,0,TR,,1610161795,1511727906,basic,False
69,98997184,buffooonxxx,,0,TR,,1610466585,1606198042,basic,False
70,40685644,galadlemberg,,1,TR,,1610477526,1511529496,basic,False
71,25951672,armncc,,0,TR,,1610483279,1451949887,basic,False
72,51196340,koleratr,,0,TR,,1610483167,1540646626,basic,False
73,22108110,kntrci,,0,TR,"Maslak, Istanbul, Turkey",1610303305,1429890116,basic,False
