player_index,player_id,username,title,followers,country,location,last_online,joined,status,is_streamer
0,18800602,123lt,GM,32,CN,,1608465021,1410059361,premium,False
1,29499974,124chess,GM,79,RU,Красноярск,1609836300,1471316272,premium,False
2,30610578,1977ivan,GM,95,RS,Belgrade,1609872690,1477565847,premium,False
3,13013662,1stsecond,GM,734,LV,Riga,1609536323,1375617889,premium,False
4,39230304,2nd_life,GM,22,CH,Zurich,1609876221,1507311109,premium,False
5,69412324,4thd-alpeacefulmoon,GM,1,RS,,1582473834,1576488055,premium,False
6,73365394,64aramis64,GM,6,US,,1609887584,1583956667,premium,False
7,73365768,64arthos64,GM,4,US,,1609891416,1583957153,premium,False
8,73366590,64atilla64,GM,7,US,,1609182946,1583958360,premium,False
9,73366504,64dartagnan64,GM,16,US,,1609900247,1583958242,premium,False
10,73367192,64genghis64,GM,3,US,,1609620735,1583959319,premium,False
11,73366924,64leonidas64,GM,8,US,,1609887485,1583958948,premium,False
12,73366318,64porthos64,GM,7,US,,1587231402,1583957977,premium,False
13,73367098,64pyrrhus64,GM,1,BI,,1609620197,1583959191,premium,False
14,7246509,731291,GM,42,ES,,1609871978,1334046062,premium,False
15,43349734,a-adly,GM,393,EG,,1609895952,1518647998,premium,False
16,10968500,a-fier,GM,791,BR,Tbilisi,1609878739,1361966117,premium,True
17,59828698,abasovn,GM,105,AZ,Baku,1609871926,1555281657,premium,False
18,17884042,abhidabhi,GM,477,IN,Pune,1609872754,1404098245,premium,False
19,78571890,abhijeetgupta,GM,200,IN,,1608867690,1588606684,premium,False
20,11047160,abhijeetgupta1016,GM,1348,IN,,1588598476,1362560986,premium,False
21,90871188,abhijeetonyoutube,GM,70,IN,,1607948221,1599658917,premium,False
22,32069494,abhyak,GM,15,IN,,1605751657,1483332783,premium,False
23,17894824,abykhovsky,GM,84,US,New York City,1609898354,1404174563,premium,False
24,43428066,actorxu,GM,74,CN,Shanghai,1609474377,1518859208,premium,False
25,37277108,adaro,GM,8,CA,,1587171023,1500918534,premium,False
26,34686420,adham_fawzy,GM,1301,EG,Alexandria,1609885180,1491891963,premium,False
27,51280493,adiosabu,GM,31,CO,Pereira,1607872935,1540862913,premium,False
28,29303436,afgano29,GM,211,CO,Medellin,1609744448,1470064298,premium,False
29,11220596,aggy67,GM,50,NO,,1489000053,1363860586,premium,False
30,4371012,agser,GM,103,EE,,1607482994,1292011540,premium,False
31,18765996,airgun1,GM,8,GB,,1607710935,1409837979,premium,False
32,8719784,aivanov-ne,GM,0,US,Massachusetts,1509323885,1346270785,premium,False
33,8712604,akobian-sea,GM,13,US,Washington,1353400995,1346218846,premium,False
34,13239548,akobian-stl,GM,4,US,Missouri,1509321168,1377175279,premium,False
35,12947654,akshatchandra,GM,151,US,Saint Louis,1524153992,1375195437,premium,False
36,6179690,akshayraj_kore,GM,85,US,Ashburn,1609875448,1322112601,premium,False
37,15438952,aleksa74,GM,112,RS,,1609882615,1388997295,premium,False
38,33190437,aleksandrovaleksei,GM,51,BY,,1609708282,1487065930,premium,False
39,44532158,alexander-evdokimov,GM,14,RU,,1609782757,1521726302,premium,False
40,2534106,alexanderl,GM,1429,US,New York City,1609893033,1265635556,premium,True
41,10322550,alexander_donchenko,GM,553,DE,,1609878021,1357497907,premium,False
42,25487812,alexander_moskalenko,GM,1102,RU,Москва,1609869743,1449680458,premium,False
43,22106804,alexander_zubov,GM,1243,UA,"Nikolaev, Mykolayivs'Ka Oblast', Ukraine",1609878818,1429883667,premium,True
44,38748136,alexandr_predke,GM,24,RU,,1595759564,1505754259,premium,False
45,27008932,alexchess1062,GM,47,US,,1601548638,1456815851,premium,False
46,37651132,alexchess1984,GM,34,CZ,Киев,1609869453,1502186371,premium,False
47,18153308,alexcolovic,GM,332,MK,,1609883915,1405877355,premium,False
48,4185042,alexeishirov,GM,264,ES,,1609868347,1288416382,premium,False
49,63565062,alexhuzman,GM,6,IL,,1605977358,1563861944,premium,False
50,4268408,alexonischuk,GM,99,US,Texas,1609902147,1290046760,premium,False
51,76468406,alexrustemov,GM,17,BY,Minsk,1609880609,1586696209,premium,False
52,84997260,alexsur1981,GM,38,RU,,1609891783,1593441443,premium,False
53,38427992,alexvangog,GM,31,RU,Saint-Petersburg,1609712094,1504712343,premium,False
54,4975207,alexyermo,GM,266,US,"Sioux Falls, SD",1609723070,1302569448,premium,False
55,9919120,alex_goloshchapov,GM,23,UA,Kharkov,1609840496,1354837366,premium,False
56,27594810,alex_stripunsky,GM,70,US,Fair Lawn,1608687035,1459803316,premium,False
57,31585292,algeriano22,GM,258,DZ,Sidi Bel abbes,1609893013,1481619746,premium,False
58,11301268,allanstig,GM,42,DK,Viborg,1609685271,1364422646,premium,False
59,63192588,almo64,GM,15,RU,,1609613029,1562870370,premium,False
60,53230370,alphaodin,GM,124,XX,,1609872479,1544788422,premium,False
61,30494226,amintabatabaei,GM,761,IR,,1609866219,1476970017,premium,False
62,20739392,amirreza_p,GM,403,IR,Rasht,1609856407,1421914729,premium,False
63,22446876,anaconda1983,GM,69,RO,Brasov,1608216654,1431985843,premium,False
64,8441420,anand,GM,2219,IN,,1373826927,1344162603,premium,False
65,60172144,andabata,GM,93,US,,1601911763,1556070758,premium,False
66,27856580,andrbaryshpolets,GM,154,US,Lubbock,1609887124,1461304494,premium,False
67,10767030,andreikka,GM,2396,RU,,1609862804,1360502176,premium,False
68,57173942,andrei_belozerov,GM,294,RU,Tomsk,1609867607,1549777389,premium,False
69,19271242,andrejs_sokolov,GM,29,LV,,1589632992,1413104214,premium,False
70,28000608,andreystukopin,GM,283,US,Austin,1609880489,1462126955,premium,False
71,24471856,andyrodri,GM,57,AR,Buenos Aires,1605798860,1444259841,premium,False
72,37642898,angelogm,GM,33,PE,,1607918618,1502152679,premium,False
73,22252178,anishgiri,GM,4237,NL,The Hague,1607502490,1430772657,premium,False
74,85851574,anishonyoutube,GM,4564,NL,The Hague,1609271733,1593987775,premium,False
75,13239452,anka-sea,GM,0,US,Washington,1509321468,1377174772,premium,False
76,28651376,annawel,GM,593,FR,,1609100807,1466038494,premium,False
77,76187764,anna_muzychuk,GM,479,UA,Lviv,1609882154,1586461173,premium,False
78,18206892,anthonywirig,GM,240,FR,,1609856276,1406214208,premium,False
79,28435214,antipov_mikhail_al,GM,108,RU,Moscow,1609887127,1464709202,premium,False
80,24181460,antonshomoev,GM,17,RU,1,1609138785,1442646167,premium,False
81,17534752,antonsmirnov,GM,1160,AU,Sydney,1609854802,1401705438,premium,False
82,17050352,anton_demchenko,GM,1299,RU,Novorossiysk,1609874254,1398437024,premium,False
83,34186988,anuar_is,GM,312,KZ,Astana,1609666873,1490252150,premium,False
84,45931434,anurag328,GM,153,IN,"Goa, India",1609865869,1525566064,premium,False
85,27168196,arabicfalcon,GM,1554,AE,Sharjah,1609263969,1457640860,premium,False
86,35698852,aradej,GM,15,RS,,1609877140,1495371383,premium,False
87,61042862,arambai,GM,22,TH,,1595268654,1557979483,premium,False
88,55505950,aravindhchess1999,GM,484,IN,,1609859201,1546598831,premium,False
89,56757462,arcymisie,GM,29,PL,,1609836898,1548932091,premium,False
90,16973574,arencibia,GM,184,CU,Sharjah,1609737194,1397933119,premium,False
