player_index,username
0,0bladi0blada
1,0lychess
2,11madonnaimpestata11
3,1steef
4,2good4uspn
5,72mmr
6,a78b
7,aaaix
8,aaronquerque
9,abracadabrantesque6
10,acst3
11,adrianjampi
12,adrianmellamo
13,adriaram
14,adriast19
15,afantoronto
16,aflmv
17,afreixas
18,aggj92
19,agusti1950
20,agustioliveres
21,airangard
22,ajugaro
23,albertargimonpla
24,albertmig
25,albrecht35
26,aleixboquerab
27,alekandro_alvarez
28,alerossaroli
29,alex19790410
30,alexanderundjp
31,alexandremengelle
32,alexmitja
33,alexxten
34,alex_haze
35,alfapi5
36,alonsoanii
37,alopezlopez4
38,anderc
39,andglavo
40,andorra17
41,andorram
42,andorre1988
43,andreikovalenko
44,andreusapiens
45,andrewmili
46,andreyb01
47,andygasss
48,angelorummagno
49,angelullate
50,angelvilanova
51,anut1k
52,aperturfou
53,apiretal
54,arasa13
55,archpasc
56,arimtsar1
57,armanxu
58,arnaldoriol
59,arnold9602
60,avi-quim
61,avi_xicu
62,axel1989
63,babilons
64,babukrak
65,bacps04
66,badattitude11
67,bady74
68,batdiz
69,bddxxl1
70,benoitkatana
71,bepbo
72,bernatcp
73,bernifall
74,bernitorra
75,bertus_96
76,betto33
77,bgdn27
78,bicivolador
79,bigfragility
80,bigoes19
81,binaryoption
82,bitxo
83,blackaichi
84,blahblah1746
85,blue22
86,bluejumper
87,bogdanlucianjipa
88,boraset
89,borren
90,bossman1277
91,bplebowski
92,bpo19
93,bratoy
94,brunoroldan
95,budyedy
96,bulterrier
97,burropb
98,buttcheekzz
99,byetxe7
100,byrongold
101,byvertige
102,c1714
103,cabirolet
104,cabrafiga
105,capgros
106,captainnoone
107,carcay62
108,carles70
109,carlesmarsal
110,carlitoshuevofrito
111,carloscr00
112,carlospinheiro17
113,carucha22
114,catada
115,cayojuliocesar
116,cdalmiron
117,cexs
118,charlio007
119,cheliochess
120,chesscofresco
121,chessnotcheckers95
122,chessplayer6543210
123,christianfein
124,ciess
125,claaz
126,clara014
127,claudiaa634
128,claudiaaa634
129,clutaro
130,coldsnowfall
131,comanegre
132,conderfist
133,conturmio
134,cordeliaskid
135,corpusdelictis
136,corrompemonjas
137,crackand
138,crisruberte
139,cristipeki
140,cubix09
141,d1m1tr1mhw
142,dai987
143,damesxines
144,dammdumbo
145,dani7777777777
146,danieloo23
147,danielus29
148,danimaia
149,darraghhobbs
150,david7022
151,davidr222
152,ddgillingham
153,deathstalker00
154,delendemas
155,denarius8
156,derekcrosslu
157,destructivo2
158,deu13
159,dimitri502
160,dingo888
161,dmitriysolodin
162,doctornassol
163,doff75
164,dracedy
165,dreug
166,dsunyer
167,dumoriez
168,eagle_frye
169,eatmydognotmyhorse
170,ebenetk
171,edeler
172,edortabarru
173,elazarn
174,elberru
175,elnazito
176,elreypico
177,eltroi954
178,enricj
179,eoge
180,eraboyo
181,eraso3600
182,erewh0n
183,ericandorra
184,ericrocha
185,ericsinfreu
186,ericsoldeu
187,ernestna
188,errabcn
189,escac6
190,escriva21
191,esk53
192,estupidin
193,eudladpetit
194,eugenemanchester
195,evilivan
196,evyl_dan
197,faradayy
198,fdk_nash
199,felixf
200,felsuma
201,ferranand
202,ferridot
203,fitex93
204,flipfr
205,foc_derufaga
206,fortoret14
207,franco9090
208,franticchin
209,freddy402
210,fredecat
211,freecatalonia1312
212,frincers
213,friteegg
214,fromthewell
215,fuet0
216,g2milo
217,gagis86
218,gainoo
219,galibiker
220,gambapalamos
221,gambito1974
222,gamechanger787
223,gamshots
224,gangadhar666
225,ganxet33
226,ganzua
227,gatete2
228,gcc87
229,geofffirmin
230,geomend10
231,gepas2009
232,gerryrasta
233,ghikio2
234,ghnorris
235,giyutoli379
236,gjosep657
237,gkwrite
238,glandius
239,gloria156
240,gordons16
241,gralicoma
242,granollers
243,gsharkg94
244,guillemito19
245,guillemtorresen
246,guilleyeah
247,guixo007
248,guyshvika
249,haluchzer
250,hammerbear
251,hasim_joe
252,hcodina
253,hdjdej
254,heje23
255,helvoirt
256,hidalgoita
257,hkpp
258,hodeialava
259,horuszk
260,hughythepewie
261,iamat7
262,idosique
263,idrojsnop
264,igambitmykingalot
265,ignasi453
266,ikeercruzz
267,impotencja
268,inspiredgroup
269,irucat
270,irut83
271,isaacbueso
272,isu-152
273,isuited
274,italfrigo97
275,ivar0331
276,ivibassa
277,iwannatwinkkie
278,jacap01
279,jacobosota
280,jacpacmat
281,jaime_r
282,jammydodger17
283,jaumen
284,jaumerl14
285,javicam70
286,jayats
287,jbonet
288,jbrsbd
289,jcapafo
290,jcolcal
291,jcornudellaescacs
292,jeffreylazarus
293,jferrando
294,jhomss
295,jllo69
296,jlnbcn
297,jmckenz
298,jnsons
299,joakaos
300,joan-anton
301,joelmartin1412
302,joe_mateix
303,jojo06270
304,jojomousse
305,joker_92
306,jokolodang
307,jonafelo
308,jonbonjovi11
309,jon_jon13
310,joootaaaa
311,jorc7
312,jordi-01234
313,jordi2410
314,jordi509
315,jordicp
316,jordicriu
317,jordijrg
318,jordiko
319,jordiland
320,jordimcasas
321,jordippcc
322,jordiriuma
323,jordirp76
324,jordisedo
325,jorfasa
326,jorgeferreiralopes
327,jorgemhdz
328,jorgibai
329,jose4790
330,josepayala
331,josepmvf
332,josepriba
333,josepvr
334,joteco
335,jotrga14
336,joyand22
