player_index,username
0,008afg
1,01anythingworks
2,0749415126
3,0punpun
4,0x5643879
5,1232123212321
6,12nasir
7,1kiustafa1
8,1mohammadi
9,214rah
10,2shadowfax
11,2x73nmi2693
12,5sherr
13,609dq
14,6951360748
15,7emoo90170
16,a-aziz
17,aalem2
18,aatifcareers
19,ab3040
20,abaseen
21,abbas1375h
22,abbasi1999
23,abbasi91
24,abc000021
25,abddurrab
26,abdolmalek784
27,abdul0395
28,abdul5800
29,abdulahmad
30,abdulfazli
31,abdulhaleemgardizy
32,abduljabar223
33,abdullahahmadzai
34,abdullahhabibi28820
35,abdullahmuwahed
36,abdullahnaweedi80
37,abdullahsabawun
38,abdullahy4926
39,abdullah_baloch
40,abdullah_saedi1
41,abdulrahmanatiq
42,abdulraqib
43,abdulrazaghborani
44,abdulwahababri
45,abdulwaris7
46,abdurahmanhodman
47,abelal70
48,abid0z
49,abjamil
50,abolfazl757
51,abolfazlm1997
52,aboody36
53,abpopal
54,abr786
55,abrahman055
56,aceprahmatkosim
57,actidows
58,adaziban
59,adcj11
60,adeeb_ibrahimi
61,adelin07
62,adilshinwari
63,adrian0612
64,adrianlongjoint
65,adris_sadeqy
66,af012345
67,afg0252
68,afgafg123
69,afgani
70,afgboy420
71,afgchess
72,afghan001
73,afghan35
74,afghan444
75,afghan881
76,afghanamini
77,afghanarian
78,afghanatheist
79,afghanboy4200
80,afghanelites
81,afghaniii
82,afghanistan-always
83,afghankiterunner
84,afghanpride24
85,afghanworrior
86,afghan_dost
87,afghan_kabul
88,afghan_rock
89,afgkingdong
90,afgknight
91,afgmusavi
92,afh93
93,afraidcontest
94,afrasiab13579
95,ah123321
96,ahjalal
97,ahjam1
98,ahm420
99,ahmad1362-1983
100,ahmad2088
101,ahmad232
102,ahmadehsani
103,ahmadkarimi19933
104,ahmadmarvand
105,ahmadmobasher
106,ahmadnekbin01
107,ahmadobaidafg
108,ahmadozair
109,ahmadrasikh
110,ahmadsalikfazely
111,ahmadseyam
112,ahmadseyarnajm27
113,ahmadshah1313
114,ahmadtayyeb
115,ahmedahmed1397
116,ahmmad_shuja_qahar
117,ahm_shahir
118,ahs001
119,aimalmoneeb
120,aishababayee
121,aitor1219189
122,aj1958
123,ajk875
124,ajmal-a3
125,ajmalchesser
126,ajmalkarmand1
127,ak156
128,akbari272
129,akbari3
130,akbarlious
131,akram555555
132,akrami2016
133,aldaca
134,aleenasons
135,alexchiro
136,aleximondrus
137,alfat92
138,alfreds1
139,ali632
140,aliabdullahkainawa
141,aliahmadnijat
142,alialialiali6
143,alibroeder
144,alihooman
145,alijohn88
146,alimaisamrafie
147,alimoghol3
148,alirezaie99
149,alisina123
150,alisir
151,almightyknight01
152,alrasheed88
153,altaf001
154,altafhakimi
155,alvariz89
156,aman1979
157,amanqasemi
158,amaturguest
159,amg_imran
160,amigo_o
161,amin2800
162,amin65yousefi
163,amin857
164,amini27
165,aminullah2
166,amin_nawabi
167,amirjackson
168,amirkhan700
169,amirkhosro0777
170,amirsabeghi
171,amir_rahkmaty
172,amitay7
173,amjadgransalem
174,anabananachess
175,anappleaday99
176,anasip87
177,anasomar9979
178,anayatullahhaqjo6442
179,andreasolomon
180,andres2903
181,andythechessmaster
182,angelaghayour
183,anhhungminh
184,anl153
185,ansarfaqiri
186,ansarirfan
187,ansh1712
188,anushasad10
189,anwarasghari2
190,aoforever
191,aparmach
192,apple929
193,applo9
194,apvso
195,aqamuhammed
196,ar7ya
197,araman228
198,arashah501
199,arashtabesh
200,arasto22
201,arbab_mansoor
202,ardak11
203,areallyfatsum
204,ariar1
205,arifjan1
206,aritek
207,armalp
208,arsalanansary
209,arwafa
210,aryanrazzaq
211,aryansaeedi
212,arzo97
213,asadchessboard
214,asadi8594
215,asadullah11
216,asheq12
217,asif1375
218,ask8430
219,asmatosman
220,asoodeazimi
221,assadhashemi
222,astro1212
223,ataljan
224,atiq50
225,ati_q
226,attakhan123
227,aviatorshah
228,avonavon
229,awesomeroad
230,ayaznika
231,ayyyyan02
232,ayzaz11
233,azadaxad
234,azadpjr
235,azaki01
236,azimi7
237,aziz2
238,azizahmadafg
239,azizh9
240,azizhamidi3
241,azizhammraz
242,azizi786
243,azizkhan75
244,azizkhansaidy
245,azizmubarez
246,azweelias
247,azx
248,azy4444
249,b4azil
250,babarahimjan
251,babu_eitook
252,badshahshatrange
253,badyboy69420
254,baghlan2020
255,bahaand
256,bahar488
257,baher211
258,bahirrashtia
259,bahram5
260,bajskitajser
261,balalzia001
262,balkh-harwin
263,bambohdestroyer
264,bamika1
265,bandiera8
266,bangingchess
267,bantermobile
268,baqer10
269,barack__obama
270,barhaq01
271,bari1985
272,bary12345
273,baryalai1343farah
274,baryalaihassanzai
275,baryalaybaz
276,basetfrotan
277,bashir19
278,bashir5682
279,bashirhakimi
280,bashirsaddad2
281,basir007
282,basir2017
283,basit0077
284,basstoomouth
285,bbrianchenn
286,beano9000
287,bediwiadro
288,beej949
289,behrozroxy
290,belal27
291,bellal3
292,bellobello
293,belteshzarrj
294,benyaminjami
295,berserker_17
296,besmellahjafari
297,beyadar
298,bezhan5lion
299,bfayez
300,bfmicro
301,bhhara
302,bhhffhhf
303,biddilabuds
304,bigstalin
305,biguga
306,bilbobaggins10
307,billies098
308,bismellahfaizi1
309,bitxhplease1
310,blackabdullah
311,blackplayer010
312,bobbybread1
313,bobbyfersher
314,bodekshoo
315,boggyb21
316,boghadon
317,bogstabs
318,book003
319,borat_me
320,boxer20
321,boxinaxi
322,boyzone0
323,brahimlippe
324,brandstsrd
325,brentjitze
326,brubru5
327,btl377
328,buddha3000
329,burim390
330,burnaw
331,buzzchameleon
332,bymahdi
333,c1h1e
334,cameronarmstrong
335,canadian31313
336,canard89
337,canonist
338,caosadrian
339,capitansalim
340,carlettomaschio
341,carlsen51
342,cavallieranosha
343,cfp1979
344,chattyhead
345,checommandante
346,chelsea_afg2015
347,chesschamp9165
348,chesser345666y
349,chessmaster0724
350,chessmasterman5
351,chessteck
352,chessterfield021
353,chess_player2222
354,chetanmundhra
355,chokolaat
356,chorizos
357,christjesus146
358,chuiess
359,chunkyhouse
360,cinnamonlnb
361,clap-cheeks
362,clementinelpajin
363,clutteredpinkie
364,clyde_barrow0
365,cmpe
366,cnztpl
367,coastalspider
368,code-red78
369,codycall
370,colebird126
371,coluiriproduce
372,concernedbridge
373,contentpinkie
374,coryrb
375,cotizo123
376,covertpizza
377,crusher321
378,crywolf1337
379,cupcake54321
380,currycube
381,curvedchin
382,cwr111
383,cyberplayer0
384,danieltauai27
385,danpoya
386,dantepier
387,dantttt
388,dany0140
389,dareifyou
390,darkmagnet
391,daryoush01
392,davidmuhseny
393,dawalaeinstein
394,dawe46
395,dawlat744
396,dawoodsediqi
397,dawopodomari
398,dawud1960
399,ddpn
400,deenashahi
401,deidarochka_na
402,dellawat
403,devilchild666
404,dewan1234
405,dhinchak_pooja
406,dicechess1
407,didi974
408,diegoburlon
409,diezci
410,dil72
411,djkebabi
412,dobromirpeev22
413,doctor1997
414,don4204
415,donatal
416,donnaannob
417,dooms0ng
418,dottormichele
419,dougalmcguire
420,douggie2194
421,dpayso1887
422,drabdulhai
423,dravidian117
424,dream_bigger
425,drkable
426,drnaser
427,droopncharon
428,drozd81
429,drrajaei
430,drrez
431,dr_mirzakhyl
432,dr_n_amiri
433,dr_rcp
434,duboiz
435,dumbbone
436,dzbanwielki
437,dzhordn
438,eamiri
439,easychss
440,easy_rich
441,ebadjaan
442,edgarbacquiano
443,edris1381
444,edris1620
445,edrisazizi47
446,eftikharkoshi
447,ege2018
448,ehsanbarakzai
449,ehsanhk
450,ehsanullahazizi
451,eimaldorani
452,ekmal233
453,elahadellawer
454,elars94
455,elefea
456,elham786
457,elhamfirmino
458,elhamking222
459,elhamsediqi78
460,elhamserat
461,elhamzobair
462,eliazimii
463,eliel619
464,elyas-21
465,emad22582131
466,emal166
467,emalxz
468,emani10000
469,emdad_11
470,emranmukhlies
471,enayt
472,enchantedshow
473,eng_khan
474,enr1qu3t1
475,enriwolf
476,erajarian
477,erfanamini
478,es23_4
479,esmailrahmani
480,esmatullahsamadi
481,eunoia426
482,exactsink
483,eyeburner
484,ezzat477
485,ezzatullah
486,ezzatullah-amini
487,fa4ever4
488,fahd7k
489,fahefm
490,fahim1990
491,fahlefy
492,faintend
493,faisal022
494,faisal037
495,faisalfazli
496,faisalimadi
497,faisalsh2020
498,faizi555
499,faizullahqayoumi
500,fakharulislamyasini
501,fallyb
502,famerobenedict1809
503,faqiri3342
504,faqiri53
505,farahmand1
506,farahmand777
507,faranadee
508,fareddudin
509,fareeedahmad
510,fareshta
511,farhad621
512,farhad858
513,farhadfarzan11
514,farhadkarimi7
515,farhadnaimi
516,farhadwafa
517,farhde
518,faridhaqmal
519,farkhunda-k
520,farman22
521,farshid06
522,farzad123456789
523,farzadhadi
524,fatemeh_rezaie_f
525,fattah123
526,fawad7860
527,fawadariya
528,fawadnia
529,fawadsaf
530,fawadzgn
531,fayez54
532,fazelkarim04
533,fazli143
534,fdhggdfhg
535,fearoz072
536,fedediaztomaduz
537,feivi2009
538,fereshta1
539,fesnarr
540,fetrat
541,fgdfgf
542,fhon
543,fidazaki
544,finmiko
545,firoz0303
546,fisal-anwari
547,fisuuu
548,flawless_frenchie
549,flickmann
550,foladkhanrahimy
551,forcedyoutoresign
552,fosman2003
553,frahmand321
554,frdkamal
555,froooomp
556,frotan58
557,ftggcbbunn
558,ftwaibie
559,fuchsteufelswild
560,fugoff19
561,fuzzykarate
562,f_e
563,g33k007
564,gambitpower
565,gamergateveteran
566,gandeldalf
567,garjulo
568,garouviz
569,gaurav12234
570,gausudin
571,gawddamnilovechess
572,gennady9000
573,genuskbl
574,geoffster007
575,gerundiyy
576,getshtonb
577,gex3
578,ghaforymurtaza
579,ghani3435
580,ghanimir
581,ghanipoor
582,ghulamhussain2019
583,ghullam-m
584,gibson202
585,gibson25
586,gige11
587,gilanylamaruo
588,gilchess80
589,glibapricot
590,glushkko
591,gmalekhineattack
592,gm_chesstosterone
593,gnarled2k20
594,gnnccb
595,goathanma
596,goberman
597,godonstilts
598,goodniel
599,gorapatain
600,gorbachof123
601,grandissimo
602,grandmasterafghan
603,grandmasterllama
604,grandpatzer90
605,grasdubidelongnez
606,grossmeisterfisher
607,grumpyh1ppo
608,guerillamanual
609,guhffg
610,gulagha2
611,gulnazar
612,gulrahmann
613,gulzari
614,h47un
615,habib0093
616,habib2020
617,habibi6465
618,habibqaderdan
619,habibullahmirkhail
620,habibullahrezaie
621,habiburahman1964
622,hadaf-khan
623,hadi0074
624,hafiz002
625,hahah81
626,haidarysahib123
627,hainz_gudarin
628,hajesab
629,hajimohammadkhan
630,hajiwahidullahniazi
631,hajjibaba
632,hakimfrough
633,hakimkhanwarzai
634,halalimeh
635,hamauon
636,hamdard2
637,hamed-soroosh
638,hamedista
639,hamedjoya
640,hamed_sorosh
641,hameedatacker
642,hamid-1648
643,hamid129
644,hamid19910
645,hamid6195
646,hamide96
647,hamidkabir
648,hamidroshan222
649,hamidullahsafi
650,hamid_esmat
651,hamit38
652,hamlet_c
653,hammza7559
654,hamzeeee
655,hannan320
656,hannanbashimy
657,happyhappylife
658,haqdad
659,haqdad001
660,haron23
661,haroon22
662,haroon420
663,haroonsaadat
664,harv99
665,hasa2aa
666,hasan112233
667,hashedoriginal
668,hashemi55
669,hashim-jami
670,hashimnoori
671,hashmat-k
672,hashmatsyed
673,hashmat_hm
674,hasho447
675,hasib1
676,hasibsidiqi
677,hasibullah1986
678,hasibullahnajib
679,hasibwalizada
680,hassan404011
681,hasseb678
682,hassibllah
683,hassibullah
684,hatake0121
685,hayatekhlas
686,hazara2020
687,hazaragi
688,hedayatulah
689,hekmat24
690,hekmat494
691,hellmistress
692,hematullahsaify
693,hembrezz
694,hemmat7238
695,henry110
696,hezbullah313
697,hikmatziakhan
698,hk0710
699,hlebushki
700,hleb_chlen
701,hmaddington
702,hmharooni
703,hodibystrey
704,homasal
705,homayonahmadi
706,homayoonkarwand
707,homayounsaraj2020
708,homyoon123
709,honey15
710,hormuzzz
711,hoshang123
712,hossein420
713,hotakkhan
714,hound93
715,hplarleopoldo
716,hqanb
717,hs987
718,humanity4777
719,humbledguppy
720,humiii
721,hunter-7010
722,husieb
723,hussainmusazay
724,hussainqanbari
725,hussain_khan
726,hzn0
727,iammokhtar
728,ibonbi
729,ibrahim1031
730,ibram2244
731,idin
732,idra88
733,idreesmax
734,ignant_percy
735,ihsansafi
736,iiumyx
737,ijazshinwari
738,ikemay
739,illbattle
740,illyss
741,ilyasisaleem
742,imesafi
743,imranhedayat
744,inamgohar
745,incomingm69
746,indianaford
747,innocent_alli
748,iq456
749,iqbaljj
750,irajnayebkhil
751,ironspliff420
752,irvinirvin
753,is99bnz
754,isaiah12345678i9o
755,isankhan
756,ishaqzai1
757,ishibrahim
758,islampal
759,ismail8008
760,ismailsafi2016
761,israelig
762,israrbaluch
763,issa13
764,itssameer
765,itsshahram
766,itz_faz_55
767,ixsl
768,j-z2
769,jabar0
770,jabbaarkaferkosh
771,jack2015_2019
772,jack970610
773,jackstrip06
774,jahanpop
775,jahansoz
776,jahed7
