player_index,username
0,268cannabis
1,60yearsold
2,777ocean
3,abner246
4,abumohammedibrahim
5,achessalud
6,acsmok
7,agtentagtiggasgagges
8,aguanon
9,aimstorm
10,alan762
11,alinutza007
12,antigua13
13,antiguamaster
14,antiguan_capitan
15,aritzunzu
16,arnoldlahmacun
17,ashton268
18,asi214
19,atrivialquest
20,avto48
21,bendjed
22,bessernicht
23,besugo1223
24,bigpete2000
25,bingos16
26,bitetmet
27,blacksmithhorse
28,blasphemer6669
29,blasterblaster12
30,blunderingbad
31,bobby405
32,bobbyf0_0
33,botondlimbacher
34,brozaouuw
35,bruhfette
36,bshan3103
37,bullwife
38,butteredpecanknight
39,cabezadunto
40,callmekc
41,carboncarbon
42,checkmateking9
43,chefbudzin
44,chef_pippo
45,chessmanrockerside
46,chessssssssskingel
47,chinmau
48,chino23chess
49,chittles
50,clausor
51,coltkillert9000
52,comencan07
53,coolc69
54,coryelvin95
55,cosi42
56,cranjerrybama
57,crimiss
58,ctnnb1
59,cuidadopeligro
60,cuoricino_blu33
61,daddyrivers
62,daduarteco
63,deanbeeri
64,delahoja
65,deliciousistscheisse
66,deo2704
67,dgoodwin32
68,dh7593
69,diforce
70,dimitri_kakov
71,diocanaglia
72,dj_n_aman
73,dpereye
74,dragonblitz
75,draimon77
76,eddiecumming
77,elcaballolamato
78,elermin
79,elihabaley
80,elipm
81,elkevinpiola
82,elrox79
83,endiirsan
84,englishmatt7
85,entelligente_ente
86,fabianskilov
87,felix3388
88,flb23
89,fritsen
90,gdghghjfrg
91,gejseralex
92,gggjjshha
93,giaggiabubalaplaza
94,gilgamesh-77
95,gmandhian
96,gorillasjoe
97,gozangs999
98,gracias41
99,greenstormnhz
100,groas
101,guesswho31
102,g_b_c_f
103,hdidododkd
104,hovhotep
105,h_carlos
106,ibrajitovic
107,ididnothingwr0ng
108,ihaizar
109,iu8422
110,izarochess
111,jakokolik
112,james_edwards113
113,jamprezi
114,jarh132
115,jaumelin
116,jeebay
117,jek7462
118,jermainjupiter
119,jij4n
120,jonathanf27
121,joshuasolomon16
122,jownstone97
123,j_de_ese
124,kapnonasou
125,karloz99
126,kathiusss
127,khiwila
128,kingbaptiste
129,kok11
130,kok2020
131,kondinopl
132,koolkid9728
133,krisaska1412
134,lafwalker
135,lastikci123
136,lauigi
137,leon_der_groe
138,lilblxck
139,lilfiwz
140,lionel-chessii
141,litros84
142,livevenom
143,lolomgpro
144,lougachess
145,lpchaser
146,lukaluka33
147,maggotgirl
148,mainagioia67
149,maminsibiryack
150,mangusteen
151,manicomico
152,manny0244
153,manolel
154,marraumiau
155,matthewbaley
156,maxitatzi461
157,melson07
158,mhiro
159,mike1w
160,milkyloutch
161,mireiamir
162,mishastik
163,misterio12345
164,moiana
165,monabeadle
166,moomoomoose
167,moonswan
168,morapio
169,mozaf776
170,mryazzyb2
171,nadasta
172,napobono
173,neoplan
174,nesokingrupa
175,newbieme12345
176,notaaron1
177,ochjong
178,oraoraorara
179,paokaraole
180,parallax51
181,paramosdeasceta
182,patate1
183,penjafil
184,petrus0407
185,pettetzi
186,ph1deo
187,phasmeux
188,ple1
189,poerpleoerp
190,pooriatgh
191,pravus41
192,qatb
193,qilombo
194,quiettiger209
195,r0ndanut
196,ranniku
197,raoulruparel
198,rastech
199,rearblga32
200,red_orestis
201,rejemond
202,rof187
203,rondanut
204,roskhx
205,rtdtoo
206,rtuio
207,rubicn
208,rymdborje
209,salamalikoum
210,samcanto
211,santaan
212,schaaktapijt
213,schisch_jepis
214,seymur6696
215,shikamarushinobi
216,sibenski
217,skyrmeister
218,slamdaballz
219,slipdog007
220,smithyfischer2017
221,smp_94
222,spkrain
223,starlegend7
224,stubo_hi2001
225,sugargrin
226,sveskian
227,tanc92
228,taxity
229,thatguyfrommurcia
230,thewonderfail
231,thomasbrouwer1991
232,thth5t
233,thugsbunny268
234,timatt23
235,toinou22
236,tomitzi
237,tompoulovic
238,tor05717
239,tosteinsgate
240,tupacalonius
241,tylordyrten
242,uhulolo
243,ulfmueller
244,unaizabalet
245,uranasschessplayer69
246,vendettoxx
247,vincenodrizzla420
248,vincent_77
249,vladeserka
250,vovoland
251,vsacee
252,vuk987
253,vvgor
254,wtfitsme
255,yabadabadu386
256,yolo_schmolo
257,zeeblaze1
258,zonengabi
