player_index,username
0,02c
1,08saul
2,10eltoro10
3,1lidi0
4,1_4_8_3_6_9_abq
5,201825
6,24thiagolopes
7,3genx
8,9di2
9,aas39
10,abdurahmanchalil
11,abel2k17
12,abel4149
13,ac146
14,acorreafdez
15,adamsgroove
16,adilson7192
17,adilsonsantosmiranda
18,adra70
19,adrianojdq2020
20,afraidwhistle
21,africanbeatyoass
22,african_bishop
23,airinhos
24,akantonio1986
25,albertojeremias1
26,alcinojota
27,aldmirogarciia
28,alej1n
29,alihorr1
30,altinoatt
31,amazingitem
32,anaclet56789
33,anatoly4
34,andersonmakai
35,andretomeao
36,angondia
37,anselmozarolhofodase
38,antonio439
39,antoniocoiacala
40,antoniodonp1
41,antoniosupe
42,ap332
43,aquagame
44,aristidesavelino
45,armanduel
46,armindogaspar
47,arnaldodesousa
48,aroshi95
49,artur190780
50,arysmael
51,atchurra
52,atila1312
53,aufemarmartins
54,aurelhaxhiu
55,avantobcn
56,avelinofernandes
57,azorrague
58,baiano777
59,bailundo
60,baloo_10
61,bartolomemitre
62,basvzelm
63,bbc3070
64,bebeto2016
65,beergarden26
66,beezzylopes
67,bemasio_cahanda
68,ben336
69,beneandradra
70,benvindo_manuel
71,bernardomiguel
72,betilsoncardoso
73,betopires1
74,bfdbfd
75,bigpopps7
76,blesnyaminher
77,boriiiissss
78,brozasss
79,brunosilva74
80,buedafish
81,c3i
82,cacoma26
83,caetano043
84,cahoge1
85,caio7231
86,caiogouveiaa
87,camfred
88,campista66
89,campos2012
90,camuladisso
91,capnem07
92,carlos1376
93,carlosantos0
94,carlosaoaraujo
95,carlsparov2
96,carlusbarbs
97,carpo64
98,cbr600hn
99,cbs87
100,ccambelela105
101,cefs
102,cegevara300andg
103,cehefe25
104,celestinodesousa
105,cels0
106,celson-dps
107,celso_76885
108,celticsdan
109,cesardowling
110,ch3ssnoob69
111,chandimba
112,chess9693
113,chesschampalltime
114,chesscovid19
115,chessisish10
116,chico550
117,chilas
118,chipepe
119,cideliobuza
120,cipriano28
