player_index,username
0,100015795
1,17slee
2,aaron0830huang
3,abhradip3
4,abrown4055
5,androidahh
6,andy93076
7,artetxe17
8,artyhg
9,barlow037
10,bbeqqa
11,becareful_angry
12,bendover955
13,berserkpuck
14,bigbearpoopoo
15,borjg
16,boruch
17,calm37
18,canc3r
19,chessbutt-funky
20,chessiechamez
21,chessmasters13
22,dariunblack
23,ddboone
24,deesso
25,demondogdfm
26,denver-deniro
27,diabblo
28,djrent3
29,draadje
30,eduardprange
31,eksquared
32,endlessknights
33,ernaflegel
34,eschorl
35,fire-dragon
36,flactem2
37,frogy
38,gakdaotak
39,ganjaroots
40,gartiesco
41,gastopublico
42,gbt747
43,guidoelrey5
44,hazza016
45,hjjjj
46,ibreaku
47,idlup
48,ilovelilo684
49,imhighoffmylife
50,jarthur1985
51,jaure_1
52,jinbei
53,josefl007
54,joshuabirdsall
55,joyless5555
56,jpmi
57,jpw85
58,jrod684
59,jstriker
60,k1ngb684
61,kaeyn
62,kingdestroyer72
63,knight_who_says_niii
64,krornus
65,lanulaa
66,lezarman
67,liaqatzaman
68,loowestai
69,m2brew
70,manuteboll
71,markp
72,marlon_u
73,mary-chan-chii
74,medferero
75,metamorphite
76,mgg1810
77,mikgroovy
78,mjspencer80
79,mk12793
80,mleczowoz
81,moe926
82,moreishcrack
83,muphdog12
84,mya9507
85,mynameisrush
86,neejtn
87,nic826
88,nightofzero67
89,noah215
90,novetei43
91,oenalu007
92,oneflagamerican
93,osumi58
94,pabloml
95,paragonet
96,partee8
97,peponofloudus
98,piranha1969
99,poojizm
100,prenco
101,presquetreza
102,priiest
103,psapolu
104,pulsevortex
105,puresttourist
106,qatp
107,r00_k
108,rararama
109,richardlowellt
110,rollyrodger
111,rom1910
112,saboori
113,salemanesa
114,sapaieo
115,seyda
116,shacharya
117,shhhhhh5
118,simssalagin
119,smajumdar1976
120,sohan_navelkar
121,stipe222
122,syg98
123,tajjankovic
124,tartoune
125,taxmaster5000
126,tetraskel
127,tfaing
128,the_grand_cuck
129,tiescuot
130,tmoe
131,toddhedberg
132,toko1809
133,tubaad
134,tu_mama_tambien
135,ulyssg
136,u_lost_already
137,vancampiakopo
138,wannabe2700
139,wildquokka
140,xavaxv
141,yabuddymang
142,ytkilla
143,yx369z
144,zauster
