player_index,username
0,00nexus001993
1,030d
2,06991054551
3,08try2play
4,0astro0
5,0bernull
6,0bi12345
7,0caesar
8,0dra_dek
9,0dreo
10,0elopunkte
11,0luca1
12,0piggybank
13,0th0mas
14,0xchess
15,0xjason
16,101kaykay
17,10ag2000
18,11carl11
19,11maggo11
20,1213141516171819110
21,1220wien
22,123424525
23,123456seven8
24,1234jk
25,123er456
26,123supermary
27,12chessmaster123
28,12eroor12
29,132ifxcku
30,13einhorn
31,14doris
32,14matteo
33,16121974jova
34,1615cleo
35,1702binki
36,17andreas
37,1859
38,1966petrocelli
39,1966player
40,19andi73
41,19franz98
42,19marc93
43,19mst93
44,1a4f6e8b
45,1ako3
46,1cross3nails
47,1flankengott
48,1fritzfritzfritz1
49,1hensing1
50,1hummsel1
51,1icex
52,1kingzz0
53,1ndude
54,1neis
55,1osho
56,1pose
57,1primus1
58,1realmartin
59,1spaceman
60,1tom1tom1
61,1ukq
62,1warxye
63,1_bibiana
64,2013fabian
65,21emil08
66,21maki21
67,22yusuf
68,22_mau
69,23sarastr0n10
70,28panda
71,2aceandy
72,2birds1hero
73,2faceless
74,2hoch2
75,2lolo2
76,2tester2
77,2texas2pete
78,2x210
79,31_retsnom
80,321
81,32i7
82,333mikey
83,37ri
84,3amo
85,3eerus
86,3einhorn
87,3lantsys
88,3llym
89,3mil69
90,3mr33
91,3omgplsno
92,3r0r
93,3xab
94,3xbwdeadlift95
95,420kuki
96,42chris
97,4344elman
98,45dolores
99,46vale
100,4815162342x
101,49ec
102,4asse
103,4dchessmasterr
104,4emma
105,4mike777
106,4rtax
107,4xdailytrade
108,50cend
109,5150dto
110,53ho
111,555denis5555
112,57er
113,58emma
114,5chachnovelle
115,5headcerbs
116,5headdeku
117,5kandj
118,5minutes14
119,5nako5
120,62ratso
121,64fx
122,67dude
123,69chinaman69
124,69gabeitches69
125,6clumsy9
126,6istvergewaltigung
127,6ix9nine187
128,70goldchains
129,713fisch
130,71str
131,73jg
132,74747
133,76sabe
134,777bliss
135,7avs4
136,7glorious
137,7ho
138,7hom45
139,7mhk
140,7next7
141,7patronus7
142,7vodkaschluessel
143,84nightmare
144,88seppe8
145,8lambda8
146,90bullseye
147,91checkmatt
148,95rob
149,97hippo
150,999clemens999
151,999fj
152,99stefan1
153,9ardavn9
154,9catsinatrenchcoat
155,9lx9
156,a-druckenthaner
157,a10z
158,a1343
159,a1x1n
160,a374s
161,a3pik
162,a477470
163,a69929505
164,a7madhasan
165,aaa0832
166,aaangelika
167,aadnan1703
168,aalexanderteo
169,aansatz914
170,aappaapp06
171,aaron041
172,aaron7772
173,aaron99994
174,aaronbht
175,aaronbraham
176,aaronjaun
177,aaronthegolden
178,aar_powidl
179,ab3ab3_1
180,abakus12371
181,abc1411
182,abcdef9
183,abcjosef
184,abd362
185,abdalla-haikal
186,abdalrhmanmorapia
187,abdul925
188,abdullah0495
189,abdulrahmanalazzawi
190,abdulwasi0047
191,abelzaman
192,abgebissenerkeks
193,abgebissenerkeks9012
194,abhianc
195,abidesku
196,abikng
197,abizey
198,abizmall
199,ablacky
200,abogi
201,abozeed99
202,abs1963
203,absi75
204,absolutchess03
205,abstractedduck
206,abuwilliamsu
207,aca1917
208,acceber13
209,ace-parov
210,acekimo
211,aceking0
212,acemile448
213,aceofclub
214,aceofraphy
215,aceuno
216,ace_vienna
217,acfreshie
218,achensee
219,achilli95
220,achlightning
221,achterl
222,achtlacht
223,acidhero
224,acido25
225,acidpauli
226,acika1987
227,acikos
228,acimx
229,acnologia014
230,acpopi
231,acraeus
232,acsteiner
233,act63
