player_index,username
0,-agua-
1,-chris-
2,0-vice-0
3,007mr_shark
4,007qi
5,007tdr
6,008oiram
7,00chat
8,00daneger
9,00darb
10,00dlesofnoodles
11,00jimbo00
12,00juggernaut00
13,00jules
14,00leo1
15,00shed
16,010001100100100o
17,01001011011
18,01010123
19,01011010acii
20,01chesz
21,02470247
22,03jayden
23,0406104950
24,041showbag
25,0438905
26,04psim
27,0529jason
28,05gratefulchicken
29,07andrewdao
30,08vasu
31,09i4
32,0allee
33,0atmlyk
34,0ben0
35,0bew
36,0bluefirefox
37,0bouncybear0
38,0braincell0
39,0christos0
40,0chums0
41,0cker
42,0dysseus0
43,0fairy
44,0gard
45,0grem
46,0ilus
47,0kamikaze
48,0kla
49,0knightofbrunker
50,0ksey
51,0ldmatee
52,0lley
53,0mn1sc1ent
54,0mrman0
55,0n3la99yb01
56,0nan111
57,0niongod
58,0nl0
59,0obi
60,0oorangutan
61,0rangepee1
62,0verlyambitious
63,0x11e
64,0xalfie
65,0xworldchampion
66,0_bletsas_0
67,0_cloudyskyes_0
68,0_zeke_0
69,1-winnable-1
70,10000death
71,1001king1001
72,100purrcentfurryfree
73,100rbhsehgal
74,100t100t100t100t
75,100_eggs
76,10142470
77,101manda
78,103ale
79,1080noscopez
80,108j
81,10dakshin
82,10dulkarsachin
83,10gamechamp
84,10gems
85,10jay10
86,10luck
87,10minutemailaccount
88,10perf
89,10thletterau
90,10_big_men
91,112052
92,1122batman
93,11cpg11
94,11disquiet
95,11puzzle
96,11rush
97,11stephan
98,1201james
99,120881chesser
100,120kbanana
101,12345678910hhhhbhhhh
102,123456bayar
103,12345chess5
104,1234ismell
105,123beef
106,123boombambop
107,123buttercake
108,123fu321
109,123jnt
110,123mhayward
111,123nicholas
112,123spv
113,123yuyuy
114,123_leah_chess_champ
115,127yla
116,12andscared
117,12bole
118,12dhvl
119,12kingjamess
120,12shelvepantry
121,13275
122,133tz
123,13bols
124,13ceejay
125,13laqmagic
126,13savage
127,13william
128,14-alwaysforwardcoyg
129,14027
130,147652147652
131,147theking
132,1488nig1488
133,14based88
134,14cobra14
135,14dcsscd41
136,14grandmaster14
137,14rami14
138,14smithg
139,1500bytes
140,155121cu
141,1592486
142,15eawil
143,15maclfs
144,15olivtw
145,1609vs
146,161298
147,1612jc
148,1620th
149,16henry16
150,16may1960
151,17beans
152,17fps
153,17pricey
154,17spotto
155,1800kebabs
156,1892liv
157,18copes
158,18dee8
159,190201
160,1920x10
161,1928adam
162,1942ilya
163,19511964
164,1956steph
165,1969serg
166,1974player
167,1975dannyboy
168,1975sjsp
169,1979katherine
170,1981brendon
171,1987ethan
172,1995kabir1995
173,19andrew64
174,19kanguy
175,19kunk_own
176,19maddog96
177,19prince64
178,19seanrh71
179,19sophie86
180,19spearfish77
181,19thomas88
182,1aboona
183,1amnewtothis
184,1amsaint
185,1ap1
186,1atanna
187,1autochess1
188,1axon
189,1bampot1
190,1beard
191,1bhuvaneshkumar12
192,1bishop-8pawns
193,1blackunicorn
194,1blessedmama
195,1bluemink
196,1bogusname
197,1claudius
198,1croatiansensation1
199,1darkside11
200,1e4
201,1earner
202,1easybeat
203,1edu
204,1eem
205,1fabled1
206,1gazman
207,1generous1
208,1gh0pz
209,1goldennugget1
210,1ilgingy
211,1isfirst
212,1jamster1
213,1jason
214,1jessie1
215,1keister
216,1kgray1
217,1lionsin1
218,1markhunt
219,1mastershifu
220,1mg4y69
221,1micc
222,1michael23
223,1minonly
224,1mlagging
225,1mpt1
226,1nandos
227,1ndecisivestrategist
228,1nethre3aore1
229,1nsitu
230,1of10dentists
231,1oman
232,1operas1
233,1oser
234,1peach1
235,1queenbeee
236,1queencheckmate
237,1refaatgeorgy10
238,1reno2
239,1ross88
240,1skc
241,1skinny
242,1swordsman
243,1temper1
244,1tepan
245,1trickymicky
246,1tsj1mmy
247,1tsmebirdy13
248,1underdeveloped1
249,1usernameisnottaken
250,1v0ryg1rl
251,1v1att
252,1velvet
253,1vick1
254,1viratc1
255,1woody
256,2-metre
257,2000cp2000
258,200iqbb
259,200iqchessman
260,201121atalielee
261,2015aroras
262,2020dann
263,2020_gambit
264,2020_vision
265,2040k
266,20armstrongc
267,20eeoqwj
268,20iqchessmaster
269,20mintomidnight
270,217ers
271,21coopelia
272,21drose
273,21fuji
274,21walkerw
275,22252308z
276,22ndace
277,22owen02
278,23barnea
279,23feasth
280,23keerfssehc
281,23november23
282,23rdstar
283,23totodile
284,2478p
285,247jamie
286,24hchess
287,2516994
288,25lord
289,25lyndon48
290,269rox
291,2703np
292,277353pog
293,277jah
294,27chessy
295,27starcasinoofchess
296,281oplus6
297,28mo
298,28pearlfish
299,28stitches
300,29crowie
301,2beornot2be
302,2blk4u
303,2bottles
304,2c2d
305,2candan
306,2cool2loose
307,2crabmeat
308,2cupsofsugar
309,2cute4war
310,2defeatsweets
311,2diewithyourbootson
312,2dollarbread
313,2dom5
314,2ezy2pzy
315,2ezy4me
316,2f5l5xg
317,2fast4u82
318,2four6o1
319,2goodrooking
320,2hrpoo
321,2j0r
322,2knightrain
323,2leet2beat
324,2legit_2quit
325,2limbu
326,2md007
327,2mmatt2
328,2mp
329,2msaleh
330,2oo3
331,2oodle
332,2sbs
333,2stepsaheadofya
334,2strokeguy
335,2thbrush
336,2triple3
337,2v_y2
338,2wheels61
339,2wiggy
340,2winturbo
341,2x2unenthusiast
342,2xqt
343,2yroldgorilla
344,2_g00d
345,300cc2t
346,30412
347,304350
348,3062013
349,317sim
350,321kz123
351,32lxiv
352,32south
353,3358494986
354,3393y
355,33la
356,34027
357,35guitar
358,360gamerv
359,36580celtic
360,36checkmates
361,37lizo
362,37pt
363,38280
364,3939jack
365,39raph
366,3a4s5d6f
367,3dster
368,3dvega
369,3dvine
370,3ert0
371,3gambits
372,3ggnogg
373,3li122
374,3lir1v3r
375,3lso
376,3mflattiedog
377,3moves2mate
378,3nigma_404
379,3outof4aintbad
380,3poppy320
381,3rdeye1111
382,3rdeyeacademy
383,3rd_derivative_postn
384,3rian0
385,3rkannn
386,3sphinx
387,3tequila5
388,3thanmilo
389,3ugene
390,3v4w
391,3vangel0s
392,3vent
393,3x10tothe8
394,3xzvo
395,3_kings
396,401821
397,402canela
398,4043rr0r1
399,404error505
400,411aes
401,4122_uprising
402,412donnie
403,41peacheswithsauce
404,420blazekings
405,420blazinghighaf
406,420chessbot420
407,420sanchez69
408,420sixty9
409,420_b0ngl0rd_420
410,421mcder
411,4276man
412,42blocksofconcrete
413,42dpapi
414,42ochess
415,43duacye
416,44dk44
417,44r0n93
418,44seagles15
419,45funny136
420,46h1
421,46juve
422,47chester
423,495208341
424,497370401
425,4bears79
426,4cedmove
427,4chessyou
428,4cqker
429,4davelo
430,4everchoco
431,4fsake
432,4gavin
433,4heinz
434,4iiiis
435,4jn4jn4jn
436,4mhcl
437,4mmjl
438,4nah
439,4ngu0196
440,4red65
441,4ryonn08
442,4skin69
443,4stargeneralau
444,4themusic
445,4thinking
446,4tpase
447,4v0c4d0
448,4w350m3yeeter
449,4whomthebell
450,4x4roads
451,5002_kms
452,50ftqueeny
453,50lashes
454,50schild
455,50yui
456,51124tner
457,51lky
458,51lva
459,52factor
460,543dsa
461,54joltz
462,5521max
463,55ace
464,5731k
465,58walkingdead
466,59groupfish
467,5ah3r
468,5am2am
469,5am5on1
470,5browncows
471,5cis30
472,5cmr5
473,5foot7king
474,5giscovid
475,5h1vam
476,5headchamp
477,5headpepegawarrior
