player_index,username
0,23traveling
1,2paul8
2,3sth3
3,4nd3s
4,4rmy
5,abigailariave
6,abufaris76
7,acost007
8,aghidipino
9,ahh-dominate
10,ahilbert97
11,albertolopezdorado
12,aldricpro12
13,alex1234678
14,alexwqb
15,alezx6543
16,andrescarrascal
17,andy_bts
18,angelica0410
19,anjeroxj
20,anoek23
21,anujgango
22,apemaster
23,areeyac
24,ari-dc
25,aron5667
26,arsenije98
27,arthur81
28,arubavice
29,aubinp
30,baborin
31,babushkin_podarok
32,bananaclip565
33,barrels4breakfast
34,bartleby942
35,basi13
36,batocan
37,ben-barghoutmehdi
38,biteyzebra
39,bobosea
40,boilpotato
41,bomamaa
42,bovoaruba
43,bridge2
44,bruinoognelis
45,bshanin
46,buluhidung
47,canargo
48,castabivi
49,cbas14
50,celis3004
51,cemyth
52,cesar1919
53,chandlertromp297
54,chessrookstealer
55,christianerasmus
56,cobito
57,corigt4
58,cupido999
59,d547
60,daanwerkwoord
61,dajinxky
62,danielchess07
63,danielkervel
64,davitbarevner
65,derseppelhuber
66,dgche
67,djamruk
68,djavro
69,djurwin
70,dossspicos
71,drblunderboy
72,drwillemeisennudel
73,dummerschimpanse
74,dyaeger
75,egichess2
76,eglikarost
77,erleoss
78,estebango1234
79,euker99
80,everythingtristan
81,ewing1233
82,eyaggelos_roxamis
83,ezheloko
84,faceporky
85,fartmate
86,fernandochess12
87,ffffffjjjjjjj
88,fhhjhggh
89,finart
90,flamingkittys
91,fred_der_lurch
92,ftmspartacus
93,fttggs
94,g3r4ld2
95,gav007
96,ga_ngel
97,gdg84
98,ghgh6
99,gleamingchimp
100,glenduke
101,gotyouchip
102,grab_some_lemons
103,grandmasterray1
104,grandmastersunstroke
105,gremmul
106,grubbler
107,gtully
108,gujikin
109,guntheric
110,hagaij
111,hahaman10
112,halldjur
113,hanku22
114,hearly118
115,heyaitspaul
116,hiiijemun
117,hilarioramrez
118,homer882
119,humanodroide
120,icysnek
121,iduna2911
122,ijsbr4nd
123,iriscris
124,irrati0nal_pie
125,isellchildren
126,itskevin297
127,iwbhk
128,jack9790015050
129,jagdishg
130,jamesggj
131,james_evans
132,janrood
133,jarinhogeerman
134,jawa9
135,jayaua
136,jaysonjb
137,jay_owen
138,jhing0
139,jhon_torres
140,jiga
141,joepbastiaans
142,joey2230
143,johnnygoodbye
144,josediaz23
145,jouzapas109
146,junchiiipro
147,kaidenallen1
148,kaprosknij
149,kar-ploff
150,karamtej
151,kasparovjr212
152,kati1wolcott
153,kcvalerio
154,khammer6
155,killerfireball45
156,kingo145
157,kitifolen
158,kjhowell
159,koshas
160,krali_marko
161,krishgianchandani
162,kunalnathani5
163,kungfuist
164,kxllxn
165,kyleczapiga
166,landkati
167,lapinicho
168,latolina
169,lawrence562
170,laxmans
171,leontorres98
172,lirstfast
173,lisethromero
174,lizeverduijn
175,loooooooooooooser
176,lordecho
177,lospapillon
178,lovrozg
179,lrb2519
180,lxcv14
181,lysander8003
182,ma3shaan
183,mag307
184,marcussiegfried
185,mark-bueno
186,marsknoop
187,martijnhenriquez
188,mas2002
189,mattw0820
190,metrocosmos
191,mfmfmfmfmfmf
192,mhoneth
193,michaelwu03
194,michelle1234m
195,moofapoof
196,mrcarlsen2u
197,mrgd87
198,mrmakerspace
199,mrmonseratto
200,mstess
201,mv95a
202,mykhailool
203,napo19999
204,nathynova
205,neilfromthe297
206,neneco5
207,nersorosa
208,niffson
209,ninjavati
210,novaches
211,novavoidx
212,nt_zeggo
213,odabi
214,onyxss
215,ostiki
216,pablomlg
217,pancakeorder
218,papidingo
219,pasamelobien
220,pauldacosta
221,pellepk
222,penenvenenado
223,pineapplechess14
224,pointlesspete
225,polgaiv
226,poopaloop
227,privateps
228,pustin69
229,quickquickquickquick
230,quintonfillet
231,ralphdesir
232,randyortan0011
233,rastafari77
234,raymass
235,rayvaldesz
236,richielawyer
237,rickaruba
238,rirshi
239,roastbeef12345
240,robby1005
241,robbylh
242,roberey884
243,roberto1412
244,robertpieter2
245,rogerchess2018
246,romeoromeo5
247,romeoyeet
248,ropro17
249,rrg-chicago
250,samcreat
251,santiagorross
252,sebi1405
253,sercanaktas
254,shelter_ng
255,shevacad5
256,shisi41
257,siamosolonoi
258,silencepancake
259,silkyboi123
260,sisaslleve
261,slowcoffee183
262,sobadatgame
263,soliterpro
264,sophieaua
265,squritleturtle007
266,stephane-aua
267,stephcroes
268,stopherbee
269,stupididiot696969
270,swiftsweeper
271,talento10
272,tangybicycle
273,tavi001
274,tech_elite
275,teenietuner
276,thex954
277,thezephyr
278,thutmose2157
279,ticoaruba
280,tiddly_diddly
281,timschiener
282,toohugeforyourself
283,trach99
284,trainlikechamp
285,tricky
286,trink1
287,tupapi0410
288,turbina1
289,tyggggf
290,ural557
291,username024
292,vanhaalsing
293,vankenchi
294,vansh031
295,vazljota
296,vertigsx
297,vishu281963
298,vladimire69
299,waterwets
300,wcwctim
301,wenceslao1964
302,wertero
303,whiteplug
304,willempie13
305,wiskje
306,wm11111
307,xenochris
308,xtrafruzz
309,y92-832
310,ydagger1712
311,yedaki76
312,yessir678
313,yldrm75
314,yoryix5
315,yu_go
316,zfr08
317,zhit789
318,zsuiramtik
