player_index,username
0,017wdj
1,4bishoboo
2,abordage
3,activeoatmeal
4,actual5headclap
5,al751
6,andymiller71
7,antonk96
8,applemooset
9,billclit
10,bl4ckhorssssse
11,boezqt
12,braneb22
13,bunnylodge
14,carefuljail
15,chessjonsson
16,corona_virusontwitch
17,cupcakefury
18,doc43
19,egooddown
20,ellenengstrom
21,elohell82
22,emixels
23,filiphelen
24,fkhchaos
25,funnyas
26,giuliomarcon
27,gm-skrim
28,goldenwriter
29,grillchipss
30,hasselkoff
31,idiob
32,idonotlikepolitics
33,ihavethecoronavirus
34,ironsack
35,isaknordlund
36,janneason
37,jason543
38,jlinden50
39,joerg112
40,justvidman2
41,kentax
42,kevintraveler
43,kiibbles
44,kireao
45,knightnightknight1
46,lordofallblunders
47,magnus0112
48,mathiasknight
49,mattssoni
50,mbrunnsb
51,mehrannnnnn
52,michaels86
53,ming362
54,mregon
55,mrnns
56,mrnns4
57,mrnns8073
58,mrptodai
59,nabbish
60,nickeboy1969
61,nobleelevator
62,ograsrot
63,ottomanstamper
64,para_l_l_ax
65,pederlundkvist
66,pjotrjansovich
67,pr0ty
68,rashyaman29
69,rkwyat
70,ruoykki
71,sadahide
72,sasi182
73,semaforo51
74,shaneskinner77
75,sicilicide123
76,siiwest
77,silent_nemesis2710
78,soppa2
79,steaktartara
80,straxen
81,tenjuu
82,theawesomredchesser
83,upstairs-rice
84,victordidriksson
85,virmar
86,wahaha62
87,wezew
88,whoatemymatpakke
89,worshang
90,yorapi
91,zmaga7
