player_index,username
0,100bajan
1,123ab121
2,1ronward
3,246simeon
4,6gamma9
5,a-thal
6,ahmedsucuk
7,ajm1p1poo
8,alejandroxo17
9,alhjujnn
10,alittle2hi
11,amapurp
12,amati123
13,anabolika
14,anax7
15,andersfjermestad
16,andka
17,andybee109
18,andynichols7777
19,andyprit58
20,anrade
21,antfran246
22,arhean
23,ashacasha
24,ashantaa
25,ashendrugar
26,assa886
27,aurelienwoi
28,avi504
29,aye-aye
30,back4lashes
31,badatchess262
32,bajan974
33,bajanrhea
34,bajantarzan
35,bajanwarrior
36,baje7
37,barbados101
38,barbados1977
39,barryhaynes78
40,benat
41,benny2733
42,bethharmonstans
43,bimbados
44,bimjosh
45,blackmanrequis
46,bledshow
47,boby246boby
48,boones
49,bops16
50,boriscx
51,brieuckyo
52,brilliance108
53,brodinski13
54,c1kill1
55,c4illout
56,candyjoe
57,caninho33
58,cantcatchhaze
59,carbonatedcarbon
60,carlhinkson
61,carlpage
62,cavalino
63,cfgbhjjnggxcvgfxvg
64,chaddbarrow
65,chessguymaybe
66,chiefg1
67,chokzy01
68,chrysti04
69,chusone
70,citizen774477
71,clevestonifill
72,coltraane
73,coolboix
74,cozierthanthou
75,cuffecha
76,cuinla
77,d4nz
78,damian4765
79,damnfico
80,dangabegriffin
81,darnz97
82,daunitos
83,daurk
84,dbm_nl
85,deereezy
86,defaulto
87,dgelles
88,dkcummins1
89,dknight9
90,dominotheory
91,donnamurray
92,draquitu
93,driftrock
94,dual1pa
95,duderabbit
96,duncebucket3
97,egilsg
98,elfaygr
99,elmsakni
100,eoinireland
101,erenyy
102,ermak086
103,errol8
104,espindocious
105,etelra
106,ethetan
107,fabsha
108,favaz77
109,fawltybear
110,finna_blaze
111,firecatxd
112,foolishumbrella
113,forestburner
114,forkinpawn
115,fourupper
116,francisfarier
117,franco4141
118,frannerz
119,fujin45
120,fumblingcougar
121,fyfaen
122,gallbag
123,garibaldi123
124,gencayd
125,gerardofbarbadia
126,getswept
127,gghost99
128,ggjnju
129,goatpeter
130,godmode26
131,grandmastergwen
132,griff300
133,griffcity
134,gunrunnar
135,gusbest
136,guttaperk
137,guykul
138,gwinnjames
139,hann541
140,hansgoeschess
141,harvy312
142,heijmerik
143,herkoles
144,hi_mynameishasan
145,hndrxxjr
146,hproel
147,iambab
148,ibraaadel
149,iggimenez
150,ihuntkingz
151,imposily
152,indanajonestasche
153,ironix905
154,issycrawford
155,italien02
156,itsswig
157,j2020bx
158,jackbarb
159,jacksondyer
160,jackyjey
161,jacobmaas
162,jakeel
163,jamaalclarke
164,jamiebergmann
165,jatkinson
166,javilonganiza
167,jchess9855
168,jcho89
169,jcoles246
170,jcskyrock
171,jeffdebarber1
172,jeffersonford
173,jellosmooth
174,jeranim
175,jermainek
176,jermzzzz
177,jesus4xxx
178,jiggaforeal
179,jippiebrown
180,johnmacdougall
181,jonobim
182,jorgediazz
183,jrbob1
184,julifg
185,junior5207
186,juniorj1977
187,justinz
188,k1fff
189,k4510
190,kahlilhc
191,kakarott009
192,katrinakat
193,katy2244
194,kaysar2010
195,kb4707
196,kdorion
197,kedaz27
198,keha33378
199,kesannkajae
200,kevbar246
201,kevinpillsbury
202,kevynshorey
203,khadebelgrave
204,khadebelgrave2
205,khadim69
206,kievygpg
207,kjskeete
208,klm246
209,klwd
210,krptnrsnc1000
211,kylesandiford
212,kylesc
213,kyxapka
214,lawren0
215,laxbro36
216,leg6en6d6
217,leilajo
218,leka2011
219,lekoupa
220,lelloyd90
221,leolausemaus31
222,leonswann
223,levien854
224,lexa2
225,lifehawk
226,ljagrant
227,lolito1234567
228,loosebroose
229,loosefan
230,luciuslzr
231,lucybrench
232,luigilouisjr13
233,lukeypukeyzz
234,m0rgeorge
235,madera17
236,madog131
237,mammalman96
238,mangaleya
239,marcweekes
