player_index,username
0,0-bas-0
1,000-merlin-000
2,002061350
3,01marc01
4,01vibecheck01
5,021ahmad021
6,02pk
7,03sw
8,04marina31
9,050kenny050
10,09207594888
11,0amin
12,0fflimitz
13,0lafsarmat
14,0matos0
15,0merunesdagon0
16,0mka0
17,0neii
18,0nyxpected
19,0phtalm0
20,0tidus02
21,0winter0
22,0xide2
23,100hoeskaido
24,100j100
25,100lives
26,101barco
27,10mv
28,11camilacabello
29,123098zac
30,123alexke123
31,123bobo321
32,123rikketikketik
33,127strijder
34,12ocky
35,1317n
36,13thdimension
37,141chess
38,1488ardis
39,14nd3r
40,15061977
41,15vincent_donne
42,1600asgoal
43,160417dames
44,16art2209
45,16dannyr9
46,16leeuwen
47,1710b
48,1810lorenzo
49,18lc18
50,1953terry
51,1975willem
52,1989gert
53,198paul
54,19ant97
55,19bruce81
56,19dimi84
57,19wave76
58,1bad925
59,1bauerr
60,1chesscowboy
61,1correcaminos
62,1deca
63,1durande
64,1etsp1aychess
65,1hevige
66,1karek
67,1laul
68,1lions
69,1locobobo9
70,1mcl
71,1moo
72,1mp3r4t0r
73,1ngo
74,1ngush
75,1niko11
76,1one1eyedking
77,1onlyone
78,1pliketoi
79,1schroef
80,1sofie
81,1thelegend27
82,1v1roro
83,1verse1
84,20100v
85,2013027
86,20jonathan02
87,20sarco20
88,21capsforever
89,23emin23
90,243mf
91,24c
92,254chickens
93,26armin
94,2789mp
95,2800u
96,2860bgl05
97,29misch01
98,2curly
99,2easyyyy
100,2f4t1
101,2guardianangel
102,2inpress
103,2klety
104,2light
105,2luckyluke
106,2manypintjes
107,2marcdehond2
108,2mjolk
109,2ndbestpingpong
110,2petitsverres
111,2smart4yo
112,2yay2
113,3-hoek
114,310n3
115,3141592eter
116,314159maths
117,321gerrit123
118,35dries35
119,3600genk
120,360noscope3
121,37287djsj
122,3bagzz
123,3bigmamas
124,3isharifff
125,3julesbeerlandt8
126,3loosh1
127,3mili3
128,3planetes
129,3redouane
130,3s1
131,3sd26
132,3sg1s
133,3sje
134,3sley
135,3slrafc
136,3sro
137,3st13
138,3strouille
139,3svi
140,3swouters
141,3tibovdb3
142,3tr0x
143,3xh0rt
144,3xt1nct10n
145,3xv15
146,3yarth
147,3_steps_ahead
148,420chesspapi
149,4224tony
150,457w45uyw45yu
151,47clem
152,47mbg47
153,47rks
154,49undefe4ted
155,4bobdylan20
156,4chimp
157,4goldchainz
158,4loki
159,4nt1d0d3
160,4pex
161,4rchiteo
162,4unds
163,5-nico
164,501maarten
165,50mart50
166,50nny
167,528sonny
168,53math53
169,53pp3
170,555tito555
171,5headbrain
172,5headrc
173,5yarnetranoy5
174,5zer
175,61gtvdf00
