player_index,username
0,0thegame
1,10raginghormones
2,17216648
3,1goose
4,1medo
5,27horizon
6,2usf
7,3looish
8,3mro123
9,44hus
10,5upsmort
11,6969hahaha
12,79hasan
13,7alwachi
14,7amad07
15,7ft_f0ssil
16,8isa
17,93born
18,98hasan
19,99hash99
20,99milas
21,a-m-s-3322
22,a-z99
23,a4mf
24,a5mad7
25,a7bkm2
26,a7mad04
27,a7mdg
28,a7med2409
29,a7med89
30,a7medeee
31,a7medrabe3a
32,a7medsahlawi
33,a7medy192
34,aaa111691
35,aaa1985_bah
36,aaaalmahdi
37,aaditsaxena2012
38,aah103
39,aalkooheji
40,aalsari24
41,aalshaikh18
42,aaltajir
43,aamer_it
44,aaronsxn
45,aatoukan
46,aayar495
47,ab1122
48,abay8807
49,abbasi900
50,abbasmarhoon5
51,abd1115
52,abdalla4888
53,abdu21480
54,abdulaal
55,abdulaziz303
56,abdulla31
57,abdulla66620
58,abdulla731
59,abdullaa91
60,abdullaahmed3
61,abdullaalnoaimi
62,abdullabasalar9
63,abdullafuad90
64,abdullaghareeb
65,abdullar10
66,abdulla_alwedaei
67,abdulrahmanalshirawi
68,abdulrahmanmoath
69,abd_alhaseeb1
70,abhay2013
71,abhaynair3
72,abhidabestboss
73,abhilibtard
74,abishop73
75,abitom
76,ablebagpipe
77,abmd_17
78,abohamad73
79,abood995
80,aboodinho
81,aboodrs7
82,abpss
83,abufloos
84,abuhanan
85,abusager91
86,ab_alhamri
87,achessplayer9911
88,adelalakram
89,adel_salem
90,adhashim1
91,adlz4e
92,adnan858
93,adnan_h_mohamed
94,aeidozz
95,afadlalla
96,afakhroo
97,afkar3
98,afzal2267
99,ag_203
100,ahanprabhu
101,ahd92
102,ahmadalzuood
103,ahmaddasan
104,ahmd29
105,ahmdov
106,ahmed222335
107,ahmedabbas2
108,ahmedalk29
109,ahmedalmerza
110,ahmedalqaseer
111,ahmedalsayed90
112,ahmedalshuail
113,ahmedfarag4
114,ahmedkooheji
115,ahmedlayl
116,ahmedoo002
117,ahmedoo6
118,ahmedsalman56
119,ahmedy359
120,ahmedy98
121,ahmed_aldoseri
122,ahmmdy
123,aiyoswami
124,aj091
125,aj2273
126,ajalrashid93
127,ajdebere
128,ajeeli
129,aji464
130,ajoor19
131,al3basi
132,alaa936x
133,alaarahimi
134,alaazaman
135,alabed376
136,alamri89
137,alansari11
138,alansari332
139,alarrayed
140,alassar1988
141,alawadhi06
142,alawiz69
143,albanna5
144,albayat
145,albedal
146,albertoyzzz
147,albraiki82
148,aldoy97
149,alecoy
150,aleepersian
151,alexispajaroja
152,alfardan1
153,alfayez85
154,alhajer89
155,alhammadi210
156,ali111444
157,ali5645254
158,ali7addad7
159,aliaabdulla
160,aliadulredha
161,alialaali0
162,alialhammad
163,alialhassan7
164,alialmatar
165,alialsadah
166,alialshehab
167,alibahrain
168,alibarry
169,alicox1x
170,alico_37
171,alidos162
172,aliisa22
173,alikawaz7
174,alikebrahim90
175,alimind
176,alinottheonlybeast
177,alioso
178,aliplayschess
179,alir4dhi
180,alisadeq48
181,ali_faisal2
182,ali_habib132
183,ali_isa
184,aljadahmed
185,aljawad
186,aljaziflamer
187,aljjnshkw
188,aljowder16
189,alkhulasi17
190,allawi9
191,allstar78k
192,almas12345
193,almernge07
194,almldy
195,almoamen
196,almoayyed
197,almullao
198,almurbati_97
199,alnasri909
200,alnoaimi27
201,alooisuper
202,aloosh_1
203,alooyws
204,aloy71
205,alqatari
206,alqayem
207,alroomi2019
208,alrumi
209,alsindi
210,alsowaidi7
211,alsulaiti92
212,altayyar98
213,alyssa692531
214,amal1019
215,amala202
216,amalsabt
217,amalsabt1
218,ame3r2
219,amehta312
220,aminama
221,amine_zouaoui
222,amitdas07
223,amkoudsi
224,ammar636
225,ammaraldhaen
226,ammarbu
227,ammarnada10
228,ammarrasti
229,amna4
230,amoolz27
231,amruakeel
232,amruthapilli
233,an9ari
234,anasawameh
235,and53276
236,aneporly
237,angelfung1
238,angryayoob
239,anm422334
240,anoopemv
241,anragecolma
242,anupms
243,anurag973
244,apols0307
245,arawish_3
246,arayedh
247,arayedh18
248,archs
249,areft3
250,ariel1210
251,arish5691
252,arkchessdragon
253,armyia
254,arrady
255,arrr444
256,aryandhokate7784
257,asalah10
258,asamaheej
259,aseyadii
260,ash1494
261,ash20202
262,ashafeeq
263,ashakeeb
264,ashamashakani
265,ashmalhaha
266,asmyde
267,asous0
268,aspsarv
269,assaidms08
270,assblaster42069
271,astro240
272,at-147
273,ateya60
274,atharva05112007
275,atomic54
276,atsk2019
277,attar3000
278,attyteach
279,aunnaser1982
280,aura2006
281,avax21
282,awaisshergawii
283,awajinho1
284,axparn
285,ayateem
286,aymanziedan
287,ayoob360
288,ays557
289,ayshabadran
290,ayshabadran0
291,ayshamutaywea
292,aza363636
293,azeemmalik47
294,aziiz000
295,azizaleqla
296,azizalzayed
297,azizisa
298,a_z11
299,ba7rani
300,bababuuuu
301,babine69
302,bablo888
303,babybuuu
304,bader071
305,bader686
306,baderestacio23
307,baderkamal
308,badri3112
309,bahbah180
310,bahrain123
311,bahraini1973
312,bahraini30
313,bahraini777
314,balajimathreya
315,balasrivatsav
316,balbalooshi
317,balhamad5
318,bapcochess
319,bardooli
320,baselov
321,bashayerfateel
322,basim21
323,bavlyisthebest
324,bayan199519
325,bayanalqassab
326,belal191
327,benahmed887
328,betmen4706
329,bharat179
330,big411
331,bijuchirayil
332,bilal606
333,billo
334,binfalah37
335,bitfrosted
336,bkj0708
337,blackcastle83
338,blamelesss
339,blindfistin
340,blunderfy
341,bma52
342,bmac4084
343,bob7968
344,bobrat
345,bokambash
346,bokhammas
347,boredphonetime
348,bosh123
349,boss677
350,boyahi6
351,boyaqoob
352,bo_khalid_999
353,brandoskie
354,bravefarmer
355,bravelamp
356,braveman404
357,breaker219
358,brendanlycnh
359,brilliantchangswife
360,bromscus
361,brownricelowcarb
362,bryanbaguio
363,bu-isa
364,bu52y
365,buahmed22
366,bualfadhl
367,buchbooch
368,bud3y
369,budendol
370,bufadhul
371,buhameed
372,buhanan2011
373,buhatembash20
374,buncheeech
375,bunoura
376,burairalhabib
377,burke444
378,bushaqer
379,busultan93
380,busundus
381,buyaequb
382,buyousif357
383,bu_kumail
384,bv961
385,b_kasem
386,carlosyeetoof
387,caveaziz
388,cesargasalatan
389,ch9937
390,champdhruvz
391,chanakyapandya
392,chartreusemire
393,charvisaik
394,checkyourself91
395,cheese_king108
396,cheffilom0916
397,chelc22
398,cherry_amoona
399,chess0surgeon
400,chessisbetterthango
401,chess_killing
402,chess_spinosaurus
403,chowdryc
404,clytiepotts
405,cmet712
406,coconutintheocean
407,coleenjane
408,compcomp
409,conal2489
410,coolcharminguy
411,coolguybh77
412,coolz27
413,cover78
414,cr4fty11
415,cr7y96
416,crasher3x
417,cris_cr7
418,crocodile6969
419,dafon11
420,danao0
421,danger13dude
422,danish5078
423,dariyush77
424,dark3flags
425,darkduckling
426,darkhorse81
427,darwenborrow
428,david205
429,davivaking
430,deadafandi
431,dedicationiskey
432,deenasalami
433,dee_kaey1
434,deley1
435,deliciousspider
436,deliwala
437,derbasyes
438,derickdaniel
439,devanshsmehta
440,devdarsh15
441,devu2010
442,dhamit_rynx
443,dhh94
444,dhyani2225
445,dima991
446,dimitrisrizia
447,dimn24
448,dino1447
449,diraz48
450,diyaqablan
451,dizzyrink
452,dj70
453,djluck_20
454,djoceanstar
455,djrent4
456,dnaveen2105
457,doc018
458,documentaryguru
459,donpobre333
460,doubleaksa
461,drdsat
462,drhasan2
463,drim555
464,drm5amis
465,drnair
466,drquix
467,dsp183
468,dumpsterdiver4
469,durazi77
470,eaef-bah
471,eaglewatch91
472,ebrahimalasmi
473,ebrahimc14344
474,ebrahimhusain
475,eburshaid
476,ehaacc
477,ekudtabara
478,elbastaki
479,elhossiny-mahmoud
480,elia555
481,eliasnahas
482,elmaestroxavi
483,elvinbitterman
484,elyas198
485,emahmood8
486,emylee1
487,equais
488,esamsaeed_91
489,ethanjmartin20
490,eved72
491,evie2010
492,eyad10arab
493,eyad95
494,eyadrr
495,faalbi
496,fadhel0736
497,fadhel12345
498,fadhell84
499,fadi6662
500,fahaadbeast
501,fahad1984
502,fahad981
503,fahadalshirawi
504,fahadhani
505,fahed5875
506,faisalalbinkhalil
507,faisalaldoseri
508,faisalau
509,faisalbudalama
510,faisaliqbga
511,falkhaja
512,falsaffa
513,fardanbh
514,fareedkar
515,fares257
516,faroostheboreeone
517,fateelo
518,fatima0306102
519,fato0oma89
520,fawa111
521,fayo3
522,fazevirus
523,fazulilahi
524,fcblove11
525,fdangra29
526,felleria
527,ferasr86
528,fezo31
529,figmentthecat
530,fingerlover
531,fj1993
532,fjalafoo
533,fmalshaikh
534,foglas6
535,forexit7
536,fortkochi
537,foxmax2012
538,francosophie
539,free70
540,fress3
541,frj27
542,fropetro
543,furqan93
544,furrysoup
545,fvdff
546,g70x
547,gaetbahrain
548,gafood
549,gamer-vip
550,ganeshdh
551,gdjvdjvs
552,general180
553,generalclimate
554,generic_magical_girl
555,georgehabash
556,ger4shi
557,gerashii1
558,gggg729
559,gggggg400
560,ghadadoy
561,ghanimalbinali
562,ghasaan788
563,gimbatovsh
564,gmhatorib
565,gm_cynical
566,gnmjg
567,goldbh
568,goodmain
569,gopinathangopinathan
570,gorlamisalami69
571,gowthi7
572,grahamlanz
573,grengo1911
574,gsshehab
575,gulfvision
576,gutssssss
577,gwyenblied
578,g_retro
579,habeebuk
580,haboc98
581,hadimasoodi
582,hagawaga
583,haideralfaa
584,hajanhasan
585,hajima6969
586,hak115
587,haleema234
588,halfstack2668
589,haljabal
590,ham55055
591,hamad189
592,hamad352
593,hamadal-khan
594,hamadalmarri
595,hamadwski
596,haman007
597,hamaniyousif
598,hamdan66
599,hamedalrowaie
600,hamedalzyod
601,hamed_ss
602,hameed414
603,hammadiiii
604,hamo7ody
605,hamood2006261
606,hamoodalitouq
607,hamoodnfr
608,hamza123ch
609,hani1976
610,hani32
611,haninayem
612,hanley8
613,hanzel6100
614,happycall74
615,happyimhere
616,harshseal
617,hasan-hayki1
618,hasan1771
619,hasanbaluch
620,hasanbanak
621,hasanjazeeri
622,hasanm77
623,hasanthechessplayer
624,hash69man
625,hashas2909
626,hashimaldo
627,hashwork
628,hassan712
629,hassanal-abbas
630,hassanalkhaja
631,hassault
632,hassone9
633,headhunter331
634,heba3ajobya
635,hebaishi101
636,hebtmalek
637,heemalrawi
638,hellbound1990
639,helloooooo1
640,helson1
641,hero977
642,heshah85
643,heshamajk
644,heshman40
645,hetman
646,hgassab
647,himanshumbhatt
648,hiren2819
649,hisham21
650,hisham212155
651,hishamwa
652,hjaberi
653,hkhalid93
654,hmoodmbk
655,hofc19
656,hoozen123
657,hopeme123
658,hourse
659,hr2020
660,hubbleking
661,husain147
662,husain1994
663,husainalaali
664,husainalqari
665,husainbach
666,husam66
667,hussain74er
668,hussain787
669,hussainalsangees
670,hussainaziz88
671,hussainekhlass
672,hussainezar
673,hussainkadhem
674,hussainnbh
675,hussain_r
676,hussam8811
677,hzs_10
678,iamsidman17
679,iashksh
680,iaymn7
681,ibasilz
682,ibraheem2234
683,ibrahim401
684,ibrahimtag
685,icansee4miles2
686,icarustar
687,icyhotchess
688,idarko0
689,ideadly26
690,iferas22
691,ihatechess08
692,ihusain71
693,ihxi
694,iiliawolf
695,ikfunkale
696,ilabs1989
697,ilikemanytots
698,illmatic4
699,imboredaf02
700,imgoinghome
701,imightlosetoday
702,imnew12376
703,imnew235
704,india7286
705,indoorspy
706,inurmom69
707,invectasol
708,invoker187
709,irfan4927
710,irtaza59
711,isa0213
712,isa2075
713,isaaldoseri
714,isaaqeel17
715,isataqi
716,isauuyugvbss
