player_index,username
0,123cr7063
1,123stevowonder
2,3atrees
3,aj2431
4,alexhwarang
5,azmannnn
6,bizonizm
7,bodya666
8,bruhmomentorua
9,bucimat2020
10,charlesxavier0001
11,chess1238766627
12,clavis473
13,crocburundi
14,cure86
15,dangal2112
16,dekambo
17,drotgavadu
18,eddy-k94
19,e_tyourche_dr_n
20,freemanirabaruta
21,freeze4661
22,ganmat
23,gatehousewhite
24,gmfaschino
25,gnaruff
26,hapcibeno
27,hikaru_hakamura
28,hirokushimaru0
29,homino
30,id4vivek
31,ilil1ilil
32,inosa10
33,iris168
34,jacopuzz
35,jesama1
36,joseip
37,juananip
38,kambax
39,kibira
40,kzaasa
41,leonidas68
42,liss973275
43,ljbanks
44,lsf59
45,lsu1234
46,marcosalzira
47,mariscal44
48,mcdice
49,mmeht3
50,moreno-eno
51,neckless5
52,nkombe
53,notrickknight
54,nsabimana
55,odlav
56,orenga77
57,orioltc
58,pablomiablo89
59,planetchessclub
60,quitianandres
61,radicalty
62,ramonharmon
63,robinzonsanatolijs
64,sabrinnaotoni
65,sergeybalaban
66,spartak79
67,taledeus
68,teddyisola
69,trickstercovidfree
70,tumadrepuzzadeculo
71,underbul
72,va2en7in
73,victoravramov
74,xawaxgames
75,yasreda22
76,yomangamer
77,zit7
