player_index,username
0,adnane777
1,afolabi05
2,agbetohou
3,alex31000
4,angelodaf
5,arnelcansancio2
6,awijdi
7,bento443
8,billkun67
9,blackcat704
10,bsinga
11,caspis369
12,ced35
13,dahzindji
14,dandiloni
15,darkis98
16,desto78
17,dil1728
18,don-marcuz
19,donaldhoundjo
20,douth123
21,drunkondrugs
22,dsquare1999
23,duplex26
24,egemirf
25,elgabintos
26,elormado
27,etatmajor2
28,franklinrichie7
29,fred1188
30,freeman3931
31,frejuste
32,frychel89
33,gamblekay2
34,gefen49
35,gilleshonfo
36,gmmagzybogues2020
37,gnagnaro
38,gong31
39,gonzododa
40,got2352
41,h2o_2602
42,hankbksy
43,jeno2030
44,juvnal
45,kabook
46,kadoxx
47,kalkal88
48,karpintero1974
49,kayzen18
50,kemetsword
51,kentin12
52,kiki0179
53,kingauthur01
54,kingbot6
55,kingfifa
56,kjpvip
57,lentilk
58,leonelzegue
59,leussy
60,le_roi_soleil
61,machucambos
62,maraib
63,mehmeghanaima
64,mickarrow
65,mjkawaguchi
66,momo1307
67,momo1308
68,mouhamane
69,necmettinakbas
70,neleddy2001
71,nicaise
72,norrisirron
73,ophir2
74,ouinsouh
75,ovadia77
76,pafpaf93
77,pat0327
78,penella
79,pepicio
80,perroculiaodelchess
81,picsou2
82,pikapikago
83,princed13
84,robby117
85,sanfrancko
86,sathom66
87,sbc19hess
88,schaakmaten
89,sealclub
90,slayingqueen9
91,soulsrex
92,tcaruana07
93,themadchess
94,tiger98986
95,tomroye
96,vamaaomi
97,vaness478
98,waterdart
99,yanickangel
100,zin999
