player_index,username
0,0x5a1r
1,13tg13
2,14jcai
3,3271427
4,adzbrown
5,airypattern
6,ajgibbons
7,allibaba_p
8,amalde
9,amittadle
10,anderidochess
11,avi10000
12,azeemryan
13,b43y_p1ut0
14,bananna1
15,bdaemperor
16,bdaislander
17,bdatypical
18,beastofbda
19,beckettsimmons
20,begadmator
21,bellboy101
22,beloobles
23,benji297
24,bermudamd
25,bermyblue
26,bermybossking
27,bibbitybobbityboop
28,bigflee441
29,boastykid
30,bob-92
31,bob4545
32,bortthebot
33,bosslady002
34,boss_robin
35,braaaaaaaaaad
36,brohammond
37,bronx747
38,calcalist
39,calmhuman
40,calypsomusic
41,carllito17
42,casperpoli
43,cesaraparil
44,champjota
45,chard79
46,chasebda
47,cheeba118
48,cheeba76
49,cheka64
50,chesschamp1979
51,chessfica
52,chesspawntoqueen
53,chesstrasher
54,chester-arthur
55,cluelesslisa
56,cobrakaichess
57,courtd07
58,craig1951
59,crunchyblack66
60,ctrenouth
61,daltucker1
62,dancavan
63,dannyboi90210
64,dapperair72
65,darkeun
66,databasexz
67,daveser2
68,ddrroorr
69,deon1478
70,dillywoppington
71,dixpac
72,dmccomas
73,dmoney582
74,dotbm
75,dreadlockmaster
76,dreadpirateleon
77,drudude1
78,dubrun
79,ducrocq23
80,duradell
81,dusiod
82,dvhunt
83,dzejms900
84,echecs-et-jaks
85,elishalittles
86,ellis663
87,emmy4life
88,enbrown
89,englishgeezer
90,eric_111
91,escobar_365
92,etheriousnoob
93,evanakira
94,eyanlogan
95,ezzytwa
96,farquadmr
97,farrej23
98,feederofgoats
99,ff122
100,fildrem
101,fjsgdasilva
102,flimbim
103,fn0rds
104,froggoo
105,gallyst
106,gasallwhales
107,gazanga1
108,ggoldberg
109,ghfaiella
110,gianlucaserafi
111,giuocomoli
112,gmoniii
113,godguyps
114,grandmastermets
115,hal0000001
116,harrypotteraha
117,havenicks
118,hotpickle2
119,huuzuud
120,iainhope
121,igiveupicant
122,ilixavi
123,inishc
124,ish_24
125,iskremelectro
126,itallyoucan
127,i_needa_name
128,jackthomas2000
129,jacon2000late
130,jahmon77
131,jean-francoishuertas
132,jeoffreychisnall
133,jeremie77777
134,jfaries
135,jimboleitch
136,jivy110th
137,jojo4193
138,josh8935
139,judechess
140,junior1771
141,karl_der_kaefer
142,kem222
143,ketchsegue
144,kimcheli
145,king1749
146,kotleta_s_pi0reshkoy
147,kritika2208
148,krs-1
149,ktwo441
150,kuasont
151,kwilliams441
152,lamorakkk
153,larry2159
154,lassdekeur
155,leana11
156,leapingparrot
157,leprosy2
158,le_ser
159,limnothalassa
160,ljruse
161,lkeb
162,lovermon
163,lowe56
164,lowetide
165,lowkeykai3
166,manchuriah12345
167,manselliry
168,markthorne
169,mars-mercury
170,meriuxxx
171,mgsakata
172,michaelwalsh0
173,missingblobfish
174,mksrps
175,mmufa
176,moadfah
177,moggzinho
178,moose1972
179,morronatico
180,mrrichie2002
181,mr_byob
182,murrphys
183,myqueenisking19
184,my_crowns_royal
185,naasirnaani
186,nairsaj2010
187,nashid30
188,naturalbagel
189,neacoda00og
190,nicebiscuit
191,nicscanlon
192,nollam
193,noseelongtime
194,oatsbda
195,oncescugambit
196,onedoyling
197,onyxbully
198,permutationlock
199,peshtaz
200,petitelephant1
201,petitgrenouille
202,phoebecp
203,polarbeartaliban
204,poppop869
205,popsbda
206,pricerecords
207,qabulii
208,queenmovelikeaknight
209,racolo23
210,ramessui
211,regentna
212,regomw
213,ro13ert123
214,roaringllama
215,robeva99
216,rockeorama
217,roihow
218,rookie7922
219,rugchess
220,runmikorun
221,ruthless_rod
222,ryanlangalbert
223,sail2bob
224,sailing59
225,samuelv7
226,scrub_lord
227,seamusbda
228,seancohen33
229,seanmichaelhenstock
230,seantw1
231,shadowking310
232,shadoxdaddy
233,shero1988
234,shuttle84
235,sinimon672g
236,sonerserbest
237,sonnar
238,sooi73
239,sousaj1178
240,squiddo1609
241,stan4marsh
242,stevendecouto
243,steviesnakes333
244,sunsh0t
245,syoungbda1
246,taj1485
247,tankme11on
248,terminejtor
249,theevilbaby
250,thekidishere
251,the_grim_knight
252,tipap
253,tjleitch
254,trey201419
255,trickyhickey
256,tuckaman
257,turtlejosue
258,union92
259,unorthodox_opening
260,veneziaki
261,vladimirpetrov13
262,waahhoo
263,warren1007
264,wavylite
265,wcj2000
266,whmackenzie
267,willdo-2190
268,xx_tbull_xx
269,ywionedarrell
270,zedsmith
271,zeelikezorro
272,zimmegan10
