player_index,username
0,-sol-
1,02hellandback
2,1skandarr
3,1stdemonking
4,4km41
5,705man
6,aarongws
7,abdaziz989
8,abdfathul
9,abu-hafsa
10,abubakaribrahim
11,acjw69
12,adamsyazw1
13,adamwieland
14,adibahhm
15,adnanbrunei
16,adrian060177
17,afhamiii
18,afifhakimin
19,agus4407
20,ahha25
21,ahmadanwaar7
22,aieman17
23,aimanh12
24,aimanyunus
25,ainulredzuan286
26,aisyah610
27,aizatzaim
28,aizuddinhasnan
29,ajwad176
30,akemhl
31,akkk3
32,akwvzif
33,aladendeng
34,alanchong
35,alexander_lleon
36,alifasnawi
37,alijofri
38,alimharith
39,amaninas
40,amry1305
41,amshar7
42,anansullivan
43,annapotat
44,annoyingbadger
45,anwaaaaaarrr
46,aq14
47,aqilthedanish
48,archilliess
49,arifmia295
50,arrowbazzz
51,arsyad1511
52,arynaryn
53,ashmitxd
54,aten95
55,atengmimi
56,aurialing
57,averet
58,avrian601
59,awakesuccess
60,awesomecookies
61,awgsayor
62,awimadinemase
63,ayambbq
64,az1m333
65,azamsyukri
66,azawawi167
67,azel36
68,azhanzul
69,azmilanuar
70,azrinhg
71,bababazly
72,babyriz
73,bagawaga
74,bahri134
75,bahrin911
76,bazilahg
77,bbrbr
78,bbzz6
79,bcf-kb001
80,bedasi
81,befrency
82,belurus
83,bfranklin87
84,bhithm
85,bidakbaruwing
86,bigbosshours
87,bigchess-kun
88,biggbenn
89,blablabla266
90,bnwy
91,bobachayen
92,boj756
93,boredjesus
94,bossazgas
95,bouncy_bear
96,brandin0
97,brbrbrbsjsjj
98,bruceth15
99,brunounited
100,budi8820
101,buggz0115z
102,burnest
103,burnzzz27
104,buzzkhalid
105,callmelevi
106,captkrank
107,carlos68681
108,carriexlm
109,cartiace
110,cheerfulear
111,cheezydice
112,cheezydice7
113,chengcopyrights
114,chessam14
115,chesscake167
116,chessgod2302
117,chessmastro101
118,chessplaytohow
119,chillsha
120,chitra84
121,chris4e
122,chrissupra
123,chryaes
124,chupapimunyano
125,cixshot
126,crazybunkum2
127,dadannn
128,dan2dan3
129,danes6
130,danger156
131,danialyahya82
132,danielykh
133,daniel_al
134,darthwong
135,dastardly
136,dauzee
137,davidfdeterding
138,davismonk
139,deen703
140,delorinty
141,des130
142,des40
143,dexhar
144,diyanah88
145,donoutis
146,dorshaz911
147,douglasbullet22
148,dragondiznutz
149,dragonknight2406
150,dreaminleo
151,dunkbeast
152,dvoxx
153,dz269
154,earlyband
155,edwin1310
156,eizhnshfz
157,elpinksalmon
158,emai474
159,emmahizam
160,ems079
161,enpak
162,ernie-07
163,erning-07
164,esmatlaunto
165,etherealkth
166,euglcs
167,exoius
168,exxyap
169,ezzbruh
170,e_galois
171,fadhlirahim
172,faeq_iqbal
173,faiqfirdaus
174,farisk196
175,faze-lagordafideos
176,fetalione
177,ffkai
178,fikriemran
179,filah11
180,filterbegins
181,firemanwoo
182,fizfivethree
183,flamest
184,florica
185,fredwong512
186,frenchyubi
187,frostynewb
188,fuucckkyouubiittcchh
189,fuuker
190,fwadyazzri
191,fye97
192,fyzzoverride
193,fzwzhssn
194,gajahkayu
195,gangtzy
196,gashamcbc
197,gawrguraa
198,gdol
199,gem2211
200,gennad1us
201,giddycastle
202,gonnagetclappedbruv
203,grigoriysv
204,gsym71
205,guzzuwu
206,hadesomegalul
207,hadiadanan
208,hadikhairin
209,haeram
210,hak1o
211,han611
212,hanairwan
213,handalancatur2
214,handalanmain
215,hankdysley
216,hanmal217
217,hanzwaa
218,happysweetpotato3
219,hardstuckunrated
220,harizfadhilah
221,harramy
222,harumiyuari
223,harutya14
224,hasbrohs
225,hassan7303
226,hasyahussin
227,hatsarefun13
228,haziqghani
229,haziqh3
230,hazzams
231,heckwater
232,heeroxz
233,hehehepepe
234,helpme1612
235,hfamily344
236,hhhmove
237,hidayahhalim
238,hillrom
239,hippohay
240,hirzaann
241,hitoslo
242,howardbackup5
243,howzerk
244,hr233
245,hrvy33
246,hungercat
247,husaini28
248,hz605
249,iamnew02
250,iamyushiii
251,ianpsycho13
252,iap231
253,icedcoffeepingu
254,icemanwan
255,ichess360
