player_index,username
0,-lh
1,00000al
2,00000d
3,00000y0000091
4,000arnaldomota000
5,000raoni
6,000tati
7,000tiago
8,001-chagas-pordeus
9,0010100ff
10,001arnaldomota001
11,001nogueira
12,001uc4s
13,001victor
14,002y
15,0079davi
16,007contra
17,007donovan
18,007eon
19,007gab
20,007johnlocke
21,007thejoker
22,00alexsandro00
23,00amb00
24,00glopes
25,00ping0
26,00rango
27,00saturo00
28,00sechler7
29,00thales
30,00tt
31,00yago
32,00_rio
33,01-danilo-10
34,0102030725x
35,010zero010
36,01100101f
37,01100110fff
38,011an
39,012_arthur
40,015timmy
41,016felipe
42,016matador
43,019d
44,01agiv
45,01alexxx
46,01almeida
47,01kruel
48,01larry
49,01leirbag
50,01magalhaes1991
51,01matheus
52,01nilp
53,01peve
54,01tati
55,021rio
56,027vix
57,02fael02
58,02_bachmann
59,0306s
60,03gb
61,03viniciuspaes
62,0406iron
63,05sousa
64,05vsdepression
65,07-antonio
66,074v10000
67,07marcelo13
68,07rmlone84
69,08cipriano
70,08nosdaj
71,08vini08
72,0912981928
73,09364524713
74,098219038
75,0alana0
76,0alexandre0
77,0b0100010101110101
78,0bamah
79,0bigz
80,0caldas
81,0ctav1o
82,0ctavi0
83,0deathsdance0
84,0dendeboy0
85,0dre0
86,0emily0
87,0erickls
88,0estagirita
89,0exe3
90,0giantdwarf
91,0giovanna0
92,0hk
93,0icaradeb0i
94,0iqgm
95,0jotapeg
96,0justo0
97,0k1t
98,0lafion
99,0levi0
100,0linad
101,0liveirat
102,0luan0
103,0marreco
104,0matheuspereira0
105,0michel
106,0miniporrinha
107,0ninja0
108,0nlyjames
109,0nurbhf
110,0nzora
111,0onoakira
112,0pickler0
113,0pinga
114,0pp4111
115,0raika0
116,0rkut
117,0salazar0
118,0scambitodarainha
119,0shiro75
120,0t4v10cpv
121,0tt5
122,0ttoziv
123,0ttt
124,0vinicius
125,0wallace0
126,0wlf0x
127,0x69232
128,0xf15ch
129,0xleone
130,0xlobox0
131,0xobitoz
132,0zerotwo2
133,0zirix
134,0_crim
135,0_jovem_mago
136,0_melhor_pedro
137,10000maniacs
138,1000bauer
139,1000house
140,1000tinho
141,1000tonchess2020
142,100altura
143,100cueca
144,100dinheiro
145,100matheus
146,100nada
147,100perder
148,100sato
149,100to2000
150,100vn
151,107t
152,10berg
153,10francisco10
154,10gamer
155,10kgdechifre
156,10kz
157,10mgy
158,10oxto
159,10pacito
160,10ranieri
161,10rodolfo
162,10w10
163,10_ton
164,1101th
165,11111111_madu
166,1111bbbp
167,111arthur19
168,117304
169,117f
170,11felipao11
171,11noobmaster69
172,11tales07
173,11th_dimension
174,11toty11
175,11yzz
176,120881lg
177,123456789077
178,12345lima
179,1234feijaonoprato
180,123alice321
181,123beethoven
182,123blackwolf
183,123danilo4
184,123diego1231
185,123gabriel
186,123gomesjay
187,123joaopedro123
188,123jorge
189,123julio0
190,123lahire
191,123lrm
192,123oliveira
193,123rm
194,123rocs
195,123va
196,123vamosl
197,123vitorl
198,123xadrez455
199,123zahar
200,12efaixa
201,12eu
202,12kleberson
203,12leandro
204,1307theozin007
205,1313k
206,132dutra
207,1337br
208,13anos
209,13caracteress
210,13eduardo11
211,13henrique13
212,13mose
213,13nathan13
214,13thryan
215,13vorhees
216,13yearskid
217,144000chess
218,145667
219,14bis
220,14harrison
221,14kxbiel
222,150220c
223,156mott
224,15789
225,15833590001b
226,15935701rmp
227,15abella
228,15carvalho
229,15galaxy15
230,15guigo04
231,15hellen
232,15viz
233,15_the_legend
234,1603fox
235,162ar
236,16gui16
237,16toneladas
238,177013s
239,1794celson
240,17gabriel
241,17galodoido
242,17luisalberto
243,17otaner
244,17othavio
245,18022
246,1812motta
247,1895crf
248,18an26na
249,18jotabe
250,18luiz181
251,19111914
252,1917cccp
253,19270
254,1948f
255,1951kapitsa2010
256,195941
257,195iqhehexd
258,1964dez
259,1967spring
260,1976brasilrecife
261,1979isap2012
262,1979pe
263,1979santiago
264,1981ricardobraga
265,1983marcos
266,1984valdy
267,1987lucas
268,1987rb
269,1987rick
270,1991dogao
271,1992-katrina
272,1992leandro
273,1995shingo
274,1996carlos
275,1998danielrsd
276,1998diego
277,1998oscar
278,19cdc
279,19deschain
280,19hidalgo91
281,19josecarloscarvalho
282,19ju88
283,19val7
284,1aharon1
285,1allans
286,1andarilho100rumo
287,1anjo
288,1banzinha
289,1beatriz
290,1berico
291,1berto2020
292,1bertorn
293,1bertu
294,1bigo
295,1bilu
296,1binaryname0
297,1bruno1
298,1canteen
299,1cavalo1
300,1cdorneles
301,1ciriaco
302,1curtain
303,1daniel1982
304,1david1234
305,1dazor
306,1dracula
307,1dudu
308,1elieser1
309,1enzo2
310,1eofagundes
311,1eomarques
312,1espartano1
313,1fcn1
314,1g00r
315,1g0r10
316,1g3g6
317,1gms1
318,1goor
319,1gor07
320,1grin
321,1grindel
322,1hellov
323,1hurdle1
324,1ilhama
325,1inesviegas8
326,1j2f3m
327,1jd03
328,1jmmc
329,1ju1
330,1kairos
331,1kmiao
332,1kodiak1
333,1lfern
334,1lucasgn
335,1lucaslima1
336,1luizfaouze2
337,1lukinoguara68
338,1marai
339,1marcelosantos3
340,1marcelus
341,1marte
342,1martinzz
343,1minininho
344,1moldealan
345,1moldeisa
346,1monroe
347,1murder1
348,1nest1
349,1nf0n4m3
350,1nf0rm4luk0
351,1nickkkk
352,1nickzin
353,1nner1
354,1nogs
