player_index,username
0,0mora0
1,100kwilly
2,10xmementomori
3,2facemckellar
4,aaaaa330
5,aannggeell
6,abmmavens
7,adriasparov
8,aft1511
9,agibson
10,ahmedelebiary
11,aiory
12,ajasssd
13,akashake
14,akshaysingh23
15,aldiodi
16,aleksvw
17,aliabsolute
18,allaharkbar
19,allanwr
20,almegdad122
21,ambshepard
22,angelomysterioso
23,answurst
24,asdimd
25,ashadsandilands
26,astu8
27,attractivecat
28,babet_db
29,badbrad58
30,bahabum
31,bahamachessmate
32,bahamas571
33,bahanico1
34,bankthe8
35,baradelia
36,barisin
37,beachguy2021
38,beanieeeeeeeeee
39,bigmancaino
40,biopsea
41,blacknight334
42,blainet-actician
43,bluebishops86
44,borisvlasov8
45,bortolottij
46,boulangian
47,brayan_dcb
48,brzen
49,bublii
50,butilikefur
51,camoeaz
52,caribe4545
53,carolinealisoun
54,cedric-35
55,ceo_of_blunder4444
56,chadbournerolle
57,checkmebk
58,chers2011
59,chess894
60,chessbest1000
61,chessexpeditioner
62,chickenboiiiii
63,chingching9
64,christhompson459
65,christwillreturn1
66,cipendo
67,coconut20
68,conchyjoe1
69,covertrebel
70,cowboyfive0
71,cream242
72,crfbower2008
73,currensy1
74,cutecrabby
75,cykablyat66
76,cyrilgnm
77,dacapoworrell
78,danny111178
79,davaughn2324
80,deloaded
81,delroystuart
82,digged
83,digistance
84,dknight1
85,dombower
86,donheisenberg
87,dorjetrol
88,douglaspalacious
89,dre142
90,drecode
91,drukensailorbc
92,dundadda
93,edisonambrister
94,eedz12
95,emmybswa
96,exuma
97,eyw22
98,ezzir
99,f4sterthanyou
100,fanecapatana1
101,fbusfer
102,fhjbgffhb
103,fiddel444
104,filipichin
105,fisherfan
106,fivestar242
107,fl1
108,forkingyouqueen
109,franksperato
110,fredfonk
111,ga325
112,gellerbra
113,georgebeev
114,georgestarostenko
115,geri1946
116,gibs3659
117,gingerkasparov21
118,gkgkbhmkll
119,goldfinga242
120,govcon
121,gregbarks
122,grim1781
123,gutssamyzer
124,ha21s
125,hariomhariharan
126,harshilsvora
127,hectcher
128,hoofandmouth
129,huncho2tru
130,hvalimputina
131,hypersnail22
132,icewaterdreams
133,immaterribleplayer
134,imvon
135,jacksonphilipp
136,jacobee073
137,jakeoldfield
138,jasonleach9
139,jaythegrateful
140,jazzcasio
141,jcarchable
142,jdemeritte
143,jdonado
144,jeagerjormung
145,jeannethomas
146,jerkyjerk
147,jietseverweirder
148,johnabbot
149,johnathonwilliams
150,jolie4ka
151,jolosa97
152,josef_czapajew
153,juliavw242
154,justoechazarreta
155,jvcko
156,kahj184
157,kareemwilldream
158,katrok212
159,kenny504
160,kerimnaci
161,kingjarrid
162,kingron12
163,kjayyy47
164,kleeklee
165,kmvv
166,kram1221
167,kutxini
168,kylit0
169,kyriefx
170,ladytee242
171,landofeyez
172,learnedjaguar
173,lebauta
174,lerongreene
175,lethariogibson
176,ligtenberg
177,lipzz
178,lockzone25
179,logicboy3
180,lolinator3000
181,loosecannonball
182,lucasgcorreia
183,lypolita
184,madspecialist
185,mahta1995
186,majesticmango242
187,major473
188,makazou214
189,makonnen242
190,marcelluswallace23
191,marcusgarvey77
192,marfeeyoutjoseph1
193,mati7447
194,mattihalla
195,maurenitomedrano
196,maximumggg
197,maxthemaster555
198,mbo1188
199,mcsheepdad
200,medsendl
201,melminns
202,meniethurston
203,mesyenwa
204,mihalychbig
205,millybo60
206,mimii3391
207,mojstersah
208,morlaz
209,mortybee
210,mreiach
211,mroker
212,mrsighman
213,musshr
214,mv_supreme
215,nassaurudy1
216,nat1137
217,navigatorjam
218,nbtji2473
219,nickmackie
220,nicol_9_11
221,nitzanron
222,nkoulakov
223,nlb6
224,noelsg03
225,nooccartheraccoon
226,nouseforanam3
227,odiekapuno
228,omaribuhy
229,onemerci2
230,ozymandias11
231,pandableus
232,parmassist
233,parnello
234,pawnstormer1
235,pawnstormer28
236,pawnstormer53
237,pearlnotch
238,pelfu
239,pfffffft
240,phillyvs_tommylee1
241,pineappledan
242,pippokokaina
243,pkdval
244,polinakarelina
245,presidentskroob
246,prestigiousf
247,princay
248,proctorthereturn
249,ptrnpc
250,publowpicasso
251,purpur
252,qwert111111111111111
253,rageroonies
254,ramonio
255,rarthw
256,rebirth242
257,redbaron-tc7
258,redztheuno
259,resende87
260,respectcycles911
261,revoltingcook
262,rexx242
263,rkarna
264,roaric
265,rodent8929
266,romanhart
267,ronjizzle242
268,rookwek
269,rose625
270,sagedpath17
271,saint_anne
272,salahkamar
273,sambaconch
274,sativa18
275,schibah420
276,sdfgsgf3451234
277,self-portrait
278,seppibubendorfer
279,set-man1
280,sethofbahamas
281,shahikk
282,shahmaayte
283,shtumpi
284,sigman_242
285,singasan
286,slavik2030
287,snaxhax
288,soggydollar
289,solo242
290,spiros27
291,spj1234
292,steakysauce
293,stefzke33
294,stennishalightbourne
295,stoicmole
296,striva
297,superches001
298,surfinbum
299,swiftstix
300,szachermacher69420
301,szn3k
302,tally2talls
303,tangent70
304,tarun7651
305,tarvis2
306,tasssss
307,tathashpra
308,tchecmaurice
309,tennessee8
310,thelastlions
311,themooseman
312,therook242
313,the_potat0
314,thia8
315,this-old-man
316,thomae
