player_index,username
0,123gaborone1
1,229durak
2,abora1
3,abulgasemabusrafa
4,acemantez07
5,acronomy2
6,advocate03
7,aerton
8,african_chigorin
9,agvikmarg
10,aidilcue
11,akim1238
12,al-ps
13,alibaba0110
14,alltheaces
15,amenraah93
16,ameted
17,anaconda44
18,anora8222
19,anthonykenn
20,anthonyngk
21,appex024
22,aquimany
23,arctixx
24,ardeacinerea
25,arona_mosh
26,ashbw
27,asthma267
28,atangtemogo
29,atsile27
30,aubreyrams
31,austintamu
32,baitsejr10
33,bakangmbotho
34,bame8896
35,banks116
36,bchandrax
37,bells_kelly_bella
38,benedict5500
39,bennthebolang
40,bigpapa2111
41,bigstarbigstar
42,billasy
43,bioam
44,bismarkdam97
45,bkalake
46,bkttshukudu
47,blah16
48,blahnames
49,bmanangelo
50,bo-ola
51,boboskie75
52,bon_snow
53,bosatirafalofagalio
54,bothumo
55,bryan1223
56,bulma411
57,butlerdebegens
58,bwmate
59,caiphus5
60,calypus_knight
61,caringform
62,carlnyc
63,castrocaes
64,chaka60
65,charles412
66,chasigift
67,chessmasterbw
68,chessmastter
69,chessplayerngr
70,chiefmponang
71,christis
72,cjgunsquard
73,cmoney95
74,comkoroo13
75,conchubhar1
76,corvanos
77,cournot
78,crestkeamogetse
79,dai-grepher
80,daphilly
81,dayzzer
82,dborek
83,dcp775
84,delba007
85,deltacougar
86,denniskk
87,deokmb
88,detgud
89,diamondarnold
90,didwde
91,diloma94
92,dimples32
93,ditiror
94,djmulder
95,don562
96,dottedlynx
97,drevansevans
98,drkillerstyne
99,drrio
100,dziilanijr
101,dzik27
102,e230
103,eashram
104,edeklegend
105,eitaaa
106,elmodiane
107,emilmoham
108,emma826
109,emmanuel244
110,emmanuelkw
111,emosarwa
112,ericmaude2
113,ernestmmani
114,eskobah
115,esmond211
116,faroukpandor
117,fateezy
118,faze_anthony
119,felireba
120,flames619
121,frankbonolo
122,frankfreezy
123,frenchdemon
124,friday2020
125,frosst85dk
126,galesiegalesie
127,game_1997
128,gaoboweabdul
129,genmak
130,gmaspirion
131,gndik
132,gofamg
133,goldenmarksptyltd
134,gomz
135,gradientoitsile
136,guilherme_simon
137,gunman9
138,hero2047
139,herocheerio
140,hiddinleash
141,hunz1793
142,idkwtfiam
143,improvidence
144,isakin75
145,iteputhompson
146,itssnehin
147,itumeleng7692
148,ivan1125123
149,jaayjaay
150,jadedmalcolm
151,janeoff06
152,japanqueen
153,japanqueenclamanine
154,javastrip
155,jay-o1
156,jdjmuller
157,jillielian
158,john186
159,jojo42876
160,jorram
161,joshuatlhapisang
162,jqg123
163,justus18
164,jwaonegaboitaolelwe
165,k11nghunt3r
166,k47i
167,k7ouros
168,kabo_sandawana
169,kaj93
170,kalvoa1
171,kamashadi
172,kamikaze29
173,kaoneran
174,katlegobw
175,katsan
176,kay0601
177,kaywade61
178,kealebogamokgosi
179,keith5166
180,keitumetseifb
181,kemboimorake
182,kemt
183,kenanaokeleb
184,kennybw
185,keplergm
186,keteng_collen
187,ketigv
188,kgalalelo888
189,kgali
190,kgangkgolo
191,kgmlifestart
192,kgoboge
193,kgocy
194,khawizzo
195,khayelihlep
196,kheo_arr
197,khumontlotlang
198,kiddoxgamingyt
199,killah_px
200,kindeteb
201,kingelbandi
202,kinglarry11
203,kingmaposa
204,kingstonovic
205,kingsx2xyou
206,kingwalk
207,kmogopa
208,kopokeitumetse
209,kruda
210,ktshebo
211,kurtbw
212,kushtheone
213,kyliekago
214,k_ram27
215,lalimousine
216,lawrenceletshelea
217,lefhik
218,lekawana
219,lekgethopako
220,lenoz9
221,lepsy780
222,lermaynejefferson
223,lesedimokgadi
224,leshomothomile
225,ll_bw
226,longsniper
227,lorako1441
228,lord-raps
229,lordzowa
230,lowtempo
231,luwinsky
232,m437
233,ma1adjusted
234,maano8787
235,maatlamorokotso
236,machobanemoemedi
237,mahampho
238,majahana
239,majanggofentseone
240,major282
241,maleboza
242,malkishua
243,malvinmpofu
244,mamasmilk
245,mano3535
246,martindking
247,mathgenius2x
248,maximo234w
249,mazebedi1
250,mcdonald969
251,mcsamog
252,mesika
253,messyrecess
254,mhatasediba
255,mich8816
256,michaelstarkman
257,michael_x10
258,mike3v
259,miketyson19
260,mikey_b
261,missgabs1
262,misticalchemist777
263,mitchellvans
264,mmirwaboy
265,mmutlek
266,modt22
267,mofex4
268,mogapi
269,mogegeshe
270,mojaboswa
271,mokgathi
272,molefe_omogolo
273,mompatimolibe
274,moneibkg
275,monoliden
276,montich
277,mooketsimotlhala
278,mosanako
279,mosepele
280,mosesane
281,mosetsanasalani
282,mosinki
283,motemo
284,motherteressa23
285,motlhapinglepekoane
286,mouzy6666
287,mpama
288,mpho
289,mrdilodilo
290,mrizo
291,mu2cylek
292,mulshin
293,muriel89
294,muzala
295,mwambansebula
296,mystictony
297,m_3_h
298,nallu74
299,nchidzimmereki
300,ndade
301,ndohk
302,neetabots
303,neoseleke
304,netoj
305,never_resigngm
306,ney94
307,ngomso
308,nhonhobots
309,niftyicon
310,nmosacc
311,nomzabw1
312,noob1978
313,noor_ahmad23
314,nthoiwakaone
315,oakofile
316,obatlha
317,obertkeitumetse
318,obopileobopile
319,obzerverche04
320,oduetse
321,oetlalefhoko
322,olegxodr
323,ompeileboikhutso
324,om_parikh
325,onegameonlynoreplay
326,onk76
327,ooouwen
328,orapelengmoatshe
329,otengkalake
330,pako7002
331,pakokgosikgosintwa
332,papabrett
333,pastor-kopbatho
334,patfuse
335,patsisto
336,patunar
337,paymanletlotlo
338,perhaja
339,phaa
340,phillimethabo
341,phseven11
342,pitso30
343,playbouy
344,playerj205
345,poisedvolcano91
346,pondie105
347,potro999
348,pozzy2556
349,prasanna1972
350,princesskurt
351,quebots
352,r971
353,rainwaitzkid
354,raschivo08
355,raymondab
356,rayzzah10
357,reuben06
358,rex-xx
359,richardfreak333
360,ricksbw
361,rima_tnt
362,rjsamuel4
363,robertmoen
364,rodgey
365,rollrika
366,rombale
367,romero312
368,ronanplayer
369,ronfla
370,roytaps
371,rraagwepafnuty
372,r_tksh
373,saitamao_o
374,sakhile1015
375,salttswaipe
376,samarosem
377,samba-t
378,sammiesimsam
379,saunton
380,sdavuluru
381,seamarquess
382,sebakeng
383,selebaleng183
384,selemogwe
385,sg_mo
386,shadbw
387,shihamr
388,shimane-153
389,shyamn
390,slapisang
391,slimovich
392,smallbootydestroyer
393,sonny117
394,specerwells
395,spila85
396,sreejithu
397,stallion89
398,steadytree
399,stevemc79
400,stinkysaku
401,strikerluke2
402,stunna303
403,swiftydrifty101
404,swimehdi
405,tafawa
406,taitaio
407,talentjohn
408,tamuhla99
409,tangentchess
410,taulion0
411,tbogee
412,tefho
413,tefo1265
414,texbots
415,tgwp
416,thabangboikanyo
417,thapelofrancis1
418,thatomathogojan
419,thatomathogojane
420,thatyeezy
421,theetrappgodd
422,thegoat8uboi
423,theonas0
424,theorangeoflies
425,therazertt
426,therealkryssiewolf
427,theromokoto-18
428,the_real_vito
429,thobo310
430,thusi_khid
431,thutompene2008
432,thutothuto
433,timmy-last
434,tinocosta84
435,tins2
436,titanmandedu
437,tk10008
438,tlhagiso96
439,tlholego202011
440,tmakgato
441,tnn49
442,toddjosephsdeyon
443,tommy472
444,touch02
445,tpmasake
446,trickybun
447,trig77
448,trin109
449,tshdick
450,tshepog
451,tshepophaswana7
452,tshepotladi
453,tshiamosaboi
454,tshwarom
455,tsitso76
456,tumisang-bw
457,tyox
458,uahardi
459,ultimatemasterpavan
460,upendra1
461,v4vndta
462,vahdat20
463,van551
464,victor002romeo
465,waggam
466,wal_move
467,wame29
468,wazhamasole
469,weganda
470,westmoatemo
471,wezimungisi
472,whenirise
473,wintyplex
474,wittykay
475,wrongwave
476,xbalisticz
477,xi_kira_ix
478,xomaxoma
479,xpawns
480,yabadabad00
481,yassineahme
482,yellow9293
483,ypi
484,yufailed
485,zawadiwilliams
486,zayedkhan75
487,zimgamer
