player_index,username
0,-archy-
1,00samu
2,092853
3,0amaterasu0
4,0co3hahue
5,0mishka0
6,0slava0
7,0xbeb
8,1111111111m
9,111exzon111
10,11magistr11
11,11thknght
12,123456789014
13,123amg
14,133owtbdmrkxmdjx
15,13b3boglpoma
16,13yak
17,14882281337
18,14serg
19,16081980
20,1608or3105
21,1917krasniy
22,1945cccp
23,1956i2
24,19dav84
25,1a2b3c4d90
26,1alone1
27,1h8ter1
28,1ia
29,1jury
30,1ksusha
31,1nikolay1
32,1ukch
33,2017minsk
34,2020kate2020
35,20bekkkk
36,2121l
37,25_coolden_25
38,28al58
39,2ez4jrdn
40,32333233vlad
41,344andrey
42,375333134383
43,37sirotkin
44,38iq
45,3a6u9ika
46,3abtpamen
47,3abxoz
48,3hw
49,3zet
50,3zzztich
51,4-jk00k
52,434vova434
53,46741
54,4ara
55,4givu
56,4ik4irikk
57,4ndreyka
58,4ymadan
59,50kg
60,5122480volk
61,58sfs
62,5number5
63,6138301
64,666alexandr666
65,6896
66,6archangel66
67,6opoga4
68,6yjib6uk
69,777axel777
70,777dimonchik
71,7alexbol7
72,7hepixel
73,7philip
74,7_nikir
75,8885559
76,8nebo
77,97blr
78,9lbond
79,9rmol
80,a-marco
81,a1122chess
82,a1fa_v3rsion
83,a1n0v1
84,a2162
85,a461033
86,aaaattttaaaa
87,aaabbbccc55
88,aadob
89,aae2222
90,aandrukhovich
91,aaronhatescheese
92,aat49
93,abamot
94,abarzenkov16
95,abashtavy
96,abcb
97,abdullah278
98,abdurauf23
99,abibok
100,ablazhon
101,abo2703
102,absolute_zero78
103,aburchik
104,academic120
105,ach00z
106,achilles174
107,acidicicle
108,acker18366
109,acm01
110,acm689
111,acr0nix
112,activil
113,actualemotion
114,adalex
115,adam44464
116,adamada-vv
117,adamtucco
118,adapetrovna
119,adashev
120,adatakris
121,admirallenigma
122,adom143
123,adrianoff18
124,adrianzg
125,adsbs
126,adski1488
127,aeolus_of_aeolis
128,aer1als
129,afbot85
130,afonia619
131,afony72
132,afonya5683
133,agakakskageshg
134,agapotau
135,agatha2014
136,agentby
137,agentkorolya
138,agink
139,agranitovich
140,agressor92
141,agsmith46
142,ahmad3196
143,ahoiar
144,aid61
145,aidenflink
146,airbasketball
147,airung2012
148,aiskrim03
149,aivko412
150,ajarcrawdad
151,ak064
152,akademidchik
153,akaranke
154,akarpovich
155,aka_termit
156,akes1986
157,akio6353
158,akliman
159,ako282
160,akpor
161,aksu6655
162,akv77
163,akva
164,akvaby
165,akvise
166,al-blue88
167,al1m4ik
168,aladind
169,alainais
