player_index,username
0,11rolfel
1,aaronragnarok
2,addiestruif
3,adei696969
4,ahurasbaba
5,akoldpiece
6,alexcruzjaz
7,alithemighty
8,alrickvasquez
9,amartrako
10,amauryso
11,andressamos
12,angelo400
13,aty6
14,aznaux
15,backpack2
16,baronedy
17,bbblnkt
18,bendoverchessmawdz
19,ben_blaster
20,bhhfzhfg
21,bobby288
22,bo_the_beast
23,bzgamer501
24,caincheckedabel
25,carolrumpopo
26,cesoircestricard
27,chess07playa07
28,chesskingofmichigan
29,chizii
30,cj1706
31,clevelandjames696k
32,combo12
33,comshot69
34,crickets33
35,crossroads11523
36,cucoxolox
37,cul_de_sac
38,danielmajil
39,dayne2000
40,denmarkciego
41,djg501
42,dnovelo
43,docmuchi
44,dominique1bze
45,dongpan
46,dpgiii
47,dramaticpiece
48,drtalos
49,dupedogg
50,easyurl
51,elec3fying
52,elgatitto
53,el_jj_del_norte
54,emirrperez
55,evitaevadney
56,finezze
57,fitz48
58,flowxss
59,fragglerok
60,franticme2008
61,frofrogo
62,g16789342
63,gaby_gabz
64,garihotep
65,gh1s
66,godly_soul-hunter
67,gypsumrock
68,haryymoo
69,hazzyy
70,hellowhite
71,heyhei
72,hideonhorse
73,hit2019
74,hoshikage_30
75,ibz9177
76,ig_toxic
77,illegalfeet
78,illiano123
79,ivorbze
80,jamagod
81,jamsanch97
82,janeechi
83,jazzyjac2
84,jerand011
85,jeromegill0
86,jgomez14
87,joethepro77777
88,johanrobert
89,jol93
90,jsmit024
91,kelembu
92,kennethalejandro
93,kevz73
94,kiiingcepheus
95,killah820
96,kingezee
97,kingkazak
98,kingofchessjosh
99,knight_at_the_museum
100,kourtneyrose
101,lauracaal5
102,littlereyrey
103,llambey09
104,lmerl11
105,lucas_duck
106,major3839
107,mama_mia00
108,mandolorian14
109,marble72
110,marcimej
111,marcweshler
112,marin199227
113,markivan8
114,marric2032
115,marsromero
116,masterschmidt
117,matat3
118,mattdecrush
119,maybenico
120,mbarse
121,mc-blas
122,mediaserver
123,meiroimy007
124,micahvernon
125,mistaham
126,mrsnacki
127,naldo_2115
128,naoj82
129,navanishreddy
130,nayper
131,nelsonrancharan
132,neverwinyet
133,nopess99
134,nose_candy
135,notaninja
136,notsureforsure
137,ogzicim
138,omar21634
139,opening
140,org73
141,paitxa
142,pariroro1978
143,pass3dpwn
144,pawn-of-salem
145,pawn_of_the_queen
146,pbbb
147,philsher
148,photojake
149,plaoffbze
150,playerrasdins6
151,playfuldictator
152,pmpam
153,prep79
154,puck619
155,ragga_muffin_34
156,ricesink
157,richkid1000
158,richthewiz
159,ritwikashok
160,ronzurlinden
161,roquematus314
162,russia5663
163,sdigital
164,sewshybz
165,sezmic
166,shahida0299
167,shaxter13
168,sherricklucas
169,shootemuzi
170,siak223
171,slimfast22
172,smartdanger
173,smithcastillo
174,smyslov34
175,souljaboi1432
176,spacebot123
177,spankinboy
178,sparklyfiber420
179,stewartpatton
180,strausmashka
181,sujevrj
182,syannay21
183,takahasiharuto
184,taric
185,tehom
186,thadropout
187,thatbelizegirl
188,thebeliziangambit
189,thedetroiter
190,thegornking
191,thegr8aryan
192,thegreatmugga
193,then0o8
194,tinfoilhat_pawn
195,tony7paul
196,tousenbze
197,trigg3rman
198,tyron818
199,tzatenaha
200,unknownhuman09
201,untizo
202,vikasilver
203,vote1kodos
204,wayne9898
205,whoyt1
206,wulewilde
207,xim6
208,zahenrussek
209,zppr
210,zszz
211,zulubreed42
