player_index,username
0,--xxx--
1,-boro-
2,-fx-
3,-g-
4,-ungrateful-
5,000000matt
6,00000i
7,000kiasa000
8,000lucho000
9,000magicking000
10,000thwd
11,001mark
12,002sigma
13,003bee
14,007-iron
15,007akfls
16,007check
17,007erhardt
18,007karo
19,007nunu
20,007pawnstar
21,00amir000
22,00benallen
23,00chamsy
24,00dave0009
25,00elvira
26,00loopz00
27,00mb
28,00ninja
29,00owl
30,00sim64
31,010coco
32,0112358gm
33,0161manny0161
34,01chess21
35,02496snrub
36,02matt2011
37,02panda
38,0321987
39,032387
40,03cp
41,03des
42,04khatta
43,051montana
44,05boumhyouc0519
45,06boampo
46,0765139
47,07khanar
48,08mad08
49,09bryan
50,09dg
51,09savan11
52,09swein
53,0airtistry0
54,0akkin
55,0aphelion0
56,0creds
57,0cypher
58,0dchess
59,0dolop0
60,0fficialcp
61,0ffmeta
62,0finfinaud1
63,0gaudete
64,0goc
65,0headatchess
66,0iqplays38
67,0kingj
68,0l1v13r1983
69,0lemonslala
70,0limil0
71,0lliepop
72,0lrl
73,0maestr0
74,0megaboi
75,0megachad
76,0n7x
77,0nerose
78,0newayroad
79,0ny1x
80,0ots
81,0painsama0
82,0power10
83,0pretend
84,0r1g3n
85,0rdain
86,0rdalia
87,0rlaf
88,0rynox
89,0samais0bama
90,0sans0
91,0smith
92,0stricken
93,0sylphe0
94,0tat0p
95,0tef
96,0thatgal
97,0thelaw0
98,0ttoman
99,0u1m3
100,0uranos
101,0urphan
102,0utis02
103,0utlaw6
104,0vrn
105,0xf
106,0xffset
107,0zuro
108,1-bubba-1
109,1000curses
110,1000ene
111,1006235
112,100hgm
113,100ian001
114,100ic
115,100jbn
116,100knsee
117,100or0
118,100percentdatbish
119,100percentgm
120,100player100
121,100pumpkin100
122,100thz
123,100turion
124,1012crew
125,1014103
126,101dnj
127,101patrols
128,101stblueboy
129,10203040100
130,1038tjc9wtg
131,103adeola
132,106170244
133,10698lol
134,106brandon
135,10alexk
136,10blade3
137,10iseiria
138,10iser
139,10isfun
140,10mmm
141,10nebuleuse03
142,10ox
143,10poundweight
144,10veersingh
145,10xans
146,1102trac
147,112233lucas
148,1122yang
149,1131330
150,11397a
151,115grand
152,116710b
153,117chess
154,1189455iw
155,118leo
156,11acid
157,11andre
158,11ava11
159,11belle
160,11daddyo
161,11dchess
162,11fc11
163,11fingers
164,11liam
165,11ll1l11l1l1ll1l
166,11nelson
167,11penguins
168,11pouya11
169,11thprince
170,12013
171,121gigals
172,12301234
173,1230tt
174,123123drink123123dri
175,123123ericfan
176,12314w
177,12344man
178,12345321
179,123456789987654321j
180,12345cheese
181,12345chess33
182,12345man
183,12345x3
184,1234chesssg
185,1234hello123
186,1234poil
187,1234q7327
188,1234star
189,1234_nothing
190,123665447sdfgjh
191,123987123
192,123ajd
193,123clayton
194,123cte
195,123dna
196,123gavin
197,123gggggg
198,123humzah
199,123kingpin
200,123mags
201,123melina
202,123ogo
203,123oli0
204,123onjoue
205,123raph
206,123rew
207,123sugardad
208,123vpm123
209,123yaman
210,123_zap
211,124dude
212,127chess
213,1280295
214,12checkers
215,12flora21
216,12gsrb
217,12inch4skin
218,12jjc11
219,12kingcobra12
220,12less
221,12mindgame34
222,12noah12
223,12paul79
224,12pouces5dollars
225,12sam21
226,12teen
227,12testy34
228,12thman12
229,1301ly
230,130aaron
231,131023
232,1314nenon2
233,13177y
234,132548
235,1332r1332
236,1337ender
237,1337johnnyg
238,1337nickb
239,1337waffles
240,133brian
241,137duga
242,13acon
243,13adapples
244,13adger
245,13agb
246,13anton
247,13bigdaddy
248,13gurv
249,13igben
250,13illy13uzz
251,13illyi3uzz
252,13inchpp
253,13jattsaab
254,13jija
255,13rody13
256,13rokenskira
257,13samurai
258,13shalo
259,13thxaro
260,13views
261,13virk
262,1402pooj
263,1415926e
264,142jv142
265,144focal
266,14eden
267,14fireball14
268,14o23
269,14rk
270,14taher
271,151cariboulou
272,1542648795k
273,1570s
274,15797
275,15agb
276,15ferret
277,15jokers
278,1609metres
279,160e-18j_opa
280,165379lg
281,1673b743e1f255
282,16ananma
283,16carl
284,16cass
285,16coeurs
286,16dany16
287,16fordayz
288,16jrp16
289,16marley
290,16nancyj
291,1728chess
292,1738bank
293,1738cole
294,1762larry
295,177rohan
296,1794521
297,17addis
298,17ehsan71
299,17ender17
300,17f
301,17plus
302,17prince17
303,17quinn
304,17scott
305,17tomusic
306,17whitee
307,1800ayyylmaooo
308,1800beer
309,1800bigbones
310,1800gramps
311,1800saddad
312,182x489
313,187595hfsaudyf1
314,18amanda81
315,18blythecrescent
316,18leila
317,18nakedcowboyz
318,1920s_onyx_club
319,1935hvsq
320,1948helm
321,1949ed
322,1957marcantonio
323,19597777
324,1960marienbad
325,1961457a
326,1963maria1963
327,1967bird
328,1967boomer
329,19690201
330,1981pmc
331,1982rayk
332,1988dc
333,1992jul
334,1999ninja
335,19coronasripov88
336,19justin84
337,19pabster79
338,19rads
339,1a2a3a7a
340,1a2b72
341,1abhinavsharma7
342,1ardex
343,1arnoswiridjuk
344,1assen
345,1bernard1
346,1bitekiwi
347,1bonbrie
348,1bruno3
349,1bupr0fen
350,1casault
351,1cheek
352,1chesdboxin1
353,1chesscat1
354,1chesserplayer1
355,1conik
356,1covid9
357,1daniel2
358,1darvin
359,1derp0
360,1dobryak
361,1dolinski
362,1doopitydoo
363,1e4e6
364,1ebd1
365,1ethan6
366,1eyebrow
367,1fizzle
368,1freemove
369,1freeway
370,1garrretttontwitch
371,1gecko6
372,1ghost30
373,1goblino0
374,1goliath
375,1grump
376,1harinarash2
377,1harm0n
378,1havok1
379,1jatt
380,1jdrhiawatha
381,1jkennedy2
382,1joez2
383,1kato
384,1kflipbrick
385,1kingjulian
386,1king_nothing
387,1knightinbkk
388,1knightofsidonia
389,1koda
