player_index,username
0,alvarodiaz1
1,anatoly-afanasov
2,an_old_friend
3,birgirsteinn
4,catadeau
5,chessmanv
6,chessmelbourne
7,echecparhasard
8,franequiza
9,frpo
10,galgrio
11,giantshaft
12,heavymithril
13,hyprys
14,iuca1
15,jah555tentacion
16,jean-michel_etchay
17,jflab7
18,logzii
19,magnuscarlsenclone69
20,maurocovas
21,megachad69
22,minniethemouse
23,mutekwatekwa
24,naathferreira
25,nilecram07
26,pingguoo
27,realfredosantana
28,ruifhni
29,schopenhauersrevenge
30,sebastianrixe
31,spencer_j_bodily
32,spike2804
33,syah15
34,sylvainpe
35,sylvos4
36,tierra2019
37,tomshbzt
38,toochi
39,urbanintheunderverse
40,uzuezueuvuvuvuoas
41,vikingkillingall
42,vint08
