player_index,username
0,2logical4u
1,agmatsima
2,avranabraham
3,azertyub2012
4,bello360maat
5,chawlesss
6,chiaraechisemina
7,claraben9
8,clinton777
9,conv1
10,cyrilcongo
11,czechczech
12,dimes16
13,djjdueekdn
14,donovan31
15,doqc
16,drix2010
17,e8protein
18,ecullap96
19,eltioramis
20,eralkk
21,eyser56
22,fjnavales
23,fm243
24,greed117
25,hankmccloud
26,hokage2019
27,huge-d
28,huguesngbanda
29,jaychim
30,jdpmonkey
31,julienfishy
32,jul_kb24
33,karamazov23
34,kenebk
35,kniebolo
36,kokobongo111
37,kouetosine
38,l1pointe
39,lanoix555
40,liquidworm
41,manofire8
42,meatpound81
43,meinkondition
44,memodouc
45,mesminkimvouama1
46,mih12345
47,mikhailtalwoodbproud
48,misanko
49,mjeverstarmanoj
50,mrlrx16
51,mychautight
52,newhire
53,oelesbebouskeurkeur
54,okandza-okemba
55,paulbazzo
56,pidgyzola
57,psych010
58,rawpawn
59,rondalya
60,sdgibbons
61,sebastien-fr
62,shiithead1848
63,sigsauer226
64,sisipanzu
65,skisofrenik
66,smashfaq
67,suresh557
68,tableofone
69,tambers1234
70,thenavz
71,thericekings
72,ticklemeelmo420
73,tienha
74,tor-erikborlaug
75,trgyckdr1
76,unesen
77,valleydragon
78,wariswaris
79,whereismagiclamp
80,witkrag
81,yaluangu
82,zchess147
83,ziration
