player_index,username
0,-srs-
1,000011124
2,0000charliebukowski
3,00170
4,007garyy
5,007odin
6,007roro
7,00heyho00
8,01momo
9,01nightinbangkok
10,01paulviti
11,02newbie02
12,05caco
13,07111958
14,0872pv
15,0gmaster0
16,0idar
17,0kuro
18,0maninblack0
19,0masteratnothing0
20,0nan1sta_per_caso
21,0ooweee
22,0qoqa
23,0r4g3
24,0ttosmops
25,0verfl0_2017
26,0xdeadbe3f
27,100gemmes
28,100xmieux
29,1037sxha
30,11at
31,11fc
32,11marco20
33,11radiohead11
34,11sabonis
35,122mag122
36,123456dani6432
37,1234d877
38,123abccba321
39,123scorn
40,123tacos
41,123witiko
42,12421jacky
43,12810
44,12jeanluc12
45,12kg
46,12truc
47,1312huu
48,13ey0nc3
49,13ff31
50,13yak13
51,1488bom
52,14fwn
53,14lochta
54,151m121
55,16lavi
56,176chris
57,1829364017832467834d
58,187finn69
59,1893nt
60,1961andries
61,1969jeff
62,1971pully
63,1979268t
64,19bg99
65,19noah99
66,19rsz33
67,1a2b3c256hex
68,1after9
69,1alf
70,1carlosaugusto1
71,1devi
72,1francesco2
73,1g61-0
74,1kurtchose
75,1l1ll11l1ll1l1l
76,1n30
77,1one1way
78,1pabs
79,1rgibbon
80,1risingsun
81,1roneagle
82,1rsmithc
83,1satori
84,1sildor
85,1sildu
86,1silenoz
87,1swiss
88,1tom11
89,1usd
90,1willi2
91,2002saribar
92,2020sommer
93,2021theking
94,20caprices
95,20luke010
96,20thierry02
97,20valzer53
98,21lerant
99,21stepsahead
100,21_kunz_21
101,22-qiaozhi
102,22dde
103,236451pierre
104,23aa
105,23davide10
106,23kiki23
107,23mar
108,2712as
109,2ak9
110,2apples
111,2badch
112,2delicous
113,2dipicche4fun
114,2face031
115,2gambitcoin
116,2nd_life
117,2nils1
118,2pferde
119,2queens
120,2queens_1pawn
121,2smart4uahah
122,2wood1brick
123,2xb
124,31bit
125,333333mo
126,33grandmaster33
127,33hubi33
128,35tulpen
129,3710
130,3911marisol
131,3georgie
132,3igphil
133,3labrantes
134,3mili1
135,3mptycup
136,3osmann
137,3rr0rkid
138,3socks
139,40fox4
140,41zorro
141,420andi
142,420boy04
143,420lenny420
144,420schorsch
145,42graenzi
146,42holzi33
147,43kei
148,444rafito
149,44mfc
150,45magnum
151,45ph
152,48herbert
153,4amini
154,4anshuman
155,4b14
156,4elle
157,4jin44
158,4l4in
159,4m4teur
160,4n7o1n3
161,4nd2ix
162,4ng3ofd43th
163,4rdhendu
164,4rk4n01
165,4rnaud
166,4thofficer
167,4zulon
168,5128sa
169,54erich
170,5chnappi
171,5chopfab
172,5do
173,5lr
174,5nr
175,5pinach
176,5sama
177,5uenfeck
178,63tr3kt
179,6410goldau
180,64shadesofgrey
181,64squaresmate
182,6574vs
183,666ace
184,666batman666
185,666deine_mutter666
186,666nero
187,666seb666
188,666steme
189,666veyailak
190,67ashis
191,69belem
192,69dudu69
193,69rik05
194,6c0
195,6dax6
196,6r360r
197,6ug0
198,6uga
199,7-siech
200,72h72
201,74chris
202,74clement74
203,74marie74
204,753214
205,75ofdiamonds
206,75squash1
207,77darkknight77
208,77vishal
209,7blackcat13
210,7ckng_sick
211,7drik
212,7hemaster
213,7majub7
214,7rayn
215,7tastic
216,7thheaven77
217,802mi
218,8053
219,83alpha83
220,84lutz
221,8610lebronze
222,88blond
223,890987654321jdferrre
224,89rom
225,8bianconeri8
226,8damian
227,8iscuit
228,8mg
229,8nevermore8
230,94fantasma
231,974lulu
232,9gl9
233,9jakob3
234,9karaca
235,9koleg
236,9lla13
237,9xquod
238,9yobeth
239,a-njuta
240,a-to-the-z
241,a0nd2y
242,a0r1
243,a1-steaksauce
244,a118775
245,a19783485
246,a1a4f0265b
247,a1b2c39
248,a1mlost
249,a1tetova
250,a2108xm
251,a2a7n
252,a2queen
253,a5a5el
254,a5kaly
255,a7partie
256,aa1res
257,aa73523
258,aaa0082
259,aaaaaalice33
260,aaal3xxx
261,aaarlinddddd
262,aaastarz123
263,aakiwi
264,aalesh
265,aallaman
266,aalshabaan
267,aamen23
268,aamod_svin
269,aar0w
270,aar1994
271,aarav3141
272,aardvark43
273,aarebacillus
274,aaron1715
275,aaron20138
276,aaron261103
277,aaron5179
278,aaronack
279,aaronsaiyajin
280,aarwennn
281,aaryashar
282,aasem12
283,aawaii
284,ab8304
285,abacherli
286,abaert74
287,abakaric
288,abarosechess
289,abataka
290,abbasnsabra
291,abberry2
292,abbey12eth
