player_index,username
0,13or
1,1fleur-finette
2,1harry777
3,67856
4,999koray
5,abdhalil
6,abel_uchiha
7,absalomshu
8,adamismail8
9,adoublex
10,afaf21
11,afasfsttwt
12,afb1984
13,afrodi
14,afroyagami
15,ahmed0230
16,ahorse911
17,akilkachiro
18,akolacyril
19,alex1358
20,alex_max31
21,allama19
22,andjaman
23,anemou14
24,anhilated
25,anonymos13
26,anwarzodiac1
27,apollon10
28,atemebai13
29,autodidaktor
30,avnodelzir
31,azad190352
32,babtou67
33,bad7891
34,bato121
35,bawer1842
36,beefaleemon
37,bertinovroussay
38,bessegol
39,bessegolyse
40,biishop
41,bikev001
42,bimbia
43,bimik23
44,bingo64846
45,blacktaylor
46,bles4737
47,bob4334
48,booba23
49,bpd_237
50,bubiche
51,bwanga7
52,caissaekv
53,calao
54,carmucant
55,checkmatetheory
56,chenwie909
57,chickengod69
58,christopherphyno
59,chris_kz
60,ck_37
61,claude-frdericmballa
62,claudeop
63,coolpull
64,cory2020
65,crixusnoir
66,csk237
67,dalag2
68,damagedleyo
69,dappercad
70,daredeville
71,dark1100
72,dark1313
73,darkpriest_1
74,darrenw
75,degoche
76,dem1jan
77,denis140
78,deniznazlim
79,desiretchinda
80,destroydo
81,dezy14
82,dimitrijbass
83,djahidnour
84,djanaye
85,djatang
86,djizalfra
87,dodosion
88,donfack
89,donfrank19
90,donvex237
91,dowesmbella
92,dragon7221
93,drepain
94,duchesskolle
95,dufm
96,duke_george
97,dyjor29
98,edgarsapiens
99,ediage1
100,ejb10
101,elabboud
102,emm91
103,endeavor77
104,eonebrain
105,erinfan
106,essono
107,eyesredkcr
108,fabre343
109,fat_practice
110,feavfeav
111,ferkouzad
112,flarion0
113,flix237
114,flokichess
115,florentonguen
116,fluffflush
117,foaleng
118,foccartdasmat
119,franckaurel
120,frankho_kevinho
121,frankmfx
122,franky2018
123,fricans
124,funock
125,gamebandit
126,gatienne
127,gehaisse
128,getcamorrised
129,gilles753
130,glmpro
131,gordon1106
132,hakerman765
133,halamadridl
134,helame2
135,henryionel
136,heraxfishy
137,herverof
138,hervjo
139,hm5326
140,ideltanessok
141,idiot101
142,idrissbieko
143,ieatfecesallday
144,ihsan2102
145,imagination_drag
146,imposing
147,inperalda
148,jacky675
149,jeezgroms
150,jemthebest
151,jeremieorian
152,jeremiesonfack1234
153,jimbosliceny
154,jjb237
155,joburg41
156,joekeres
157,joephx08
158,johncolovatti
159,johnnymbombele
160,jonathanins
161,jonsr18
162,jordanjou23
163,jordanuchu
164,jp_dada
165,juninho2001
166,juniorbwangakingue
167,kaiser_lephane
168,kamkui
169,kamrin99
170,kans01
171,kedusal
172,kefer77
