player_index,username
0,---humbe---
1,01alfajavier
2,030403eisler
3,11bowtie
4,12345yoe
5,1917-23
6,1974ruslan
7,1992raul
8,1savagethinker1
9,2020osmel
10,3atmysh0rtz
11,3betlight64
12,3dgperdomo
13,3ricksv
14,5353867097
15,7018
16,831222
17,a-alekhine
18,a5877
19,aaa9611
20,aarrsch
21,abad71449
22,abdiel0289
23,abelbecerraherrera
24,abelbetan
25,abelitoad06
26,abelmena
27,abeloni23
28,abelrf
29,abeluchin
30,abermudez90
31,abiel1609
32,abrahammilian
33,abstarct
34,absurdstranger
35,acabrera
36,acedeno8605
37,aceresiri
38,ackerman84
39,acm87
40,acmilan2020
41,acostber
42,acoto87
43,acuajedrez
44,adamkik
45,adamursache
46,adam_17
47,adgary
48,admiral93
49,adncuba88
50,adoniscastillo1999
51,adrianjakmate
52,adrifdez92
53,adrypppp
54,adyn4
55,aerotaco
56,afpy97
57,ag50057
58,agalano
59,agu560
60,aguilores
61,agustin91
62,agvega14
63,agz950
64,aima7
65,aimeex1
66,ajal95
67,akibaket
68,akm_zion
69,aku_ramen
70,al3333265
71,al3jandro
72,alain2108
73,alaincapablanca
74,alainsp
75,alainvega
76,alain_morales
77,alaka
78,alanh42
79,alanrey75
80,alan_shore
81,alaynlch
82,albe-34ms
83,alberdani1228
84,albert020
85,albert215
86,albertacho
87,albertcuba
88,alberto3003
89,alberto4955
90,albertolaracordoves
91,albertrs64
92,albexl
93,albuerne
94,aldav82
95,aldeano9208
96,aldobaracco
97,ale94lko
98,alearuca
99,aledrik
100,aleiraronaj
101,alejandro201120
102,alejandro2390
103,alejandro79368
104,alejandrocrespo94
105,alejandrogiralt
106,alejo2107
107,alejogarcia1999
108,alejorenzzi
109,alekslevi
110,alena2485
111,alerios
112,alesiomoor
113,aleteacher
114,alevandezr
115,alex940514
116,alexander1978161
117,alexander244
118,alexandervarona
119,alexandervonhumbolt
120,alexb79
121,alexbuddylg
122,alexchesspan
123,alexdecuba
124,alexderrmd
125,alexfernandez33
126,alexi2475
127,alexleonov01
128,alexorio
129,alexpch
130,alexra87
131,alexxavier2304
132,alfa2654
133,alfceron
134,alfonsito73
135,alfonsoaznarez
136,alfre83
137,alfredohitco
138,alienpr84
139,alies8209
140,aljchess
141,alkano95
142,alnayer
143,alnongrata
144,alocubanoo
145,alonso-quijano
146,alpha931022
147,alphazerol
148,alrefo65
149,alzaola
150,amandarodriguezojeda
151,amauryamigos
152,ambh86
153,amejias1971
154,amick
155,amisa1994
156,amongus777
157,amonra80
158,amoreiramv
159,an3carrillo
160,anabdare
161,anceran
162,andoba
163,andresito1208
164,andresmsalcines
165,andrespeinado47
166,andrew1981cbtl
167,andrewfilstein
168,androanimal
169,andromedagitaristi
170,andrysdominguez
171,andy0509
172,andynocturno
173,anescolarde
174,angel944
175,angelgonzalez0412054
176,angellgc
177,angelluis86
178,angelopezmiguel2020
179,angelos37
180,angelz00
181,animal_150
182,anji354
183,annwar89
184,ann_vervain
185,anselm_lenz
186,ansleyrodriguez
187,anthony8535
188,anthony955
189,anunnakiking
190,apa840
191,apachecom91
192,aplanadoracuba
193,apusa
194,apy9
195,aqm3
196,aquetemetolasmanos
197,ar1h
198,aram19791979
199,arecar72
200,arekkusu9826
201,arelioguerra
202,arencibia
203,ariantraining
204,ariel3410
205,ariel4410
206,ariel7201
207,arielfidalgo
208,arielhr1987
209,ariellope
210,arielpd
211,arielrr94
212,arielsolano
213,arikanda61
214,aristides1610
215,arles07
216,armandolero
217,armandoramirezchess
218,armandponce
219,armay96
220,armesto68
221,arnaldotrujillo
222,arninioh
223,arocha27
224,aronquillo
225,aroque
226,arquitecto409
227,artolab
228,arturo20007
229,arturo_capablanca
230,artyparty22
231,asb28
232,aseniyen
233,asere11
234,aseroide
235,asillll
236,asmnow
237,asoycubano
238,at031257
239,ataktos
240,atila2013
241,atveiga
242,avega123
243,avl099
244,avocadoatlaw
245,ayeja153
246,b0lvarf0rdrag0n
247,bachichi
248,baconquere
249,baitiquiri
250,bakurrr
251,bapaclanca1927
252,barbarayd
253,bayamo
254,bayamo87
255,bayrakci
256,bbqcurry
257,beeeelake
258,bellatrix1946
259,bendice_tu_pueblo
260,benny2485
261,bennyblanco11
262,bequickordie
263,bercel
264,berkaaant
265,bernardhm
266,bestbuildpc
267,betterthanthal
268,bia0917
269,big_miche
270,bilbonfisher
271,bipoe
272,biscayne
273,bittorino
274,bjyaque60h
275,blackbeard_96
276,blackhorse17
277,blackstonext
278,blazonick
279,blopae30
280,blueking03
281,bolohs
282,boloniano
283,bombale
284,bonov13
285,borisespasqui
286,boronaxio
287,braverai
288,brayansan26
289,brayansitoh
290,brayita23
291,brenly1212
292,briandestrade
293,bryang1707
294,bubusito04
295,burnnet
296,c087
297,c4chev
298,cabreja2011
299,cabrera248
300,cachao
301,cachito2011
302,cadelgado
303,cadespaigne
304,caesar_castrum68
305,calbiat2015
306,cam0za
307,camargodaryen
308,campillo28
309,capa-blanca-tbe
310,capa2002
311,capa7-home_23
312,capabl4nca
313,capablack226
314,capablanc72
315,capablanca11191888
316,capablanca2127
317,capablanca818
318,capablancabaracoa
319,capablancass
320,capaborys
321,capadorada
322,capanegra28435
323,capanegra89
324,capanegra9090
325,caparubinstein
326,capasuave
327,capa_blanca_new_york
328,capa_white
329,captaindavyjones
330,captmycapt
331,carli02
332,carlitoelcapo
333,carlitos921206
334,carlos10k
335,carlos1234a
336,carlos2589
337,carlosa726
338,carlosdvm1
339,carloshabana
340,carlosledea
341,carlosmanuel1981
342,carlosr00
343,carlosraveloperez
344,carlosrochahernandez
345,carlostoledo
346,carlos_barrios
347,carmelodos
348,carmonwin
349,carrasc099
350,carrod_chess99
351,casablanca1973
352,castle41
353,catorceceronueve
354,cbn537
355,cbnpete
356,cccp1974
357,ccl029
358,cdaz1989
359,cdelanoval
360,cesar3423
361,cesar3661
362,cesareno
363,cesarrm1982
364,cgr67
365,cgtlikechess
366,cgwb
367,chaplay
368,charlinosaure
369,charliss86
370,checopoveda
371,chepy0
372,chesantra
373,chess4always
374,chess94cu
375,chesscapa89
376,chessil80
377,chessmaster23335
378,chessmatealex
379,chessninja202
380,chessontoastyeh
381,chessstud15
382,chesstycoughs229
383,chester12347
384,chevo
385,chezzdone
386,chicho08
387,chichoelcojo
388,chicoelier
389,chiki8
390,chino217
391,chizpa3o5
392,chriscasseroles
393,chrisjoel02
394,chucho74
395,chuchyx
396,churrplidat
397,chu_sabatier
398,cicely
399,cipumellaricas
400,cjcb02
401,cjoelht
402,claudiozelo
403,clou94
404,cmorellr
405,cnatalefilho
406,cobra233
407,cohiba25
408,compaysardina
409,comradeanand
410,condavmay
411,constelacioneta
412,constructivist
413,cooprik
414,cotrinhaeider
415,crackcubano
416,crash1988
417,craytreez
418,crazycubanhorse
419,cristhian_07
420,cristiangeb1
421,crlabrada10
422,crozilramos
423,cruyff98
424,cruz031
425,cruz19752
426,cu7ba7no7
427,cuba111
428,cuba34
429,cubaamaury
430,cuban10
431,cuban753
432,cubanboy2020
433,cubanchess
434,cubangrillo
435,cubanhabana
436,cubanisto
437,cubanito20
438,cubanjoker888
439,cubanlink13
440,cubano15
441,cubano4x4
442,cubansgambit
443,cubanwonder
444,cuban_r
445,cubarno
446,cucuso
447,cuddlyblack
448,cuervo_ingenuo
449,cuetoj25
450,cuidadingliren
451,curajorge
452,cusy
453,cyrd82
454,d4niel44
455,d4niel_44
456,daan981018
457,dairon-dj
458,dairon8912
459,daironpuig
460,dakalo31skydiver
461,damian_rr
462,dandarabilla
463,danetlily
464,dangerbuller
465,daniel85031678
466,danielhdhf
467,daniellpc
468,danielmondejar
469,danielmp123456789
470,danielmtv2
471,danielorenzo
472,danielrojas84
473,danny942
474,dannyboi4211
475,dannyo06
476,danuel23
477,dany_00001
478,dariel15
479,dariel98
480,darielelanimal
481,darien17
482,darlingkrq
483,darxonn
484,davian0reyes
485,david19920602
486,david8811
487,davide1312
488,davidlg84
489,davidlopez152
490,davidrt8412221
491,davidsoriac27065
492,davii96
493,davo_amj
494,dayan7310
495,dayl07
496,daytimeknight
497,dbrugal03
498,dcordova1987
499,ddmm110502
500,deanpm1994
501,decf
502,deimelperez
503,deivis721
504,dekadentus
505,delbatey2
506,delga29
507,delgadoduarte79
508,delpino1116
509,delsol74
510,demolitionrman
511,demonkiller02
512,dendi6
513,deneysilverio
514,denilson84
515,denis_cuba
516,dennisdd125
517,dennisolarfdez
518,des8912
519,devrank1
520,dex1081
521,dga17
522,dgaliano71
523,dgsgibara
524,diamondheadshot
525,dianeattack
526,diazraul
527,didanela
528,didolinhoo
529,diegobonet99
530,diehardcuban
531,die_criminal
532,dilanrcr260600
533,dinnzaa
534,diovis
535,ditty86
536,diuverchess
537,djbarrueco
538,dkdkh
539,dluaces
540,dmitriybor
541,docrigo95
542,dognepegu
543,donpana
544,donquijote7
545,don_frutos
546,dorgelis
547,dorquis1988
548,douglas021
549,douglasrudd
550,dr-labaen
551,dradrianc1983
552,drblasco
553,drernestocheguevara
554,drhansolo07
555,drian1981
556,dribel
557,drizzt0606
558,drmario98
559,drmariosanchez
560,droolenin
561,drr1986
562,dsm73
563,dunieski
564,dunigl
565,dunzu1
566,dylan052505525
567,dylanperez5
568,d_torres-11
569,e-man85
570,e3uchiha
571,ealmeida3308
572,earmando43
573,ebetaf
574,eblabrada
575,ecbdrums
576,echains2017
577,eddy1968
578,eddy3300
579,eddyla43
580,eddyrey
581,eddysbel
582,edel5
583,edelsalina
584,edhardy69
585,eduardo770118
586,eduardochess5
587,eduardoelporfiao
588,eduardohabana
589,eduardokkhq
590,eduardoroque95
591,edwardmulet
592,efe8612
593,efernaru
594,efraincompa
595,eguinosa
596,ehf70
597,eico77
598,ejconquer
599,elalbino09
600,elatacante
601,elbomba1
602,elcapanegra76
603,elceejay
604,elcojito1010
605,elcubano82
606,eldaro4ever
607,elder425
608,electricalangel
609,elfrentearseelbajo
610,elgatooo2004
611,elguiro2
612,elhilitorojo
613,elhoy
614,eliasisrael
615,elieldc
616,eliet78
617,elio951109
618,elitoperaza
619,eljuaco82
620,elk3rry
621,elmuslin2020
622,elnegroide
623,elpapa68
624,elpayasodios
625,elprofe1000
626,elrapido73
627,elsantero1276
628,elsantiagero
629,elsiciliano25
630,elt1gre
631,eltake2009
632,eltati91
633,eltititanke
634,eltuki
635,elyona80
636,elzorro13
637,el_memo
638,em4503
639,emiliocesar1950
640,emiliogarces
641,emilsata
642,emrys951
643,enekopou
644,enlighton27
645,enmanuelplc
646,enoy87
647,enriesc
648,enriquecr11
649,entrenamientoelitegm
650,enzidany
651,eosoria
652,epc2019
653,epgeroy
654,erbreck
655,erdo1871
656,ergyyji
657,erichkrausse
658,erickaos
659,ericleonardo
660,erico26
661,ericprimelleschess
662,eric_suarez
663,erlinsouteran
664,erneg
665,ernehestowin
666,ernesto-abreu
667,ernesto0277
668,ernesto0305
669,ernesto2315
670,ernestocampana
671,ernestomuniz
672,ernestosotelo26
673,er_yeti
674,esancheza
675,escaramujocubano
676,escobar2017
677,escorpion0122
678,esdrasportal18
679,estebanpoderes
680,estudiante2008
681,eth4n8lue
682,euler989
683,evanelys1976
684,evelezcelaa
685,evelio98
686,evelynechevarria
687,evertcuba
688,evilhaxor
689,ewis9264
690,ex_nogard
691,ezequie00
692,ezioauditore93
693,e_vazquez49
694,f1324
695,fabianbenitez
696,fabiancs0924
697,fabicuba20
698,fabio7339
699,faena67
700,famnexdo
701,faps1957
702,faradai
703,farahmaria
704,farfuelpedrolarra
705,faroukmador
706,fastplayyy
707,faustinofermin
708,fcabrerab
709,fcbg60
710,fcl84
711,fcodina
712,fdobonilla
713,fdzr
714,fefg16
715,felixxpaaoo
716,fenrircuba
717,fernando0098
718,fernucia
719,fesel10866
720,fettah3449
721,fiaxlux91
722,fidel985
723,fidelcastrobjj
724,fidellopez030710
725,figueroa23
726,filipljubic
727,finniger
728,firarar1989
729,fitu83
730,flaviopellerano
731,flyonlittlewing
732,fonse70
733,fonzie01
734,forteza0
735,fraballi
736,fraga8025
737,fran917
738,franclin78
739,francocuba
740,frangarciafernan
741,frank2015
742,frank231083
743,frank24niuka
744,frank405907ms
745,frank816
746,frankalvare
747,frankdany87
748,frankdelcayodev
749,franklin020
750,frankosorio1
751,frankstron12
752,frankvg02
753,freddy2015
754,freddypupo
755,fredisgeo
756,frojas96
757,frpp9512
758,fuego8803
759,fullzax
760,fumblingnotebook
761,funiman27
762,gabancho20
763,gabrieliml
764,gabs043
765,gabstudio
766,galenocubano
767,galimatechess
768,gama_casablanca
769,gambitodenemo
770,garini65
771,garmury
772,garofis
773,garry_9k
774,gasparov1604
775,gatoreater
776,gch2019
777,gdbc14
778,gdsram
779,gendrylopez
780,generousapple
781,gentianhoxha13
782,geometryd181
783,geraldderwaise
784,gerar23
785,gerardovp
786,gerardplcub
787,gey00
788,ghost0820
789,giancarlos2
790,gijoe95
791,gilbe183
792,gilles9999
793,gilmar75
794,giofromtheblock
795,giorpb77
796,glowingcircus
797,gmadrianomazon
798,gmjavier1510
799,gnzale86
800,golden_boy9808
801,gomez8907
802,gonzlez26148
803,gorgonia
