player_index,username
0,64diving64
1,7easymoneysniper7
2,adonis203
3,adrianmnc
4,ailtonferreira22
5,alexanderalvaneli
6,alexmerts
7,amadeu661
8,asap_t
9,barcelona86
10,bentleapfrog
11,bestiafabz
12,beterdanleison
13,blackblackhorse
14,bostony
15,boystwenty
16,bryangrf
17,callcaleb35
18,caluacos20
19,canceloruatraz
20,cbarbosa
21,cheikhtimon23
22,chesssurviv0r
23,chess_op_not
24,chrisclay7
25,chucuflaseo
26,cipriano1968
27,cld412
28,creolen
29,crisliba
30,damn_chess
31,danieuez
32,dapho
33,davidanes
34,david_semedo
35,daydass
36,derasoal21
37,deven4113
38,dipintom
39,djeny
40,domenicoreste
41,domincinco
42,drmannyfresh1
43,ederlinemendes
44,eketal
45,elisangelo
46,els751
47,elton1234567
48,emdm95
49,fefer
50,ffka99
51,filmen13
52,flaviol99
53,fogo523
54,g0dfury
55,gadalfchess
56,gaduka
57,gdring
58,gil_1979
59,gubassa
60,guiverde
61,handlysoares
62,heldermoniz1993
63,hell00rd
64,heyguys231
65,hsocosta
66,ialbertinov
67,idgaffml
68,iokadia
69,ivan_cv_22
70,jakimiak
71,jazeda
72,jerry-209
73,joaoagraca
74,joaoaugusto2020
75,johnsnowsss
76,john_hollywood
77,john_soares
78,jotaemeku
79,jrose1977
80,kanye98
81,karlo_lopes1
82,kauberdi
83,kna14
84,ledelgado
85,lexui
86,likelemons
87,lirium1
88,lmr73
89,loideg99
90,lopes_chess
91,losevora
92,lucasacul131
93,luigiglo
94,luispinacv
95,makyms
96,marcel360
97,marianokar
98,mario2123
99,mario_a_r_m
100,marpeta
101,mavfm
102,mesti2
103,mgrito
104,miguelamluis
105,mmotovun
106,mpgonzatto
107,mrwh1t3
108,muibiem
109,mycroft-h
110,nabadjinha
111,nemortis
112,nhukdns
113,nnmd
114,nuno94
115,odesseydekimola
116,ondeaddogz
117,papagula
118,peterq22
119,piter789
120,plato1771
121,pr793
122,praiaaaa
123,pudjy
124,rasgullaraja
125,reiiiiiii
126,ricardorr4
127,rijan93
128,rlm90
129,rocashye
130,romul01
131,royaltusk
132,rucafigueiredo
133,sandro078
134,santaantao
135,santi376
136,saovicente
137,sebastiaobarbosa
138,sewnapart
139,shashm
140,soareja
141,soniapoupou
142,strictosensu
143,super_lulu93
144,tanin_dra
145,tatarrr
146,tchiquito
147,thepuppet88
148,tiagoborginho
149,titsy8
150,tls33
151,tokone
152,tomasveigafernandes
153,tubesrivera
154,tunaypires
155,t_storm
156,vazland
157,verdiion
158,vhdcdc
159,vndolini
160,wacno1
161,wesboss145
162,winaldofonseca
163,winniewafer
164,wrewrewrewewr
165,wyktor
166,xalana
167,xertskhscv
168,xuate10
169,yvat
