player_index,username
0,09451551606
1,0samasaleh
2,101hp
3,123solon124
4,182christo41
5,1uniquesara
6,200iqpigman
7,228xx
8,2aferbulut
9,33gt
10,3bood289
11,3d_infinite_chess
12,3teker
13,57d5yyr5
14,76mu67
15,7alexandros
16,7m211
17,82john
18,8figures
19,92215
20,966799
21,a7494
22,a9342
23,aaargaka
24,aamatus
25,aap2000
26,aathan05
27,abdulrahman1981
28,abelrudolf
29,abigbluewave
30,abilovo
31,abkona
32,abrade
33,abrasivechess
34,achilles1975
35,acon48
36,adam01966
37,adam19722004
38,adamos00
39,adamos1948
40,adamosgiasemi
41,adandreou
42,adel7774
43,adg1417
44,aditheslayer
45,adjamas
46,aeikinitos
47,aelistas666
48,aelred717
49,aeras94
50,aerodyna
51,afarmakalidis
52,afratos
53,agapiou1124
54,agentleo1
55,aggelos55
56,aggelosm2
57,agiakorone
58,agnes08
59,aimilioskomodromos
60,aishasmirnova
61,ajaxuk
62,ajsteph
63,akaki1357
64,akalos10
65,akamas55
66,akis24
67,akozlova
68,aksenoffartem
69,akyuz949
70,alanfallen
71,alanv2019
72,aleksandrzh777
73,aleppogambit
74,aleshandrofn
75,alesia86
76,alex20123
77,alex7793
78,alex8474291
79,alexanderpetrossian
80,alexandersobolev
81,alexanderzadig
82,alexandra_me
83,alexandrina970
84,alexandro7852
85,alexandrosl73
86,alexandrosleontiade
87,alexangeli
88,alexblock
89,alexczardas
90,alexey0001
91,alexeyjerco
92,alexg84
93,alexioannides
94,alexis2107
95,alexisgmail31
96,alexismak1983
97,alexlappa
98,alexm004
99,alexmihael
100,alexpapcs
101,alexpol22
102,alexpoly1992
103,alextelfer03
104,alexthepro1
105,alextherabbit
106,alexvio51
107,alexvpo
108,alex_mad_doc
109,alex_vrahas
110,aliabdelbar
111,alicorvette
112,alienpsr
113,aliki2005
114,alipau
115,alishefik
116,alizavras
117,alkarasta24
118,almatsas
119,almis90
120,almost-human42
121,alodrt
122,alowishus_mud
123,alpatai
124,alpgalip
125,alpsoz
126,altheo24
127,amannamedody
128,aminnik98
129,amiralhaidar
130,amirpurya
131,amor1880
132,anastasia1701
133,anastasios9
134,anastasioskondo
135,and19chessmaths
136,andios19
137,andk007
138,andmedd
139,andrealexandrou_1105
140,andreas1294
141,andreas1x
142,andreasach
143,andreasanastasiades
144,andreasbrother
145,andreascy90
146,andreaseconomou1
147,andreasex3
148,andreasgeorgioy
149,andreasgirillas
150,andreasironman
151,andreask1982
152,andreaskalogeridis
153,andreaskon25
154,andreasleventis77
155,andreaslimassol
156,andreasmc1
157,andreasmeli
158,andreaspanteli
159,andreaspapatheod
160,andreasparissis10
161,andreasproo
162,andreassarkas
163,andreasstr
164,andreasstyl
165,andreaszaloumis
166,andreas_chr
167,andreas_spontas
168,andreazm89
169,andrejlahucky
170,andrewpervolia
171,andriap26
172,andrikmystic
173,andriouki
174,andros1960papadopoul
175,andros7
176,androutsos1821
177,andy1352
178,andykooper
179,andyoly
180,andys25
181,andysandreou
182,andyssko
183,angelamarshall
184,angelila
185,angelos82
186,angelosfrantzias
187,angelosneofytou
188,angiemd
189,anick1711
190,ankas17
191,annach00
192,annnieka
193,anonymously_3checked
194,ant93y93
195,anteach
196,antekrobinski
197,anthimos21
198,antit8
199,anto446
200,antonboy69
201,antonia910
202,antoniachry
203,antonialuna
204,antonio1c
205,antonis562
206,antonis683
207,antonis7777
208,antonis80
209,antonisantypas80
210,antonisevangelides
211,antonisfedonos
212,antonismagg
213,antonissty
214,antreas01
215,antreas861
216,antreaskividiotis
217,antreasmastergr
218,antreassss
219,antreatof2
220,antrikkos576
221,antroseco
222,antwnisandreou
223,apcychess
224,apoel12399
225,apoel1981
226,apoelapoel
227,apoellistas
228,apollo0908
229,apoyias
230,ar2rka
231,arambag
232,archiea3
233,ardahan18
234,ardiale
235,argyrou47
236,arhtropod
237,ariadnabutler
238,arinu11
239,arishadj
240,armandpops
241,armenastu
242,arowana3
243,arshin161
244,artenap99
245,arthur_cyprus
246,artoulla
247,artouros29
248,artyisaev10
249,arxidoskaki
250,arxontas198
251,asassin035
252,asdros
253,asgoodasitgetss
254,ash171717
255,askoupistos
256,assiotis
257,asterixxxl777
258,asximoula
259,athensts
260,athosp93
261,auchy102
262,avazen
263,avraammarios
264,awakeangel
265,awoh-desire
266,axdyadxd
267,axilleas85
268,axniotis
269,axristonstoskaki
270,ayeros
271,ayiomami
272,aysegulll
273,aytacogluu
274,azdroppy
275,b-r-e-a-d
276,b0gatyr
277,babybaws
278,badbishop_
279,badstoniths
280,baghodler
281,baglamanos
282,bagzi16
283,bakedbeansontoast
284,baldy
285,balorhino47
286,barbaalexis
287,barbagianis
288,barcael
289,barkin390
290,barridas
291,barsikboris
292,bartubbb
293,batchpack
294,batilio
295,batman881
296,bayesian
297,bbbonthemoon
298,bbec
299,bboyhyper
300,beamerboyx
301,behind-enemy-minds
302,ben0629
303,ben7374
304,benedictvas
305,beniou96
306,bepidopaido
307,berkedagli
308,besimogelman
309,bestcy
310,bethaaa
