player_index,username
0,-blunderer-
1,00000_unknow
2,001tomina
3,007-lab
4,007filip
5,007jst007
6,01injiko
7,01ivie
8,01kratsakrij
9,068blak
10,07vojta_xd
11,0babayaga0
12,0hikagemono0
13,0hyzdiik
14,0ii0iii00ii0iiii
15,0justdave0
16,0k074
17,0lie
18,0nums
19,0petr0
20,0uty
21,100pidi
22,10jjokocha44
23,11fl
24,121pepa
25,12344321miky
26,1234pepino1234
27,123sak
28,123sisoj_wong
29,123toberdajenej
30,123vondrasek
31,12alex3
32,12urbanek
33,131897
34,13penguin
35,15zafr
36,17freak17
37,18032009
38,18yoft
39,1950jan
40,195145
41,1993cz
42,19covitek
43,19honza82
44,19martin65
45,19michal65
46,1adel1
47,1amn0tm3
48,1bonga
49,1breta
50,1d376
51,1dartanyan1
52,1jb0
53,1karelpittner31
54,1lachout
55,1lobotony
56,1ludra
57,1mejla1
58,1misah1
59,1q2w3e4r5t6z7u8i
60,1rowk1
61,1sangreal
62,1shuriken
63,1vaibhav11
64,1wilczer
65,1yon
66,1_79769e308
67,2020d2020d
68,2021tm
69,20carolina
70,20cooler1
71,20sk
72,21arashid12
73,22w22
74,23saska30
75,24shadesofrainbow
76,2anek2
77,2dicoppe
78,2mware
79,2octs
80,2s2b
81,333m33
82,333ok
83,337roman
84,33tyler22
85,360intoyourbish
86,36martin36
87,3blundersagain
88,3gsman
89,3head_lol
90,3kekr34
91,3kubeee
92,3pieceofmind
93,3point14159265lol
94,3radek
95,3to2
96,42069l9
97,420bigbraintime
98,42o69
99,436012
100,444hans444
101,489489
102,4ansg
103,4bielesz7
104,4nigreto
105,4nkor
106,4oooooooooo3
107,4sj6953
108,4vto
109,52milan
110,56zhuil
111,5k1py
112,5kews5
113,5lyft
114,5yn3r6y
115,64chessprodigy
116,64hk
117,666jhc
118,666moresixsixsix
119,66andrew
120,66petr66
121,69joy69
122,69tomchess
123,69_w_ur_mom
124,6hemenex9
125,6smithson
126,702177
127,73michal
128,74jp
129,7549vamoz
130,77white
131,79petr
132,7jurri7
133,7thmoveadventist
134,7wgapl
135,800b
136,86603850chess
137,8and
138,8iris8
139,8krystof
140,8roman5
141,8stuart8
142,911donnie
143,95sectum
144,95_martin
145,97karel
146,97suchy97
147,9999head
148,9ignacius9
149,a-g-i
150,a0a0
151,a1rbus
152,a78b2
153,aa0929
154,aaa528
155,aaasss73
156,aaaxxxaa
157,aachoo1
158,aacsungee
159,aadent
160,aadko
161,aalleesskk
162,aalphabert
163,aamx
164,aangeleri
165,aatoubar
166,ab1t
167,abatyse05
168,abb24
169,abc992
170,abdejong
171,abdyrahman_a
172,abeille55
173,abesting
174,abhajo
175,abhivinz006
176,abii44
177,abinsurn
178,abkarel
179,abkarjam
180,abnormalshow
181,aboshahine
182,abritron
183,abrosam
184,abryn108
185,absolute_wolf
186,absolutni_loupak
187,absolut_chess_pleb
188,absonmh
189,abstemious
190,abuk215
191,abysspidaras
192,acask
193,accutol
194,acekremel
195,acerinoooo
196,aceruf
197,acetroll5488
