player_index,username
0,0-0_de
1,0000lks
2,00037p
3,000alb
4,000ttt000
5,0012345a
6,007-bombastic
7,007chan
8,007eddy007
9,007firo
10,007giacomog
11,007himself
12,007hulk
13,0093kabul
14,00ari00
15,00atticus00
16,00helmut
17,00marcella
18,00martini00
19,00nic00
20,00r00
21,00schneider86
22,00schwachmatt
23,00sieben
24,00sizov00
25,00snyder
26,00tommes
27,01001010_01001000
28,0100110101
29,010121abc
30,0105siena
31,01123581321345589b
32,01608508494
33,01chaser
34,01david234
35,01eli10
36,01escanor
37,01lasse
38,01leoni
39,01root
40,01thomas
41,01thomas-koeln
42,01weber
43,0211pog
44,024odec
45,02conrath25
46,02mkhskekw
47,02sweezer
48,02willi
49,0302104
50,030amir
51,030jimmy
52,030leon030
53,030max
54,030rafa
55,0315c
56,03detlef47
57,03kvn
58,03revilo
59,03supra
60,03tuan
61,04532281465
62,04donni
63,06-gitbila-06
64,069banger
65,069fabian
66,0710jonas
67,0712milan
68,079163662tf
69,07k0
70,0815anja
71,0815anna
72,0815gery
73,0815hero
74,0815lauch
75,0815nilser
76,0815papa
77,0815pete
78,085zehn
79,090143hf
80,09338235424
81,09timmy
82,09tremonia
83,0aliced
84,0anastasia00
85,0arashi0
86,0arknife
87,0b00001111
88,0bamagaming
89,0benjy0
90,0benni
91,0carion142
92,0d0f
93,0darkx
94,0dinssohn
95,0dora0
96,0dp0
97,0drhouse0
98,0eight9
99,0elia0
100,0erer
101,0etziyi
102,0faisal
103,0fu
104,0grinzold0
105,0hermes
106,0hj
107,0hno0o
108,0iq_dav1d
109,0iseau
110,0jl
111,0kasparov0
112,0l-s-d0
113,0lance5
114,0lec
115,0ledaniel
116,0leee
117,0lingling00
118,0llum
119,0lnr1
120,0log0
121,0lui0
122,0m7a1x1
123,0madmax0
124,0magnuscarlsen0
125,0n3x3
126,0n3_bit
127,0neox
128,0nerr0r
129,0netr1c4
130,0netrickpony
131,0ogvvay
132,0padiddi
133,0pascal0
134,0pillsrattling0
135,0range8
136,0rangensa4t
137,0rangetree
138,0rantanplan0
139,0robas
140,0rose0
141,0rpan
142,0rtolan
143,0scarbrain
144,0skarie
145,0teayo
146,0ti0815
147,0ttonormal
148,0tze
149,0tzkar
150,0uti5
151,0v22
152,0verkiii
153,0verninethousand
154,0wildunicorn0
155,0x008
156,0x21h
157,0x4dark
158,0xaozora
159,0xford
160,0xnikodemus
161,0xruffy
162,0xsven
163,0zerocool0
164,0zuhan
165,0_moma_0
166,0_signal
167,100-rating
168,1000ttst
169,100beth_harmon100
170,100clown
171,100percent04
172,100tincognito
173,100tomi
174,100wasser
175,101010oxo
176,1012richard
177,1040junk
178,10andy59
179,10brainloading
180,10e43
181,10m2
182,10mtsn
183,10nament
184,10nnessee
185,10quaki10
186,10robbery7
187,10tonnen
188,10vorne
189,10zehen
190,10zentner
191,1110fabi
192,1111111111llllllllll
193,1111mahe
194,111317
195,111schneewittchen
196,1125x
197,112jr
198,117mel
199,117michel
200,1193406sbs3099
201,119ro
202,11ajay11d
203,11alimo11
204,11inchgod
205,11jake
206,11kongo
207,11mer11
208,11nils11
209,11supermario11
210,11_delphie_11
211,11_nikita
212,12011969
213,120191
214,1204chris
215,1204dave
216,1208md
217,1220leon
218,1223334444abv
219,123123sad
220,1234567689
221,12345678987654321ja
222,123456789li
223,12345fix
224,12345fra
225,1234katz
226,123967j
227,123amine
228,123domdomdom321
229,123dumble
230,123ex6t
231,123fereshteh
232,123fouryournomore
233,123hw
234,123ilai
235,123kapp
236,123kar78
237,123kartoffelbrei1
238,123koller
239,123lkn
240,123philipp
241,123richy
242,123rochade
243,123sahja
244,123thilo
245,123vegtables
246,1280ray
247,128emmaaa
248,128moves
249,1297padawan
250,129dan
251,12dann4
252,12ekk
253,12mohsen12
254,12yoshi21
255,1312marco
256,131313130
257,1328chris
258,13370n00b
259,1337bodo
260,1337cookie
261,1337dhg
262,1337dude
263,1337flexus
264,1337gamerguy
265,1337stylerrrrrrrrr
266,1345346788jasmin
267,1357908642er
268,135theseus
269,136zero
270,137julez
271,137olederdelfin
272,13alex08
273,13chrissi09
274,13hts
275,13igor
276,13jan13
277,13jannik37
278,13lilalou12
279,13lucke
280,13parker
281,13redrum12
282,13swordsofroundtable
283,13tekrieger
284,1401mn19
285,1410andre1410
286,141d6a0
287,142er
288,144bjs
289,147jan
290,1499anna
291,14amelie
292,14h
293,14mika
294,14mv364n
295,1504micha
296,1522a
297,154medika
298,15501
299,157katakuri
300,15more
301,15ruka20
302,160299
303,160789fischer
304,160swiftly
305,161acab1312
306,16373
307,163split
308,16mamont
309,16menscharmee
310,16micha
311,16sebaaa
312,16u
313,16_deaths
314,1710misterd
315,17777a
316,17anna
317,17b7
318,17blackmagic
319,17ginger17
320,17maria
321,17_timo_17
322,180er
323,182461b
324,1860_harry
325,1874eva187
326,187beat
327,187bigcock
328,187einlebenlang
329,187ers
330,187escobar
331,187gang187gang
332,187hurensohn187
333,187istdiegang
334,187istking
335,187karpfenbande
336,187love
337,187maggi
338,187phil
339,1887er
340,1893
341,1895chess
342,18anthony88
343,18chr1st1an09
344,18michi60
345,18otw
346,19-stv-91
347,1907zico
348,1907_can
349,1919sevinush
350,1934leonid
351,1945m
352,1953_werner
353,195kannmannet
354,1964carlos
355,1966chess
356,1967tomtulpe
357,1973pinball
358,1982christian
359,1984georgeorwell
360,1986alex
361,19900815
362,1990dilfhunter
363,1995papalilu2000
364,1998kevin1998
365,1998niklas
366,19apl69
367,19bb-janer72
368,19benne84
369,19berndgerlach66
370,19chris90
371,19christoph96
372,19coco93a
373,19eitsch53
374,19galadriel51
375,19hnzptr20
376,19jeaeold1
377,19john91
378,19matthias72
379,19meistersplinter03
380,19mon88
381,19ngxuan
382,19octavia88
383,19panda1989
384,19paste
385,19paul63
386,19phillip95
387,19q84
388,19rainer68
389,19rak69
390,19ramon87
391,19rick
392,19roman78
393,19sebastian91
394,19snoopy77
395,19stefano91
396,19tom99
397,19tomba68
398,1adrian2
399,1ahmed77
400,1aki1
401,1aldin
402,1alex1m1
403,1and0nlyjp
404,1and1makes3quickmath
405,1anton7
406,1arti
407,1b38
408,1bderechte
409,1bigbenoit
410,1burger
411,1c0ntract
412,1c1r
413,1cetee
414,1chessejames2
415,1chessplayer0815
416,1chthyostega
417,1crossi
418,1cyd3v1l
419,1c_s
420,1dackl7
421,1damn3
422,1deler
423,1densch1
424,1dickenhuhn
425,1e42e5
426,1ei4zigaretten
427,1eking
428,1engist
429,1erboy
430,1erwin1
431,1evers
432,1f7bvd
433,1fachbessa
