player_index,username
0,-lange-
1,-toke-
2,00363
3,003h
4,00kkh00
5,00pultz
6,00skibsted
7,00sten
8,0202peth
9,03nipo
10,0412421353
11,0cent
12,0erekle0
13,0rlac
14,0rlactic
15,0rtoft40
16,0wlskar
17,10000t
18,100roses
19,1010ferry
20,101lmfa0
21,10kgcod
22,10tusind
23,1112410925
24,1137aplha
25,122fps
26,123098765
27,1233332225687539ppp
28,123bux
29,123ching123
30,123nor
31,123seconds
32,12banana
33,12latebread12
34,12yearsapawn
35,1337dk
36,133dk
37,13cris
38,13kaas31
39,14wolf
40,1555skak
41,1773v
42,1919andreas
43,1978thunderball
44,1994herman
45,1994toby
46,19953
47,19arki60
48,1bibliotekar
49,1d4bludgeoning
50,1dollarstack
51,1emanuel
52,1grabau
53,1hejsa1
54,1hhh
55,1karstenjensen2
56,1lasse1
57,1moak1
58,1mr_bojangles1
59,1ob1
60,1polo1
61,1redeye1
62,1ry1n
63,1sergejprotsenko2
64,1stquiz
65,1v1brormand
66,1_noahw
67,2000frb
68,2006viktor
69,200krstandard
70,2012jv
71,211161
72,21dinorex
73,2200ahj
74,2200sw87
75,2375
76,23dragons
77,23tobiase
78,2500benja
79,2581
80,270547
81,2bishopsvatelse
82,2bkrit
83,2goffice
84,2kemon
85,2mstolpe
86,2pac_gl
87,2shy2play
88,2virgil
89,30avash
90,321skakmat
91,321tja123
92,333sab
93,342wfdvwfd
94,360bishopyabish
95,3areaffsafjnkjnknk
96,3a_signe
97,3danton
98,3sandersson
99,3werck
100,41129
101,420butter
102,420chessyourmom
103,420ricepaper
104,43birte19
105,45k3
106,47denmark
107,47p19
108,4cashosten
109,4nt0n560
110,4o4_notfound
111,500iqkekw
112,51speedy
113,5500fbk
114,57iq
115,5empates
116,5headg4mer
117,610jens073
118,6333_2
119,64tim64
120,6500uldal
121,653726o
122,65mathias
123,66cestmoi
124,6760farup
125,68hk
126,69storm
127,8115
128,84ghutu
129,888warboys
130,9-q-lai
131,935303kr
132,96anders
133,96jonas96
134,96mark10
135,999mikkel
136,9colas99
137,9lasssss
138,9ls
139,9m02
140,9n3530ah3akr
141,9nazgul
142,9xs
143,a-l-o
144,a-vind
145,a05sysp
146,a3llo
147,a733737
148,a811
149,aa32
150,aabjerg00
151,aabysss
152,aadmv
153,aaen9
154,aagaard89
155,aagaard91
156,aagesigurd8
157,aagreen67
158,aahil04
159,aaj_88
160,aakob
161,aakos
162,aalborf
163,aamarmajeed
164,aamoney1
165,aandehesten
166,aandresson
167,aaor1912
168,aarhus11
169,aarlington
170,aaronabainza
171,aasasd728235
172,aaskov
173,aasrk
174,aat24bhy
175,aaurlov
176,ab-i
177,ab00ham
178,ab2258
179,abalslev
180,abalslev1
181,abananna
182,abananna2515464
183,abbativoli
184,abbzza
185,abdi1smail
186,abdigedi
187,abdisalam22
188,abdiyusuf2880
189,abdizaman
190,abdujafi
191,abdul2046
192,abdulhamid1234
193,abdulsulestropper
194,abe05e
195,abedard
196,abekrampe
197,abel99
198,abemad123
199,abemand93
200,abersej
201,abersejereenddig
202,abi-smj
203,abildgs
204,abisha91
205,abitsch
206,ableskewer
207,abmalag
208,abmannov
209,abnn
210,abnormaljoke
211,abnormalline
212,abodh1997
213,aboel
214,abrakadbra0
215,abralexis
216,abrasim
217,abruzz
218,abs3000
219,absl
220,absolutebeginner45
221,absq
222,abssprot
223,abstrakten
224,absudab
225,abtosse
226,abuabdu
227,abufox
228,abujafi
229,accessibilityguru
230,acd0106
231,acecph
232,aceinsl33ve
233,acelik1
234,acelivion
235,acenda
236,ace_ghost
237,acf76
238,acgd
239,ach49
240,achilleus24
241,achiraaz
242,acidbucket
243,acijub
244,aclausager
245,acol42
246,acomdk
247,across_thesea
248,actana
249,actualwizrd
250,actual_miley_cyrus
251,adaabrutyte
252,adalgas
253,adam67
254,adamauken
255,adambioue
256,adambistrup
257,adambn97
258,adambtw
259,adamclasen
260,adamdanyx
261,adamez
262,adamfeldt
263,adamflou1
264,adamfogarasi93
265,adamhenriksen
266,adamjespersen
267,adamliorf
268,adampittard
269,adamzkii
270,adam_haupthansen
271,adaonorgant
272,adaptnow
273,adarshchaudhary-3a
274,adelnobleza
275,adennxd
276,adesh46
277,adilmaroc10
278,adion
279,adismadi
280,adk51
281,adkons
282,admiral_ackbar123
283,adn2409
284,adnan0265
285,adonisgoes1337
286,adpllana
287,adri1626
288,adrianaolsen
289,adrianbrochner
290,adrianconstantind
291,adriandoranson
292,adriandwor
293,adrianexp
294,adrianiaros
295,adridas1
296,adridu2200
297,adrtinf
298,ads2612
299,adsbol
300,adsersen
301,advantage123
302,ad_libitum93
303,aeblefisk
304,aed_snegle
305,aegamer21
306,aegrath
307,aelleby
308,aeneas91234
309,aengdal
310,aettrup
311,afan3400
312,afanger
313,afeilberg
314,aff-26
315,affaldsskak
