player_index,username
0,aempapinian
1,arian9384
2,benaglia
3,ccg-kaneki
4,chess4chess4all
5,chessmastermind0987
6,climberjack
7,craignesty
8,dakubuli
9,danieldominica
10,danphil1
11,davidericviktor
12,dialga_steel_pokemon
13,diewdied
14,dilllweed1
15,donpierre38
16,dragonfly73
17,emperorscastle
18,fritos05
19,grzessy
20,haxey
21,houdinus
22,hubertlawrence
23,initial_commit
24,irv1669
25,isaacjames94
26,islandyute82
27,jaylevi
28,joesmo8090
29,kalinago_warrior
30,kingofdiamonds7
31,lapin9
32,lopokd
33,maximlamoureux
34,murmur3000
35,nassief10
36,nickp273
37,niyi_t
38,open_ayez
39,patroclum
40,pepullpower
41,plop20
42,romelrxl
43,saltfish69
44,sativa1995
45,shaziyaamir
46,stingmaster
47,stokeleygoulbourne
48,theshepherd3
49,tillshish
50,vovka2015
51,willzy3000
52,yhanwilliams
53,zakphilbert
