player_index,username
0,0tt029
1,0wlface
2,10thsymph
3,123mixan
4,12stuljev
5,161803398875
6,17tuuleke
7,1aeg
8,1levelanissimov
9,1mobiado
10,1n0b0dy
11,1nhal1
12,1_one
13,21rz
14,21utart
15,2405dq
16,291113
17,299482
18,2jhin
19,30alext
20,30_tons
21,360skeet
22,372r
23,39m
24,3mpack
25,3ndorph
26,3tched
27,420mg00
28,4elllll
29,4everenever
30,4ndl
31,4ndrain
32,4ndrya
33,4upakabra
34,58036752
35,5tarman
36,6aroque
37,6bscts
38,6m0n3y
39,88eighty88
40,8lisil8
41,a25126723
42,a720863z
43,a7yonov
44,aadu1965
45,aamallis
46,aaporeit
47,aarezz
48,aarneal
49,aarnekos
50,aaron2581
51,aaronlevin
52,aaronrajandu
53,aavo12
54,abelmadis
55,abhisal
56,abodo12
57,abrathamist
58,abrazura
59,acatwithdots
60,aceraces
61,acewhopper
62,acidgriffin
63,adalat6511
64,adamnieman
65,adeele00
66,adi7353
67,adi_segasumasuvila
68,adler72
69,adnsrz
70,adolphhipster1
71,ae23f
72,ae86isntagoodcar
73,aet1812
74,aetlahe
75,affraisk
76,agekas
77,agent881
78,agnesheinaste
79,agnesrohtsalu
80,agnetaireen
81,agnuslaane
82,ago2019
83,agukall
84,aheinaste
85,ahoh756
86,ahoois
87,ahti8
88,ahv88
89,ahvid
90,aigar
91,aigarbrunfeldt
92,aikaavik
93,aiku7
94,aikule
95,aikurja
96,aimthebestofthebest
97,ain0868
98,ainbalder
99,ainnissimo
100,aints22
101,aiois
102,airplayly
103,aivar1981
104,aivaraivar
105,aivarannamaa
106,aivarmets
107,aivarpullerits
108,aivo1
109,aivoar
110,aivok6
111,ajaraisk
112,ajaviide
113,ajieksei
114,ajumees
115,ajupea
116,akidis123
117,aktsiis
118,akumu_jjj
119,akusaag
120,alakatariel
121,alamaat
122,alandshu
123,alariadamson
124,alariois
125,alatyshev
126,albinarousell
127,alegtz14
128,aleksa9505
129,aleksanderalemaa
130,aleksanderkaju
131,aleksandr030
132,aleksandr252
133,aleksandrapuks
134,aleksandrkorotkov62
135,aleksandr_amelkin
136,alekseialeskin
137,alekseikart
138,alekseipronin
139,aleksey_l
140,aleksow
141,alekspt
142,alexanderlinnamagi
143,alexkuningas
144,alexm996
145,alexpaugus
146,alexrusyi
147,alexsaars
148,aleyrizvi
149,alferdd
150,alg0r1thm
151,algisauman
152,algorithm_test
153,alice0621
154,aligned7777
155,alisalexa
156,alisaman4444
157,alissafil
158,alkan373
159,allamihhailova
160,allan1111
161,allankaldoja
162,allanluup
163,allan_grandmaster
164,allar146
165,allaree
166,allmsc
167,allroad2002
168,alltooshabby
169,allveelaevnik
170,allythenoodle
171,alohatere
172,aloisrosenstock
173,alpha_pegasi
174,aluntasn
175,alvalai
176,alvarezbi
177,alver1
178,alvor444
179,alyster00
180,amarok90
181,amateur101l
182,ambalik
183,ameliearula
184,amidka
185,amiliania
186,amisco
187,amiwinningyet
188,amnesia1993
189,amuuga
190,anaquine
191,anastasi001
192,anastassiashvedova
193,ancid
194,anderhinn
195,andersvugt
196,andhi8
197,andi19861
198,ando1980
199,andoreso
200,andotuul
201,andr80
202,andre536
203,andreas187
204,andreas992
205,andreasest
206,andreasleemet
207,andreaspog
208,andreelep
209,andreidanilov
210,andreiigorovs
211,andreitallinn
212,andrekoppel
213,andres014
214,andres39416
215,andres555555
216,andresc23
217,andresluhamaa
218,andresmaemets
219,andresmartin001
220,andre_paes
221,andrisimo
222,andristaal
223,andro111
224,androtamm
225,andrusandip
226,andrusandritski
227,andrusp
228,andry1337
229,andry42
230,anduest
231,andvari7
232,and_rez
233,anetepukk
234,angrybuddho
235,anita7000
236,ann457
237,annakit10
238,anneliis
239,annelio
240,annhiiemaa
241,annisinijarv
242,annukas123
243,anon18335573
244,anothernymph
245,ansu
246,antagonistx
247,antibura
248,antidima2018
249,antiglicertin
250,anton2020m
251,antonkruglov
252,antonlarin
253,antonshtunder
254,antoonius1
255,ants11
256,ants50
257,antsav94
258,antsj
259,antskala1
260,antz-j
261,anupall
262,anuran44
263,anxiousowl
264,ap1
265,apelsiin
266,appleman39
267,aquaelements4
268,aramsis
269,archebalto
270,arcticvox
271,ardipoiss
272,ardupardu
273,argo119
274,argo80
275,argochess
276,argom937
277,argosf12
278,arhrx10
279,arimees
280,arks18
281,arlut12
282,arneom
283,arni79
284,aronmust
285,aroooz
286,arroman420
287,arseniglobenko
288,arseny131
289,arsta
290,art9818
291,artemtam
292,artik888
293,artivin
294,artjom2016
295,artjom8888
296,artjombergus
297,artjomrattik
298,artki4
299,artotonnis
300,artrajalakas
301,artspro
302,artun109
303,artur215
304,arturingar
305,arturio13rus
306,arturkrblane
307,arturport798
308,arturrr15
309,arx805
310,arynt39
311,asdaa
312,asdoiuk
313,aslik95
314,asm777
315,aspirin17
316,asqopip
317,asquare1
318,asteotasku
319,asuboic
320,asxualpirate
321,at1322
322,atamm
323,athos74
324,atlant1k
325,atnav
326,atrvo
327,ats8
328,atse74
329,atspihkva
330,attikuss
331,attractivep
332,augustkarnau
333,augustus124
334,aura1000
335,auraara
336,aurum_tilia
337,auruvedur
338,aus6na
339,autismhaver69
340,automaticravioli
341,autotunednig
342,avitssen
343,avomulder
344,awolnationt
345,ayushplaychess
346,azurasheep
347,a_lillepuu
348,a_n_d-r_e_i
349,baivarr
350,bakinskey
351,baldurans
352,balticqueen
353,bambambiim
354,bamchuk
355,basegames
356,baya8
357,baza1964
358,bazookahhh
359,bazzinsky
360,bbris
361,beaniew
362,beankiller7
363,beanwins
364,becauselessness
365,beduiin
366,beernutsz
367,beetrootdoot
368,behraadmoeini
369,beinch
370,bel0ff
371,beljo91
372,bellarius
373,bendroflumethia
374,benzedec
375,berduke
376,berjosha
377,berlik2
378,bes1y
379,besynnerlig8
380,betarelease
381,betiei
382,bettercallmaxi
383,bigbrainrich
384,bigchief44
385,bigchocobrains
386,bigdicnurmik
387,bigheadsmallbrain1
388,bigman127
389,bigwins123smartobama
390,big_man_shaz
391,biitnik
392,bilbu
393,billerille
394,billy-hill
395,billymedison
396,bioloog
397,bipigon
398,birchkite
399,bishoy12
400,bizdec
401,blind0zero
402,blinusk
403,bloodwinter
404,bloomingbridges
405,bloxan
406,bloxing
407,bloxly
408,bloxny
409,bloxster
410,blueisgamingagain
411,bluesmell
412,blunderkid90
413,bocca777
414,bohoo0
415,bohoo55
416,bongclownmaster
417,bongmasterflash
418,bonobo313
419,bonxy
420,boomerremover420
421,boop1boop2boop3
422,borboss366
423,borissov187er
424,borkmann1
425,born84
426,borony1
427,bossplaya187
428,botoledmees
429,bottom500
430,boussman
431,braien
432,bralaiva
433,bravostars
434,brianpagan
435,bribbiton
436,brigitep
437,brilliantemotion
438,britaaaa
439,brokemyleg
440,brujolirico
441,btc20k
442,bubbleeee
443,buben420
444,buf1k
445,bugger007
446,bugrishka
447,bumerrrang
448,bumkenboy
449,bungakat
450,bupthechesser
451,buqsy
452,burnthedude
453,bushmanov
454,bwaru
455,bwhe
456,byssi
457,c3kos
458,c9nevyr
459,caballucos
460,cademad
461,calfplays
462,calmira
463,calvados1
464,candleyt
465,canibus555
466,cappa_magna
467,captaindeadhead
468,captncarter
469,cardsonthetable
470,carl-kasparpuhm
471,carla48
472,carlk7
473,carloskleimann
474,carloz404
475,carmenwang
476,carrrrrrrrr
477,caspar135
478,caspartma
479,cassius8
480,casualkarl
481,casualnovice
482,catloop
483,catthedog420
484,cazzzu
485,ccdefilou
486,ccmarty
487,ccorrnerr
488,ccubero123
489,cdenji
490,cesarzeppini
491,chaisas
492,chambbert
493,chameleon64
494,chameleoniasa
495,changy81
496,chaplin
497,chatdogy
498,chelik17
499,chernijpidoras
500,chessboad
501,chessfokingmaster
502,chessionaire
503,chessitaja
504,chesslamb10
505,chessmasterx007
506,chessplayer13245
507,chessproyo
508,chess_player_est
509,chess_rubin
510,chewk0k
511,chicaloca17
512,chiipsjevna
513,chillisnack
514,chimkem
515,chl676
516,chmaestro99
517,chokomeister
518,chplet
519,chrisjes
520,chuddief
521,chuksi
522,ch_nikita
523,citizenofmars
524,citydwellerxyz
525,claudevanbethoven
526,closk
527,cloudysponge253
528,cobalusik
529,coffinnail79
530,cohfe
531,coldhawk342
532,colect
533,concentrate2
534,confidentvase
535,congre111
536,conny3
537,cosmodisk
538,courthousegreen
539,cphrmky0
540,cpt_sla
541,crack888
542,crimsonest
543,crisu10
544,crjakobson
545,croftik
546,croissantist
547,crooklevel1
548,crystalblak
549,csneaky
550,culebra69
