player_index,username
0,abeymo
1,abraka123
2,afroalem
3,agentbrass
4,ahablives
5,ahailu
6,aldotami
7,alsahar2222
8,amara80
9,asfar123
10,atlas5683
11,babuto
12,bealfan
13,beginnerchess17
14,bifbuf
15,bobbyfisher1973
16,chessmantoo
17,chessrichter
18,comer20
19,daudj
20,desert_fox96
21,dikzak
22,eastafricansniper
23,echecsnoirs
24,fatcat6367
25,fishbereket
26,flexmasterchess0
27,galapadinga
28,gghhh3004bhb
29,henok52
30,hurggy
31,hurricane15
32,ibrish-m
33,interestante
34,isaako7
35,isy76
36,jannyz
37,jbahta121
38,jewlia12
39,jonsum22
40,jvilpino
41,kant_love
42,kekinhos
43,kemooo05
44,khalidbutcher
45,knightedguru
46,laphenzo
47,libelam
48,limiterremoved
49,liteskinjawn
50,loverboy2017
51,mahmoudfuad
52,malaxy9
53,max_imumoccupancy
54,mcg71
55,mebriechass14
56,mednaji8080
57,melisa129
58,mgherezghier
59,micodare
60,millionabiyoto
61,mohamed-eri
62,mrrobert1234567890
63,mr_munni
64,mt139
65,mussa_eh
66,nanuk1
67,negus4
68,nostic2
69,olakey
70,paulino559
71,positiveone2015
72,rab872
73,ridwan_ridu
74,robby_soccer
75,rookycoosh
76,saeed-king11
77,saleh89rasta26
78,salma_taha
79,samijigna
80,sc2pro123
81,scruboak
82,scyth1an
83,seve62
84,shadeis
85,simonmustdie
86,south7trees
87,stjanovici
88,teguanets
89,tekle49
90,tesfalidet1981
91,weedleusedsmoke
92,wizbiz18
93,wondiye
94,woolf9
95,xavixdeus
96,yaredgoat
97,zamaboy
