player_index,username
0,1rasta
1,24likeme
2,2nice2
3,aabbuullee
4,aaron4641
5,aba77
6,abdilm
7,abdisabiruk
8,abditadesse
9,abdutuhapharma
10,abel12347
11,abel5586
12,abelistheweeknd
13,aben98
14,abenezerb
15,abeybabyy
16,abioist235711131719
17,abiyironman
18,abnem
19,abou_abbass
20,abraham_greenleaf
21,abyssiniya
22,aceorakku
23,addis1217
24,adel162345
25,adugnag
26,adugnagetachew
27,ahmed_shoky
28,airyox
29,ak9992
30,akravruth
31,alekal4
32,alexabbb
33,alfae
34,alphadave1
35,alulat1
36,amanuela
37,amanuelak
38,amehawoubishet
39,amha79
40,ammansaid
41,and1world
42,andy823685628
43,ansablesancho
44,anteneha
45,antenehtemesgen
46,antonin7890
47,anwar1786
48,arada444
49,artemis998
50,arucksackfullofsand
51,asalif
52,ashenafi007
53,asherif
54,ashgoitom
55,asnebeye
56,assab13
57,atnafug
58,automatichurry
59,awadsari
60,awsmgyhr
61,aynuman
62,b7cr7
63,bachaendale
64,badatchessaminot
65,badme
66,bamba322
67,bami1o
68,bamlakjjj
69,barich17
70,beginnerchessii
71,bekalu1
72,bekelemamo
73,belestihunegnaw
74,bellianisbel
75,berizmo
76,berkntkaya
77,beteab
78,beteber
79,betreab
80,bezakasa
81,bini000
82,biniman123
83,birehanu
84,biruk251
85,biruk5940
86,biruk858
87,bisrat7
88,bisrattesh25
89,blackltiger
90,blata
91,bmaaman
92,bornsinner1189
93,brain4tech
94,brainfitty
95,brentell11
96,brinkchess
97,brook1b
98,brook419
99,brook456
100,brookkkkkkkkkkkkkkkk
101,bruck397
102,brunoterp
103,btorwin
104,buhatem
105,callhimadam
106,captainzoss
107,cave100
108,ceddy28
109,ceut
110,chessgame1986
111,chesstiovsky
112,chess_eth
113,chrisbreeze2020
114,christeshome
115,chubaw
116,cicada_kira
117,conquerer313
118,cowmilkerz
119,cybassnat
120,daaboo
121,daboss1102
122,dagem24
123,dagemga5
124,dagii07
