player_index,username
0,10010111011101011111
1,1a2b1
2,1distracted1
3,3arclon
4,555551
5,66chess66
6,799827
7,abclgkw
8,aditi3023
9,aesaansheikh
10,ajohnson679
11,albertriv
12,alphagohero
13,amip7
14,amit1115
15,apthomas
16,arschfliege
17,asheeshgautam
18,ashsin17
19,asmr9512
20,atilioelcantor
21,avenith
22,avinesh_fiji
23,badknees
24,bad_left_hook
25,beerveermeer
26,bertomarugan
27,billyducky
28,biren420
29,blackcondor9
30,blue17-17
31,bluemellon
32,bose2020
33,bronchitis
34,brsimspon
35,cal247ong
36,cal2go
37,calamity64
38,capatanka
39,chesschampion13767
40,chessdicker69
41,chess_sant
42,clarosusan
43,codereded
44,coelhao_matador
45,cpt_neo007
46,cranenium
47,cursingfijian
48,dambis
49,danielnaidu
50,davidking93
51,decoroto
52,dfff1234
53,dforbiddenboat
54,dhjs0010
55,dikens
56,divinski
57,djbruh
58,drfiji
59,drhineymcbuttbottom
60,dr_drunkenstein-ys
61,e-m-l
62,eddiedyuen
63,egra007
64,ehsan699
65,eliasdudee
66,elijahnarovu
67,enemy007
68,eronibula
69,fcabnar
70,fdikda
71,feeddakitty
72,fernandos
73,fgimenez
74,fijianfianchetto
75,fijiash
76,fijibeka
77,fijidive
78,fijifrog
79,fijsto
80,francozzo
81,fratzischach
82,fuzzy9131
83,galchentherapy
84,gamblingmeow
85,gardas747
86,gatpaw
87,gengis1234
88,gmthanoss
89,goroyan
90,goruarvind
91,gtxhector
92,hdodj
93,hemant1762
94,hibikiqt
95,hiddenquiet
96,hrsvlgrd
97,i9chess
98,iceman014
99,ikazumi2k
100,imustbehappy
101,intercostal
102,internettselios
103,isdisdakrustykrab
104,itsgoodtobeback
105,itslearningtime
106,ittayw
107,ivandurack
108,jacksonfj
109,jackylawfiji
110,jaguar_92
111,jaguttam
112,jah_skido
113,jakefloyd
114,jamesbrogan01
115,jash_fiji
116,jdhfje
117,jean-luca
118,jedx
119,jeex1
120,jerrytianyi
121,jesuisnoah89
122,jhuerta244
123,jj-jj123
124,jonhmperes
125,joselit00
126,jotajotajota123
127,jotxopo
128,joy_is
129,justatrickstar
130,kendls
131,kfey
132,killerkid87
133,kjgvivkytcvk
134,klittsko
135,kmcvein
136,knair007
137,konartist
138,kosaee
139,kuraaah
140,kutluk_ka4an
141,kyutblizy
142,l30f3ng
143,lachiekeay
144,lavisagi
145,legalfunkcionalist
146,leonardoborg
147,lightr6
148,lightsout1
149,lorettalee
150,m2028
151,macantor13
152,madjoe64
153,maekee
154,maestro_6_9
155,maichod
156,mandem1207
157,manemjeff_iq
158,markus2205
159,matyr_miles
160,maunish_salman
161,mentoprinsen
162,mgmjmnd
163,mikel110
164,milene5
165,mintymagical
166,mlodhia10
167,mohammedaltafhussain
168,moriarti6666
169,mosesenawaqakuta
170,mouga234
171,moutou
172,mulchpile
173,nacani
174,nairk
175,nashjdt
176,natovi77
177,navi3141
178,nfchess13
179,nickymiller
180,nikoshatzi
181,nimzoexin59
182,nita2015
183,nivshil
184,niyal
185,nktal
186,nodiva
187,noeladricula
188,notoriousarry
189,nuttree
190,old_tomorrow
191,onefala
192,pasifika_pirate
193,pasifikian
194,patch143
195,patrickjoachim
196,pavetelli
197,pelicanl9
198,pradeepbr
199,prashi1
200,prasnilchand
201,presenr1
202,psfiji
203,rahmu33
204,rajdeepsinghnedved
205,rapidrabit
206,rasovom
207,raymond20200
208,remba87
209,robertbancod
210,robinfiji2020
211,roboffiji
212,roee5555
213,rossi747
214,rotuma123
215,s-carolin
216,sadpantman
217,saiyadshahrukh
218,samuvasu
219,sandiego100
220,sangpurnama
221,schnuppendulli
222,sebicaradepan
223,sergisn
224,sexysaturn
225,shaconia
226,shalvinprasad
227,shartattacker
228,shivneelsanjeshchand
229,sidkmrn
230,sm4rt4ss
231,smoraneo
232,spc777
233,spencer1k
234,splarg1
235,sports2013
236,sros
237,stanfj
238,starbuxpls
239,stuartpng
240,svocea
241,sydneymate
242,szichen
243,tactactac
244,taggtagg
245,tahititreat
246,tavofan
247,tesonal
248,tgflknd
249,thebigmanbg
250,theescapeofthepawn
251,thor84_fj
252,tonychan
253,treestart
254,trukaiviti
255,tua_d
256,tushy167
257,tzvi-dog
258,ukashrana
259,userslash-id
260,uwuxo
261,u_picku_materinu
262,varexe
263,veni22
264,viliamer
265,vonokula
266,wackychapter
267,wang6417
268,warlocke1803
269,warrenbiggs
270,whitherfaith
271,who-d-knee
272,wilsdy
273,wlva
274,wushin
275,xdlol20202020
276,xjvnek
277,yaeena
278,yashkhatri4
279,zabavnjak011
280,zarabvancy
281,zelit100
282,zeulch
283,zomanga
284,zuzuwin
285,zvoks
