player_index,username
0,0n0mat0p0eia
1,9uhaib
2,acidpaul17
3,apainitu
4,awes123
5,ba_sutherland
6,bigfreakyginger
7,cbarlow5532
8,cdmkelloggs
9,charlotte143
10,chillirock
11,crackpipe82
12,dieguis2632
13,dt00y7
14,duvee
15,elperfilmaldito
16,erdinator1
17,fig1906
18,haddadtwins
19,ivanboyes
20,i_am_backk
21,jacamole
22,jaco325
23,jamesg12321
24,japhet07
25,jfaulkner
26,jools32
27,kalemkitap
28,keikoman
29,kermitou
30,lairdkeir
31,log-rot
32,makoregever
33,malviny
34,mononoaware14
35,morrodeveloper
36,ninjax22
37,origami79
38,palewolverine
39,palsifae
40,paularenas2
41,pelix1234
42,powdermill
43,punchgirl
44,pushdapawn
45,quedapoquito
46,quelizabethiioncrack
47,revoleta
48,salmonfarmspollute
49,sampents
50,sarawakrevenge
51,schach_von_wuthenow
52,schwarzeobelisk
53,seraz20
54,sh0bi
55,sicilliandefenseonly
56,smileforthecameraq
57,spinningscorpion
58,svb2014
59,thegoodolddaysye
60,theyletmeflyplanes
61,tim_4291
62,top_right
63,unravelq
64,vb27
65,vinniepaul
66,vivril
67,w_error
68,youngexp
69,zzxxccv
