player_index,username
0,2hjkl
1,abeal
2,agb-86
3,ahvaz
4,akusihyes
5,antcoran
6,antsiwi
7,arthurcostantine
8,asdfcghjo
9,bahamondescom
10,bamus1
11,barguy
12,becalm
13,beekashk
14,bonjiiii
15,cavunca
16,chairold
17,chaostheorie71
18,chuck266
19,cosminradu2
20,crackplatoon
21,d3f3kt3
22,dankdos
23,dave020796
24,dhalexa
25,dihansa1
26,dillighted
27,dioplayschess
28,dirtys0ck
29,dolphine17
30,donnie_mcfly
31,dragoneyes34
32,drakeofrum
33,dunow12
34,eachdev
35,eddiem_81
36,elpujas
37,emsx_10
38,ergodex
39,euis_darliah
40,factotum8
41,fiendsgrip
42,fillrush
43,finkelstein007
44,franzpete
45,galaxibrain
46,galmahadhika
47,giannis4a
48,gogogopre2
49,gspotsvictory
50,hamster7
51,hendiadyns
52,hokupo
53,iamclowd
54,ivangjorsev
55,ivanperezvidal
56,jeyderbe
57,jibz01
58,joldenjohnnyboy
59,jumphrope
60,kasparovidis
61,kebabfopa
62,kingofjson
63,kingyigit0190
64,kozh
65,kpr078
66,lankay
67,latramposa
68,ledbronco3
69,leopold_cat
70,lujic
71,maatol
72,maikati420j
73,mandilonchopper
74,mapru
75,marruecos1
76,martin7373773
77,mason42159
78,masterruth
79,mattmannisto
80,mesosphere_navigator
81,mironius
82,mojtababarati
83,moluccan80
84,n1chessplayerqq
85,namorreburg
86,nobrain8888
87,nochessforthewicked
88,noirtyboy
89,norhat68
90,norsklektor
91,ofirkorazim
92,omegamanx
93,pdannej
94,pelikant
95,piyapoyraz
96,princesspeachha
97,pythagoras90
98,rafaviolin
99,raiden1601
100,rasheed0174
101,razzraziel
102,rhorek
103,richipue
104,robbiehaq
105,roy_akatsuki
106,sakkess
107,sgt_oddball
108,solanina
109,sparrrtak
110,st101011
111,stanleyseihu
112,sukisyan
113,sunshahz
114,tchacos
115,the_last_sacrificer
116,timelesslimitless
117,tmpname
118,tomecho2
119,trmoh
120,unblunt
121,unit-1402
122,unnameduser1
123,useruser74
124,va7-orelo
125,vii-55
126,wardellfanboi
127,wasachontle
128,whoisbernardlonergan
129,wolflitoukna
130,xakome
131,xxx_mlgkingscoper_xx
132,yitzakh
133,yungcracklord
134,zappatero
135,zfode89123
136,zopadraib
137,zuckenberglite
