player_index,username
0,24frames
1,67iqpogu
2,69gunnar69
3,aatsuineq
4,absaloneliasen
5,achilles_85
6,affi66
7,afturbragd
8,akibono1
9,akimadurin
10,aksel_poulsen
11,alekshj
12,alexanderbest
13,allanpauli
14,allarbest12345
15,amrac
16,andras0612
17,andras89
18,andrasolsen
19,andreaspoulsen8912
20,andrekjartanson1
21,andrewcooltiktok
22,andrias14
23,andrias1997
24,andrias97
25,andriasr
26,andriasroenne
27,andriassolsker
28,angeladjurhuus
29,angelawelby
30,annapaula17
31,antonhojgaard
32,aomame81
33,apoll26
34,arant86
35,arbitrage28
36,arfjallheim
37,arisak94
38,arjunkolz
39,armgard
40,arnbjorn58
41,aron1610
42,artisticchance
43,artoor1211
44,asbjorn_olsen
45,askardenni
46,askumalala
47,atianta
48,atlantic56
49,atlantic_nuance
50,atlikristiansen
51,attakabillutvid
52,b0g1
53,baksarin
54,bardurc
55,bardurell
56,bardur_dalsgard
57,bartal17
58,becharin
59,beiggimin
60,beinir86
61,bekosus
62,benjamin2332
63,benjifo95
64,benni1403
65,bennipoulsen
66,bergurjohannesen
67,berja65
68,bessibjarna
69,betonbro
70,bgeni
71,bh1899
72,bimmie
73,bjarni-olavsson
74,bjarnibeder
75,bjarnidc
76,bjarnilida
77,bjarniwj
78,bjartur04
79,bjork557
80,bjorkrene
81,bloodwyd
82,blypp
83,boginw
84,bogi_3
85,bogi_hentze
86,bonen18
87,brandur3
88,brandurellingsgaard
89,brandurhf
90,brandurjohansen
91,brian-78
92,bribberibb
93,bruckner65
94,buisk
95,bui_buff
96,captainc8
97,carleli
98,carmelitadescalza
99,cees22
100,ce_mono_ce
101,chisel4
102,chnylmz
103,chuckfurch40
104,cjark
105,claudius2137
106,cokestyle
107,cryptonzero
108,cutofjack
109,d4cookie
110,danialpaulijensen
111,danial_pm
112,danielpareja
113,danjalroi
114,dansolo92
115,daspanchino
116,dathinker03
117,david1234003
118,davidgardar
119,davidnolsoe
120,davidsenrokur
121,davur_jo
122,deepmarinblue
123,dhlir
124,dial80
125,diego10capablanca
126,dikkurin
127,dinamo39
128,dintil
129,dixied
130,djoni0204
131,do0rdie
132,dongfisk
133,dorinu
134,dracysl
135,dragesjel
136,dravgni
137,dudycall
138,dumbo1988
139,eddiegreen10
140,edvardmuller
141,edvin1965
142,edvinfaeroe
143,egg1414
144,egilstoft1992
145,eigilo
146,eirikurj
147,eirikzfozz
148,eirixj
149,eivinchristiansen
150,ekenny87
151,eliamortensen69
152,eliaschristensen1
153,elias_isaksen_4
154,elkknowsbetter
155,elttor
156,el_libero
157,engoenoen48390043
158,enok22
159,eosfae
160,erhardp
161,esbern
162,esj002
163,eyda91
164,eydalvurjohannesen
165,eydnajulianna
166,eydsteinsson
167,eydunbrain
168,eydunnolsoe
169,eyebear11
170,faroechess
171,faroeclimb
172,faroefan
173,faroesgm
174,faroesknight
175,fartsmcgee0
176,fastdoll
177,fhj2000
178,fifi2019
179,filipsyd
180,filurin
181,finnan
182,finnbjornh
183,finnjensen365
184,finnur89
185,fjalli
186,fjallspak
187,flekk
188,fllx
189,flovin
190,fo100
191,fo188
192,fonzy1993
193,frankingi
194,frans3001
195,fridi25
196,fridi42
197,fridiolsen
198,fridirp
199,fridur420
200,frodarin
201,frodi1234
202,frodis
203,frokendalur
204,fsmx5
205,funnyguse
206,gaggol
207,galacuy
208,gamerboy298
209,gangstafag
210,ganjha_mann
211,gavieroterra
212,gedynk
213,gig294
214,gillo1106
215,glennsamuelsen
216,gmlickmyass1
217,grebagard
218,grey_ranger
219,gronasangbok
220,guiinzy
221,gullbrandur
222,gunnar-hj
223,guttip
224,haftor2005
225,hallurf03
226,hannakannietschaken
227,hanserik
228,hansjoensen8
229,hanskarihansen
230,hanusalogv
231,hanuse
232,haol1977
233,haplesssoybean
234,happyfishball
235,havtaskan
236,hedin2016
237,hedinj
238,helgijoh
239,helginol
240,hellsblazes
241,hen1947
242,henrytigre
243,hergeirt
244,heripetersen
245,heriravnagjogv
246,herman56
247,hervrjacobsen
248,heweltrappington
249,hfk2018
250,hforce
251,hh14
252,hhhhhhh1234
253,hikakaoo
254,hilmar69
255,himyguy240
256,hin-eli
257,hjaltip11
258,hjaltos
259,hjordis1
260,hkaufmann
261,hksimonsen83
262,hniclasen
263,hobbytelvarin
264,hogniob
265,hojoel
266,holkat
267,hosvik
268,hsk1981
269,huggibuggi
270,huginbb
271,hwj05
272,iamacm
273,ignashi
274,iln_plays
275,ingiw
276,ingolf14
277,ingolfdebes
278,insanitarious
279,iubheinesen
280,j-ro1991
281,jacibest
282,jacobelirlandson
283,jacobmat3
284,jagud1
285,jaklen
286,jakop
287,jakore
288,jakup-i-geilini4
289,jakup1950
290,jakup1980
291,jakup2607
292,jakup3
293,jakup4
294,jakupandrias102
295,jakupdahl
296,jakuphammer
297,jakupjpoulsen
298,jakupmolsen
