player_index,username
0,-millionaire-
1,0-krasus
2,0-sony
3,0-wombat-0
4,0000klimo0000
5,000flo000
6,000martinez
7,000mmk
8,000seb
9,000seb000
10,001900p
11,006alec
12,007alex
13,00bourik00
14,00dds
15,00hmondieu
16,00max
17,00megapixel00
18,00or
19,00robert000
20,00sx
21,00yellman
22,00_vico_00
23,01110000
24,012358
25,01aslanbek
26,01hugo10
27,0210benou
28,02lili
29,02mat
30,02nono02
31,030tprogres
32,037woos
33,03h7
34,03thom
35,03zsk
36,04augustin
37,04cam
38,04chessnut
39,04leane
40,06028239423
41,060397lolo
42,06071993
43,0698986134sendnudes
44,06ju
45,06pierrot06
46,06pino
47,0704012
48,0777421290
49,0789620059
50,07pumpum
51,07thor07
52,087baxou
53,08issi08
54,094mickael
55,09fab09
56,09ufp09
57,09uh
58,0agathe0
59,0alceste
60,0axel0
61,0bird
62,0blancnoir
63,0blyveon
64,0bno
65,0bra
66,0bravenewworld
67,0bsydyan
68,0caillou7
69,0carmin0
70,0chessman7
71,0chiara0
72,0clark
73,0clemclem0
74,0clement0
75,0ctavus
76,0dfaitepourhenri
77,0dyss3us
78,0eilro
79,0elph
80,0erem0
81,0explozion0
82,0feras0
83,0flem0
84,0fm0z
85,0fredfred0
86,0hmygardevoir
87,0hornet
88,0hugo0
89,0hysse
90,0h_chase
91,0ideedepseudo
92,0iiiii00iiiiiiiiiiii
93,0jojo05
94,0kalblose
95,0kilar0
96,0killian0
97,0l3v3er
98,0lam
99,0ld_pr0f
100,0leastre
101,0lepetitzouzou0
102,0level
103,0livierice
104,0livierr
105,0lmin
106,0loak0
107,0los
108,0lsop
109,0lupius
110,0makhay0
111,0maxim
112,0maximous0
113,0mbro
114,0meric
115,0met
116,0mfgui
117,0mk0
118,0mletdufromage
119,0moje0
120,0muxop0
121,0nefall
122,0neverland0
123,0no_name0
124,0n_dit_ch0c0latine
125,0o0gran
126,0okami93
127,0oo0leo0oo0
128,0osparxo0
129,0p0p0p0p0p0p0p
130,0panache
131,0philou0
132,0phounet0
133,0pollux1
134,0poss
135,0pppppp29
136,0quatre0
137,0rax
138,0rayspecter
139,0rchestra
140,0rnox
141,0samuelit0
142,0sergio0
143,0shanksleroux0
144,0sly0
145,0spirit0
146,0ss117
147,0strovsky
148,0survival
149,0symphony0
150,0tenai0
151,0tidus0
152,0tigerwoods0
153,0tomat
154,0trelba
155,0uille
156,0ukh
157,0uloulou
158,0uups29
159,0vercomplexification
160,0verm1ndd
161,0verrainbow
162,0versun
163,0xabak
164,0xantman
165,0xeen
166,0xime01
167,0xxthechessmasterxx0
168,0xy78
169,0xygenhud
170,0youss0
171,0zck
172,0zn3
