player_index,username
0,aimerik
1,ajayjha25
2,alex2b
3,andystoneheart
4,aripappa2
5,armelbinga
6,assoumou310
7,blanikl13
8,brainapc
9,bsshhh
10,cerveau99
11,charleseyaa2
12,charlesyahwe
13,chessaddict16
14,chesskillerultime241
15,christianmeyong
16,cinerg_chess
17,claudeashley
18,croasarrheun
19,darknightlordofsouls
20,debarges24
21,devobiang
22,dirot2702
23,drewkingsss
24,dumbestofthedumb
25,easymoneysniper164
26,elyas2717
27,emllachiennasse
28,endru0
29,enigalembe
30,erasmatu
31,erwann83
32,evineze
33,fabfromgabon
34,fisherblack
35,frost0000
36,gernolle
37,gildasbelphery
38,goosebumps44
39,gpaltant
40,hadiellelembeme2000
41,halfchess13
42,hervouz
43,hyppocrate
44,indersohn
45,jengomoon
46,johnnypastis
47,jojo22000
48,jotobey
49,jungla81
50,junior401
51,juniorminlama
52,juniorsbg
53,kidar88
54,lacece88
55,latjose
56,leblaugrana
57,letstwistagain
58,lewis6666
59,lord_cabbage
60,lostman241
61,louisko94
62,loulou270
63,lovrecica
64,lucky1723
65,lukassassde
66,makendzu
67,makita360
68,manacc
69,mangeenfant
70,manwithkungfupen_is
71,mathieu4986
72,matmagalon
73,mcqwerty
74,megamind999
75,melrickndema
76,motema
77,mou067
78,mrah
79,mrsmegma
80,mth4
81,musly1
82,nick4222
83,noeserge1
84,oaechecs
85,pablo14_jm
86,painintheneck
87,panoplie
88,paparovi
89,patriceschnoller
90,patricketoughe
91,pawn402
92,pci11
93,pe49
94,penelustre
95,pierretricot
96,pierrot7435
97,poirots
98,purpletime
99,rachild
100,revealchess
101,ricprazeres69
102,rj_i
103,rodolf29
104,rou1985
105,shaggytriumph
106,skintoob
107,sonyck
108,stillsk
109,strateg
110,supernyambie
111,sydneypemba
112,thelord_pride
113,trakatrans
114,tsakada
115,tyy054
116,wang7515
117,wertikeo0
118,yols-0904
119,youryjeacineimela
