player_index,username
0,---k---
1,-shinobi-
2,-timothy-
3,-tomred-
4,0000tj
5,000christie
6,000fox
7,000helloworld000
8,000mr000
9,000none000
10,000pdh
11,001antony
12,006james
13,007-jb
14,007kingt
15,007mattay
16,007shooter
17,007white
18,008halo
19,00ashy00
20,00barnetts
21,00cosmo
22,00fc1ty
23,00george0
24,00gly_b00gly
25,00gmt
26,00hanians
27,00jcooper
28,00miz00
29,00nlm
30,00ok00
31,00o_o00
32,00pet
33,00rook
34,00royal00
35,00ryman
36,00salby
37,00seed00
38,00the0range00
39,00thegavin00
40,00ton80
41,00_anthony
42,00_g_dawg_00
43,00_ultimate_00
44,01175932
45,011_101
46,0121bmt
47,0121jp0121
48,013k
49,0151reidy
50,0161al
51,01781p
52,01ccook
53,01ch12223
54,01dl
55,01jamcon
56,01johnstondav
57,01junaidkhan
58,01knoble
59,01mossej
60,01rach
61,01reu01
62,0207jeff
63,020harry
64,022510
65,026502749t
66,02bcarter
67,02griff
68,02hascrustytoes
69,02mcknight
70,02psykes
71,02queens1cup
72,02reflex
73,02reggie
74,02smithpaul
75,02tgjojo
76,0312jim
77,0320hja
78,0364599
79,03aliz
80,03biggsc
81,03hudsonlloyde
82,03jj
83,03jojones
84,04ayasin
85,04easterc
86,04fpos
87,04lcarter
88,04rainbow
89,04wilsl
90,05aletur
91,05bperryman
92,05ca
93,05mierne
94,05potters
95,06ctaylor
96,06gclarke
97,06girnm
98,06gsangha
99,06hollandg
100,06kyle03
101,06phillipsa
102,06rmaini
103,06warrenj
104,07008000000
105,070838
106,07550diane
107,077skipper
108,079lal
109,07chalmerse
110,07dparte
111,07geodar
112,07irelandc
113,07joreyn
114,07moultonl
115,07stormie
116,07v1lawrencej
117,07warrenj
118,07younga
119,0800-espi
120,08aspinallt
121,08holtumj
122,08jrich
123,08knighte
124,08petcugeorge82
125,08skinnerarthur
126,090909sean
127,0964600874
128,09grudolph
129,09i0
130,09jhoult
131,09nallen09
132,09robbobrum
133,09salhafe1997
134,0a548ck
135,0aas0
136,0aoba0
137,0a_a0
138,0bakes
139,0beginnersluck
