player_index,username
0,3amok
1,aby1800
2,adricas04
3,aishtheborgov
4,alanjames632
5,aleks7454
6,anttiikonen
7,aurelius58
8,belerophonis
9,berigfr
10,bjpday
11,black751
12,bluggz
13,cagechess
14,chantimelle
15,chessblackett
16,coconutcutter
17,danettechess
18,dcmd2016
19,dmilo13
20,dwaynewilliamsjr
21,el_stitch
22,erroneoustitbit
23,eugene_black
24,evandagle
25,gani999
26,gejser
27,gildegrenade
28,gracianito
29,greenzking
30,gyllberto
31,heny12
32,hungun
33,imjerome
34,inferno14
35,ivanduncan
36,jay1kay1
37,jimmy0698
38,joemccabe
39,joker19944
40,josephgharabja
41,kejdiii
42,kendal2
43,kingdickie
44,kokolocox3
45,kristianjablonsky
46,lanceman_uk
47,ligaroo
48,littlechessnut
49,los_tenyos_magpie
50,lushcocoa
51,lutha
52,magicofficer
53,maheshpercy
54,manchesster1
55,marc-lo
56,marlonandrew
57,mmano
58,mvt321
59,nickpitsilionis
60,nicky1970
61,noxaninja
62,overwerk123
63,phorak95
64,prof_baltazar_20
65,rebelscum22
66,redger
67,royadimanod
68,seonsling
69,shanklete
70,sihkoi
71,silkolive
72,stevon17
73,terrakid101
74,terry016
75,tgervat
76,thade23
77,topklassaimer
78,torbenmohr
79,trident9888
80,tristanherrera
81,trueseeker1
82,umido_captain
83,uriraziel81
84,valop
85,varshini_v
86,wakefulscale
87,wiiizard3
88,xyusgoru1
89,yikajayi
90,zanderrobinson
