player_index,username
0,024tainos
1,667lebg
2,alimahfoud23
3,bhahamut
4,caizer68
5,capivararoot
6,captainaron973
7,chessman_reflexion13
8,chrissvxd
9,claire97320
10,clairevivier
11,cosmoludo
12,darius0066
13,dusalexxx
14,elitebrazoul
15,elwalahjo
16,erwin_smith1
17,fabgmg
18,frall973
19,giacchinelli
20,gr0lot
21,guyanais_973
22,jean-pierreasturias
23,jepiclo
24,jhonr97
25,jkmeruem
26,juanluis001a2
27,kaiten973
28,koscinho
29,lisaoauy
30,lud-86
31,macbrain
32,matoutouremy
33,meekfarm
34,mister_saleg93
35,miwal
36,mohan-lucas
37,nefasto973
38,nervouspasta
39,noob4419
40,oldkit
41,omane
42,panik23
43,parsivalere
44,pedrojean17
45,pierrefamaro
46,prodi5
47,rapa_973
48,razlabarak
49,roakin
50,roserouge97355
51,sutoya
52,thur973
53,undertalemiaou
54,vanick973
55,wtfpickle
56,xarlott
57,xchesstktx
58,yannern
59,zblinker
60,zeba1
61,znoscoborovsky
62,zobiman
